Study_ID,Publication Year,Author,Title,Publication Title,Database,Exclude,Reason ID,Paediatric,Intention Reported,Deliberate intention,Unclear,Accessed,Comments,Study_Design,Population_Type,Study_Setting,Study_Location,DOI,Data_Extracted,Bib_Search_Complete,Publication Year_clean,Author_clean,Title_clean,Publication Title_clean
566,2005,"Nagaraj, Hirikati S.; Sunil, Indira",Multiple foreign body ingestion and ileal perforation,Pediatric Surgery International,Bibliography Search,,,,,,,,,,,,,,,N,2005,"nagaraj, hirikati s.; sunil, indira",multiple foreign body ingestion and ileal perforation,pediatric surgery international
567,2005,"Ohno, Yasuharu; Yoneda, Akira; Enjoji, Akihito; Furui, Junichiro; Kanematsu, Takashi",Gastroduodenal fistula caused by ingested magnets,Gastrointestinal Endoscopy,Bibliography Search,,,,,,,,,,,,,,,N,2005,"ohno, yasuharu; yoneda, akira; enjoji, akihito; furui, junichiro; kanematsu, takashi",gastroduodenal fistula caused by ingested magnets,gastrointestinal endoscopy
568,2005,"Wildhaber, Barbara E.; Le Coultre, Claude; Genin, Bernard","Ingestion of magnets: innocent in solitude, harmful in groups",Journal of Pediatric Surgery,Bibliography Search,,,,,,,,,,,,,,,N,2005,"wildhaber, barbara e.; le coultre, claude; genin, bernard","ingestion of magnets: innocent in solitude, harmful in groups",journal of pediatric surgery
569,2006,"Choure, Jayant; Quinn, Kathleen; Franco, Kathleen",Baking-soda pica in an adolescent patient,Psychosomatics,Bibliography Search,,,,,,,,,,,,,,,N,2006,"choure, jayant; quinn, kathleen; franco, kathleen",baking-soda pica in an adolescent patient,psychosomatics
570,2006,"Goh, Brian K.P.; Chow, Pierce K.H.; Quah, Hak-Mien; Ong, Hock-Soo; Eu, Kong-Weng; Ooi, London L.P.J.; Wong, Wai-Keong",Perforation of the Gastrointestinal Tract Secondary to Ingestion of Foreign Bodies,World Journal of Surgery,Bibliography Search,,,,,,,14/04/2025 16:11,,,,,,,,N,2006,"goh, brian k.p.; chow, pierce k.h.; quah, hak-mien; ong, hock-soo; eu, kong-weng; ooi, london l.p.j.; wong, wai-keong",perforation of the gastrointestinal tract secondary to ingestion of foreign bodies,world journal of surgery
571,2006,"Jiang, Chun-li; Gu, Tian-xiang; Wang, Chun",Surgical treatment of posttraumatic foreign bodies in the heart or great vessels,Chinese Medical Journal,Bibliography Search,,,,,,,,,,,,,,,,,,,
572,2006,"Lee, Min-Ro; Hwang, Yong; Kim, Jong-Hun",A case of colohepatic penetration by a swallowed toothbrush,World Journal of Gastroenterology,Bibliography Search,,,,,,,,,,,,,,,N,2006,"lee, min-ro; hwang, yong; kim, jong-hun",a case of colohepatic penetration by a swallowed toothbrush,world journal of gastroenterology
573,2006,"Li, Zhao-Shen; Sun, Zhen-Xing; Zou, Duo-Wu; Xu, Guo-Ming; Wu, Ren-Pei; Liao, Zhuan",Endoscopic management of foreign bodies in the upper-GI tract: experience with 1088 cases in China,Gastrointestinal Endoscopy,Bibliography Search,,,,,,,14/04/2025 14:06,,,,,,,,N,2006,"li, zhao-shen; sun, zhen-xing; zou, duo-wu; xu, guo-ming; wu, ren-pei; liao, zhuan",endoscopic management of foreign bodies in the upper-gi tract: experience with 1088 cases in china,gastrointestinal endoscopy
574,2006,"Ma, Cheng-Jen; Jan, Chang-Ming; Hsieh, Jan-Sing; Huang, Yu-Sheng; Wang, Wen-Ming; Chan, Hon-Man; Wang, Jaw-Yuan",Successful localization and surgical removal of ingested sewing needles under mini C-arm fluoroscopy: a case report,The Kaohsiung Journal of Medical Sciences,Bibliography Search,,,,,,,,,,,,,,,N,2006,"ma, cheng-jen; jan, chang-ming; hsieh, jan-sing; huang, yu-sheng; wang, wen-ming; chan, hon-man; wang, jaw-yuan",successful localization and surgical removal of ingested sewing needles under mini c-arm fluoroscopy: a case report,the kaohsiung journal of medical sciences
575,2006,"Silverberg, Daniel; Menes, Tehillah; Kim, Unsup","Surgery for ""body packers""--a 15-year experience",World Journal of Surgery,Bibliography Search,,,,,,,,,,,,,,,N,2006,"silverberg, daniel; menes, tehillah; kim, unsup","surgery for ""body packers""--a 15-year experience",world journal of surgery
576,2006,"Vijaysadan, Viju; Perez, Maria; Kuo, David","Revisiting Swallowed Troubles: Intestinal Complications Caused by Two Magnets—A Case Report, Review and Proposed Revision to the Algorithm for the Management of Foreign Body Ingestion",The Journal of the American Board of Family Medicine,Bibliography Search,,,,,,,14/04/2025 14:44,,,,,,,,N,2006,"vijaysadan, viju; perez, maria; kuo, david","revisiting swallowed troubles: intestinal complications caused by two magnets‚äîa case report, review and proposed revision to the algorithm for the management of foreign body ingestion",the journal of the american board of family medicine
577,2007,"Alzahem, Abdulrahman M.; Soundappan, Soundappan S. V.; Jefferies, Heather; Cass, Daniel T.",Ingested magnets and gastrointestinal complications,Journal of Paediatrics and Child Health,Bibliography Search,,,,,,,,,,,,,,,N,2007,"alzahem, abdulrahman m.; soundappan, soundappan s. v.; jefferies, heather; cass, daniel t.",ingested magnets and gastrointestinal complications,journal of paediatrics and child health
578,2007,"Cox, David; Donohue, Peter; Costa, Vanda",A swallowed toothbrush causing perforation 2 years after ingestion,"British Journal of Hospital Medicine (London, England: 2005)",Bibliography Search,,,,,,,,,,,,,,,N,2007,"cox, david; donohue, peter; costa, vanda",a swallowed toothbrush causing perforation 2 years after ingestion,"british journal of hospital medicine (london, england: 2005)"
579,2007,"Fenton, Stephen J.; Torgenson, Marcus; Holsti, Maija; Black, Richard E.",Magnetic attraction leading to a small bowel obstruction in a child,Pediatric Surgery International,Bibliography Search,,,,,,,,,,,,,,,N,2007,"fenton, stephen j.; torgenson, marcus; holsti, maija; black, richard e.",magnetic attraction leading to a small bowel obstruction in a child,pediatric surgery international
580,2007,"Ilçe, Zekeriya; Samsum, Hakan; Mammadov, Emil; Celayir, Sinan",Intestinal volvulus and perforation caused by multiple magnet ingestion: report of a case,Surgery Today,Bibliography Search,,,,,,,,,,,,,,,N,2007,"il√ße, zekeriya; samsum, hakan; mammadov, emil; celayir, sinan",intestinal volvulus and perforation caused by multiple magnet ingestion: report of a case,surgery today
581,2007,"Lee, Tae Hee; Kang, Young Woo; Kim, Hyun Jin; Kim, Sun Moon; Im, Euyi Heog; Huh, Kyu Chan; Choi, Young Woo; Kim, Tae Hyo; Lee, Ok Jae; Jung, Un Tae",Foreign Objects in Korean Prisoners,The Korean Journal of Internal Medicine,Bibliography Search,,,,,,,14/04/2025 16:40,,,,,,,,N,2007,"lee, tae hee; kang, young woo; kim, hyun jin; kim, sun moon; im, euyi heog; huh, kyu chan; choi, young woo; kim, tae hyo; lee, ok jae; jung, un tae",foreign objects in korean prisoners,the korean journal of internal medicine
582,2008,"Bhattacharjee, Prosanta; Singh, Om",Repeated ingestion of sharp-pointed metallic objects,Archives of Iranian medicine,Bibliography Search,,,,,,,,,,,,,,,,,,,
583,2008,"Bisharat, May; O'Donnell, Mark E.; Gibson, Niall; Mitchell, Michael; Refsum, Sigi R.; Carey, P. Declan; Spence, Roy Aj; Lee, Jack",Foreign body ingestion in prisoners - the Belfast experience,The Ulster Medical Journal,Bibliography Search,,,,,,,,,,,,,,,,,,,
584,2008,"Chao, Hsiao-Hsiang; Chao, Tzu-Chieh",Perforation of the duodenum by an ingested toothbrush,World Journal of Gastroenterology,Bibliography Search,,,,,,,,,,,,,,,N,2008,"chao, hsiao-hsiang; chao, tzu-chieh",perforation of the duodenum by an ingested toothbrush,world journal of gastroenterology
585,2008,"Hergüner, Sabri; Ozyildirim, Ilker; Tanidir, Cansaran",Is Pica an eating disorder or an obsessive-compulsive spectrum disorder?,Progress in Neuro-Psychopharmacology & Biological Psychiatry,Bibliography Search,,,,,,,,,,,,,,,N,2008,"herg√ºner, sabri; ozyildirim, ilker; tanidir, cansaran",is pica an eating disorder or an obsessive-compulsive spectrum disorder?,progress in neuro-psychopharmacology & biological psychiatry
586,2008,"Kariholu, P. L.; Jakareddy, R.; Hemanthkumar, M.; Paramesh, K. N.; Pavankumar, N. P.",Pica - a case of acuphagia or hyalophagia?,The Indian Journal of Surgery,Bibliography Search,,,,,,,,,,,,,,,N,2008,"kariholu, p. l.; jakareddy, r.; hemanthkumar, m.; paramesh, k. n.; pavankumar, n. p.",pica - a case of acuphagia or hyalophagia?,the indian journal of surgery
587,2008,"O'Donnell, M. E.; Gibson, N.; Sharif, M. A.; Spence, R. a. J.; Lee, J.",Crohn's disease of the terminal ileum: a cheap diagnosis,Irish Journal of Medical Science,Bibliography Search,,,,,,,,,,,,,,,N,2008,"o'donnell, m. e.; gibson, n.; sharif, m. a.; spence, r. a. j.; lee, j.",crohn's disease of the terminal ileum: a cheap diagnosis,irish journal of medical science
588,2008,"Rodríguez-Hermosa, J. I.; Codina-Cazador, A.; Sirvent, J. M.; Martín, A.; Gironès, J.; Garsot, E.",Surgically treated perforations of the gastrointestinal tract caused by ingested foreign bodies,Colorectal Disease: The Official Journal of the Association of Coloproctology of Great Britain and Ireland,Bibliography Search,,,,,,,,,,,,,,,N,2008,"rodr√≠guez-hermosa, j. i.; codina-cazador, a.; sirvent, j. m.; mart√≠n, a.; giron√®s, j.; garsot, e.",surgically treated perforations of the gastrointestinal tract caused by ingested foreign bodies,colorectal disease: the official journal of the association of coloproctology of great britain and ireland
589,2008,"Schierling, Steven; Snyder, Samuel K.; Custer, Monford; Pohl, John F.; Easley, David",Magnet ingestion,The Journal of Pediatrics,Bibliography Search,,,,,,,,,,,,,,,N,2008,"schierling, steven; snyder, samuel k.; custer, monford; pohl, john f.; easley, david",magnet ingestion,the journal of pediatrics
590,2009,"Bhatia, Manjeet S.; and Gupta, Ravi",Pica responding to SSRI: An OCD spectrum disorder?,The World Journal of Biological Psychiatry,Bibliography Search,,,,,,,10/04/2025 08:23,,,,,,,,N,2009,"bhatia, manjeet s.; and gupta, ravi",pica responding to ssri: an ocd spectrum disorder?,the world journal of biological psychiatry
591,2009,"Ersoy, Y. E.; Ayan, F.; Ayan, F.; Ersan, Y.",Gastro-intestinal bezoars: thirty-five years experience,Acta Chirurgica Belgica,Bibliography Search,,,,,,,,,,,,,,,N,2009,"ersoy, y. e.; ayan, f.; ayan, f.; ersan, y.",gastro-intestinal bezoars: thirty-five years experience,acta chirurgica belgica
592,2009,"Prieto-Aldape, Manuel Rodrigo; Almaguer-García, Francisco Issac; Figueroa-Jiménez, Sandra Edith; Fernández-Díaz, Oscar; Mora-Huerta, José Antonio; González-Ojeda, Alejandro",Relapsing massive metal bezoar: a case report,Journal of Medical Case Reports,Bibliography Search,,,,,,,14/04/2025 13:28,,,,,,,,N,2009,"prieto-aldape, manuel rodrigo; almaguer-garc√≠a, francisco issac; figueroa-jim√©nez, sandra edith; fern√°ndez-d√≠az, oscar; mora-huerta, jos√© antonio; gonz√°lez-ojeda, alejandro",relapsing massive metal bezoar: a case report,journal of medical case reports
593,2009,"Saeed, Atif; Johal, Navroop S.; Aslam, Adil; Brain, Jeffrey; Fitzgerald, Ray J.",Attraction problems following magnet ingestion,Annals of the Royal College of Surgeons of England,Bibliography Search,,,,,,,,,,,,,,,N,2009,"saeed, atif; johal, navroop s.; aslam, adil; brain, jeffrey; fitzgerald, ray j.",attraction problems following magnet ingestion,annals of the royal college of surgeons of england
594,2009,"Yasin, Malik Amjad; Malik, Ghazala Nasreen; Malik, Sikandar Ali; Rathore, Farooq Azam",Metal in stomach: a rare cause of gastric bezoar,BMJ Case Reports,Bibliography Search,,,,,,,14/04/2025 13:29,,,,,,,,N,2009,"yasin, malik amjad; malik, ghazala nasreen; malik, sikandar ali; rathore, farooq azam",metal in stomach: a rare cause of gastric bezoar,bmj case reports
595,2010,"Ahmed, Ali M.; Hassab, Mohamed H.; Al-Hussaini, Abdulrahman A.; Al-Tokhais, Tariq I.",Magnetic toy ingestion leading to jejunocecal fistula in a child,Saudi Medical Journal,Bibliography Search,,,,,,,,,,,,,,,,,,,
596,2010,"Başpinar, Irfan; Sahin, Savaş; Erdoğan, Gültekin",[Acute mechanical intestinal obstruction after ingestion of foreign bodies: a case report],Ulusal travma ve acil cerrahi dergisi = Turkish journal of trauma & emergency surgery: TJTES,Bibliography Search,,,,,,,,,,,,,,,,,,,
597,2010,"Brown, Daniel J.",Small bowel perforation caused by multiple magnet ingestion,The Journal of Emergency Medicine,Bibliography Search,,,,,,,,,,,,,,,N,2010,"brown, daniel j.",small bowel perforation caused by multiple magnet ingestion,the journal of emergency medicine
598,2010,"Fry, Emily; Counselman, Francis L.",A right scrotal abscess and foreign body ingestion in a schizophrenic patient,The Journal of Emergency Medicine,Bibliography Search,,,,,,,,,,,,,,,N,2010,"fry, emily; counselman, francis l.",a right scrotal abscess and foreign body ingestion in a schizophrenic patient,the journal of emergency medicine
600,2010,"Karaman, A.; Torun, E.; Celikbilek, M.; Gürsoy, S.; Ozbakir, O.",Endoscopic Removal of an Unusual Foreign Body Causing Gastrointestinal Bleeding,Case Reports in Gastroenterology,Bibliography Search,,,,,,,,,,,,,,,N,2010,"karaman, a.; torun, e.; celikbilek, m.; g√ºrsoy, s.; ozbakir, o.",endoscopic removal of an unusual foreign body causing gastrointestinal bleeding,case reports in gastroenterology
601,2010,"Smit, Samuel J. A.; Kleinhans, F.",Surgical practice in a maximum security prison - unique and perplexing problems,South African Medical Journal = Suid-Afrikaanse Tydskrif Vir Geneeskunde,Bibliography Search,,,,,,,,,,,,,,,N,2010,"smit, samuel j. a.; kleinhans, f.",surgical practice in a maximum security prison - unique and perplexing problems,south african medical journal = suid-afrikaanse tydskrif vir geneeskunde
602,2010,"te Wildt, Bert T.; Tettenborn, Christian; Schneider, Udo; Ohlmeier, Martin D.; Zedler, Markus; Zakhalev, Roman; Krueger, Martin",Swallowing Foreign Bodies as an Example of Impulse Control Disorder in a Patient With Intellectual Disabilities,Psychiatry (Edgmont),Bibliography Search,,,,,,,14/04/2025 13:17,,,,,,,,,,,,
604,2011,"Siddiqui, Zaka Ur Rab",Metal bezoars causing upper gastrointestinal obstruction in a schizophrenic,APSP journal of case reports,Bibliography Search,,,,,,,,,,,,,,,,,,,
605,2011,"Sung, Sang Hun; Jeon, Seong Woo; Son, Hyuk Su; Kim, Sung Kook; Jung, Min Kyu; Cho, Chang Min; Tak, Won Young; Kweon, Young Oh",Factors predictive of risk for complications in patients with oesophageal foreign bodies,Digestive and Liver Disease: Official Journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,Bibliography Search,,,,,,,,,,,,,,,N,2011,"sung, sang hun; jeon, seong woo; son, hyuk su; kim, sung kook; jung, min kyu; cho, chang min; tak, won young; kweon, young oh",factors predictive of risk for complications in patients with oesophageal foreign bodies,digestive and liver disease: official journal of the italian society of gastroenterology and the italian association for the study of the liver
606,2011,"Tokarski, Zbigniew; Florkowski, Antoni; Talarowska, Monika; Wierzbiński, Piotr; Łopacińska, Iwona; Zboralski, Krzysztof; Szubert, Sławomir",[Self-aggressive behavior in prisons],Polski Merkuriusz Lekarski: Organ Polskiego Towarzystwa Lekarskiego,Bibliography Search,,,,,,,,,,,,,,,,,,,
607,2011,"Tonkic, Ante; Bogdanovic, Zoran; Grandić, Leo",Successful endoscopic removal of a swallowed toothbrush: case report,Case Reports in Gastroenterology,Bibliography Search,,,,,,,,,,,,,,,N,2011,"tonkic, ante; bogdanovic, zoran; grandiƒá, leo",successful endoscopic removal of a swallowed toothbrush: case report,case reports in gastroenterology
608,2011,"Wu, W.-T.; Chiu, C.-T.; Kuo, C.-J.; Lin, C.-J.; Chu, Y.-Y.; Tsou, Y.-K.; Su, M.-Y.",Endoscopic management of suspected esophageal foreign body in adults,Diseases of the Esophagus: Official Journal of the International Society for Diseases of the Esophagus,Bibliography Search,,,,,,,,,,,,,,,N,2011,"wu, w.-t.; chiu, c.-t.; kuo, c.-j.; lin, c.-j.; chu, y.-y.; tsou, y.-k.; su, m.-y.",endoscopic management of suspected esophageal foreign body in adults,diseases of the esophagus: official journal of the international society for diseases of the esophagus
609,2012,"Ambe, Peter; Weber, Sebastian A.; Schauer, Mathias; Knoefel, Wolfram T.",Swallowed Foreign Bodies in Adults,Deutsches Ärzteblatt international,Bibliography Search,,,,,,,14/04/2025 18:10,,,,,,,,N,2012,"ambe, peter; weber, sebastian a.; schauer, mathias; knoefel, wolfram t.",swallowed foreign bodies in adults,deutsches √ñrzteblatt international
610,2012,"Atluri, Dileep; Veluru, Chandra; Chopra, Anish; Mullen, Kevin D.",Recurrent Intentional Foreign Body Ingestion: An Endoscopist's Dilemma,Gastroenterology & Hepatology,Bibliography Search,,,,,,,,,,,,,,,,,,,
611,2012,"Cevizci, Mehmet Nuri; Karadağ, Cetin Ali; Demir, Mesut; Dokucu, Ali Ihsan",[Intestinal perforation due to multiple magnet ingestion: a case report],Ulusal travma ve acil cerrahi dergisi = Turkish journal of trauma & emergency surgery: TJTES,Bibliography Search,,,,,,,,,,,,,,,N,2012,"cevizci, mehmet nuri; karadaƒü, cetin ali; demir, mesut; dokucu, ali ihsan",[intestinal perforation due to multiple magnet ingestion: a case report],ulusal travma ve acil cerrahi dergisi = turkish journal of trauma & emergency surgery: tjtes
612,2012,"Chiu, Yu-Hui; Hou, Sen-Kuang; Chen, Sau-Chin; How, Chorng-Kuang; Lam, Carlos; Kao, Wei-Fong; Yen, David Hung-Tsang; Huang, Mu-Shun",Diagnosis and endoscopic management of upper gastrointestinal foreign bodies,The American Journal of the Medical Sciences,Bibliography Search,,,,,,,,,,,,,,,N,2012,"chiu, yu-hui; hou, sen-kuang; chen, sau-chin; how, chorng-kuang; lam, carlos; kao, wei-fong; yen, david hung-tsang; huang, mu-shun",diagnosis and endoscopic management of upper gastrointestinal foreign bodies,the american journal of the medical sciences
613,2012,"Liu, Shiqi; Li, Jianhui; Lv, Yi",Gastrointestinal damage caused by swallowing multiple magnets,Frontiers of Medicine,Bibliography Search,,,,,,,,,,,,,,,N,2012,"liu, shiqi; li, jianhui; lv, yi",gastrointestinal damage caused by swallowing multiple magnets,frontiers of medicine
614,2012,"Palese, Caren; Al-Kawas, Firas H.",Repeat intentional foreign body ingestion: the importance of a multidisciplinary approach,Gastroenterology & Hepatology,Bibliography Search,,,,,,,,,,,,,,,,,,,
615,2012,"Peng, Anquan; Li, Youzhong; Xiao, Zian; Wu, Weijing",Study of clinical treatment of esophageal foreign body-induced esophageal perforation with lethal complications,European Archives of Oto-Rhino-Laryngology,Bibliography Search,,,,,,,14/04/2025 14:25,,,,,,,,N,2012,"peng, anquan; li, youzhong; xiao, zian; wu, weijing",study of clinical treatment of esophageal foreign body-induced esophageal perforation with lethal complications,european archives of oto-rhino-laryngology
616,2012,"Sewpaul, A.; Shaban, F.; Venkatasubramaniam, A. K.; Tennant, D.; Kelly, S. B.",The case of the forgotten toothbrush,International Journal of Surgery Case Reports,Bibliography Search,,,,,,,,,,,,,,,N,2012,"sewpaul, a.; shaban, f.; venkatasubramaniam, a. k.; tennant, d.; kelly, s. b.",the case of the forgotten toothbrush,international journal of surgery case reports
617,2013,"Ataya, A.; Alraiyes, A.H.; Alraies, M.C.",Razor blades in the stomach,QJM: An International Journal of Medicine,Bibliography Search,,,,,,,14/04/2025 14:41,,,,,,,,N,2013,"ataya, a.; alraiyes, a.h.; alraies, m.c.",razor blades in the stomach,qjm: an international journal of medicine
618,2013,"Cevik, Muazez; Gókdemir, Mehmet Tahir; Boleken, Mehmet Emin; Sogut, Ozgur; Kurkcuoglu, Can",The characteristics and outcomes of foreign body ingestion and aspiration in children due to lodged foreign body in the aerodigestive tract,Pediatric Emergency Care,Bibliography Search,,,,,,,,,,,,,,,N,2013,"cevik, muazez; g√≥kdemir, mehmet tahir; boleken, mehmet emin; sogut, ozgur; kurkcuoglu, can",the characteristics and outcomes of foreign body ingestion and aspiration in children due to lodged foreign body in the aerodigestive tract,pediatric emergency care
619,2013,"Erbil, Bülent; Karaca, Mehmet Ali; Aslaner, Mehmet Ali; Ibrahimov, Zaur; Kunt, Mehmet Mahir; Akpinar, Erhan; Özmen, Mehmet Mahir",Emergency admissions due to swallowed foreign bodies in adults,World Journal of Gastroenterology,Bibliography Search,,,,,,,,,,,,,,,N,2013,"erbil, b√ºlent; karaca, mehmet ali; aslaner, mehmet ali; ibrahimov, zaur; kunt, mehmet mahir; akpinar, erhan; √ñzmen, mehmet mahir",emergency admissions due to swallowed foreign bodies in adults,world journal of gastroenterology
620,2013,"Fine, Sean; Watson, James B.; Habr, Fadlallah","Now You See It, Endo You Don't: Case of the Disappearing Knife",Gastroenterology,Bibliography Search,,,,,,,14/04/2025 14:25,,,,,,,,N,2013,"fine, sean; watson, james b.; habr, fadlallah","now you see it, endo you don't: case of the disappearing knife",gastroenterology
621,2013,"Kumar, Gupta Suresh; Amar, Verma; Ramesh, Bharti; Abbey, R. K.",Bizarre Metal Bezoar: A Case Report,Indian Journal of Surgery,Bibliography Search,,,,,,,14/04/2025 13:29,,,,,,,,N,2013,"kumar, gupta suresh; amar, verma; ramesh, bharti; abbey, r. k.",bizarre metal bezoar: a case report,indian journal of surgery
622,2013,"Li, Quan-Peng; Ge, Xian-Xiu; Ji, Guo-Zhong; Fan, Zhi-Ning; Zhang, Fa-Ming; Wang, Yun; Miao, Lin",Endoscopic retrieval of 28 foreign bodies in a 100-year-old female after attempted suicide,World Journal of Gastroenterology,Bibliography Search,,,,,,,,,,,,,,,N,2013,"li, quan-peng; ge, xian-xiu; ji, guo-zhong; fan, zhi-ning; zhang, fa-ming; wang, yun; miao, lin",endoscopic retrieval of 28 foreign bodies in a 100-year-old female after attempted suicide,world journal of gastroenterology
623,2013,"Misra, S.; Jain, V.; Ahmad, F.; Kumar, R.; Kishore, N.",Metallic sewing needle ingestion presenting as acute abdomen,Nigerian Journal of Clinical Practice,Bibliography Search,,,,,,,,,,,,,,,N,2013,"misra, s.; jain, v.; ahmad, f.; kumar, r.; kishore, n.",metallic sewing needle ingestion presenting as acute abdomen,nigerian journal of clinical practice
624,2013,"Visagan, R.; Grossman, R.; Dimitriadis, P. A.; Desai, A.",‘Crohn'z meanz Heinz’: foreign body inflammatory mass mimicking Crohn’s disease,Case Reports,Bibliography Search,,,,,,,14/04/2025 14:15,,,,,,,,N,2013,"visagan, r.; grossman, r.; dimitriadis, p. a.; desai, a.",‚äòcrohn'z meanz heinz‚äô: foreign body inflammatory mass mimicking crohn‚äôs disease,case reports
625,2014,"Albeldawi, Mazen; Birgisson, Sigurbjorn",Conservative management of razor blade ingestion,Gastroenterology Report,Bibliography Search,,,,,,,14/04/2025 14:35,,,,,,,,N,2014,"albeldawi, mazen; birgisson, sigurbjorn",conservative management of razor blade ingestion,gastroenterology report
626,2014,"Bhasin, Sanjay K.; Kachroo, S. L.; Kumar, Vijay; Kumar, Raj; Chandail, Viajaynt Singh",7” long knife for 7 years in the duodenum: a rare case report and review of literature,International Surgery Journal,Bibliography Search,,,,,,,14/04/2025 16:04,,,,,,,,,,,,
627,2014,"Brown, Julie C.; Otjen, Jeffrey P.; Drugas, George T.",Pediatric magnet ingestions: the dark side of the force,American Journal of Surgery,Bibliography Search,,,,,,,,,,,,,,,N,2014,"brown, julie c.; otjen, jeffrey p.; drugas, george t.",pediatric magnet ingestions: the dark side of the force,american journal of surgery
628,2014,"Dyke, Julia; Hendry, Kyle; Hill, Jason; Schultz, Michael; Mason, Evan; Glue, Paul",Management of a Cluster of Foreign Body Ingestion Incidents in Patients with Borderline Personality Disorder,Open Journal of Psychiatry,Bibliography Search,,,,,,,14/04/2025 13:14,,,,,,,,N,2014,"dyke, julia; hendry, kyle; hill, jason; schultz, michael; mason, evan; glue, paul",management of a cluster of foreign body ingestion incidents in patients with borderline personality disorder,open journal of psychiatry
629,2014,"Emara, Mohamed H.; Darwiesh, Ehab M.; Refaey, Mohamed M.; Galal, Sherif M.",Endoscopic removal of foreign bodies from the upper gastrointestinal tract: 5-year experience,Clinical and Experimental Gastroenterology,Bibliography Search,,,,,,,,,,,,,,,N,2014,"emara, mohamed h.; darwiesh, ehab m.; refaey, mohamed m.; galal, sherif m.",endoscopic removal of foreign bodies from the upper gastrointestinal tract: 5-year experience,clinical and experimental gastroenterology
630,2014,"Morales, Yolanda Madrid; Guarnero, Peter Andrew",Non-suicidal self-injury among adult males in a correctional setting,Issues in Mental Health Nursing,Bibliography Search,,,,,,,,,,,,,,,N,2014,"morales, yolanda madrid; guarnero, peter andrew",non-suicidal self-injury among adult males in a correctional setting,issues in mental health nursing
631,2014,"Narjis, Youssef","Surgical digestive emergencies in prisoners, about a prospective study","Journal of Emergencies, Trauma, and Shock",Bibliography Search,,,,,,,,,,,,,,,N,2014,"narjis, youssef","surgical digestive emergencies in prisoners, about a prospective study","journal of emergencies, trauma, and shock"
632,2014,"Petrea, S.; Brezean, I.",Self-ingested intraduodenal foreign bodies--expectancy or surgical sanction?,Journal of Medicine and Life,Bibliography Search,,,,,,,,,,,,,,,,,,,
633,2014,"Ribas, Yolanda; Ruiz-Luna, David; Garrido, Marina; Bargalló, Josep; Campillo, Francesc",Ingested foreign bodies: do we need a specific approach when treating inmates?,The American Surgeon,Bibliography Search,,,,,,,,,,,,,,,,,,,
635,2014,"Sugawa, Choichi; Ono, Hiromi; Taleb, Mona; Lucas, Charles E.",Endoscopic management of foreign bodies in the upper gastrointestinal tract: A review,World Journal of Gastrointestinal Endoscopy,Bibliography Search,,,,,,,,,,,,,,,N,2014,"sugawa, choichi; ono, hiromi; taleb, mona; lucas, charles e.",endoscopic management of foreign bodies in the upper gastrointestinal tract: a review,world journal of gastrointestinal endoscopy
637,2015,"Kar, Sujita Kumar; Kamboj, Abhilove; Kumar, Rajesh",Pica and psychosis - clinical attributes and correlations: a case report,Journal of Family Medicine and Primary Care,Bibliography Search,,,,,,,,,,,,,,,N,2015,"kar, sujita kumar; kamboj, abhilove; kumar, rajesh",pica and psychosis - clinical attributes and correlations: a case report,journal of family medicine and primary care
638,2015,"Kim, Darae; Yang, Pil-Sung; Choi, Jung-Ho; Seo, Jiwon; Chun, Kyeong-Hyeon; Lee, Sang-Eun; Hong, Geu-Ru; Joo, Hyun-Chel; Choi, Donghoon",Metallic foreign body in heart mimicking moderator band,Yonsei Medical Journal,Bibliography Search,,,,,,,,,,,,,,,N,2015,"kim, darae; yang, pil-sung; choi, jung-ho; seo, jiwon; chun, kyeong-hyeon; lee, sang-eun; hong, geu-ru; joo, hyun-chel; choi, donghoon",metallic foreign body in heart mimicking moderator band,yonsei medical journal
639,2015,"Kim, Joo Heung; Lee, Dae Sup; Kim, Kwang Min",Acute appendicitis caused by foreign body ingestion,Annals of Surgical Treatment and Research,Bibliography Search,,,,,,,14/04/2025 13:00,,,,,,,,N,2015,"kim, joo heung; lee, dae sup; kim, kwang min",acute appendicitis caused by foreign body ingestion,annals of surgical treatment and research
640,2015,"Kobiela, Jarek; Mittlener, Stanislaw; Gorycki, Tomasz; Lachinski, Andrzej; Adrych, Krystian",Vast collection of foreign bodies in the stomach presenting as acute gastrointestinal bleeding in a patient with schizophrenia,Endoscopy,Bibliography Search,,,,,,,14/04/2025 13:30,,,,,,,,N,2015,"kobiela, jarek; mittlener, stanislaw; gorycki, tomasz; lachinski, andrzej; adrych, krystian",vast collection of foreign bodies in the stomach presenting as acute gastrointestinal bleeding in a patient with schizophrenia,endoscopy
641,2015,"Ugenti, I.; Digennaro, R.; Martines, G.; Caputi Iambrenghi, O.",Double esophageal perforation by ingested foreign body: Endoscopic and surgical approach. A case report.,International Journal of Surgery Case Reports,Bibliography Search,,,,,,,14/04/2025 16:12,,,,,,,,N,2015,"ugenti, i.; digennaro, r.; martines, g.; caputi iambrenghi, o.",double esophageal perforation by ingested foreign body: endoscopic and surgical approach. a case report.,international journal of surgery case reports
