Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason
2014,"Dallimore, J.",J Dallimore,"J Dallimore - Expedition Medicine, 2014 - taylorfrancis.com",Expedition Medicine,First aid and management of minor injuries,"Serious accidents and injuries on expeditions are rare. However, m inor injuries of one kind or another are encountered on most expeditions. In some cases injured expedition members …",https://www.taylorfrancis.com/chapters/edit/10.4324/9781315063621-20/first-aid-management-minor-injuries-jon-dallimore,Google Scholar,,,
2015,"ONOTAI, L.",L OBUKOWHO ONOTAI,"L OBUKOWHO ONOTAI - Online Journal of Otolaryngology, 2015",Online Journal of Otolaryngology,DISK BATTERIES IN THE ESOPHAGUS OF NIGERIAN CHILDREN: CASE SERIES.,,,Google Scholar,,,
2015,"Adaobi, O.","OO Lucky, EO Adaobi","OO Lucky, EO Adaobi - Online Journal of Otolaryngology, 2015 - Citeseer",Online Journal of Otolaryngology,DISK BATTERIES IN THE ESOPHAGUS OF NIGERIAN CHILDREN: CASE SERIES,Foreign body (FB) ingestion is common in clinical practice especially in children. Its impaction in the esophagus constitutes an important cause of morbidity and mortality in our …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=2924fc8ebe5922646a52365ac8b4e9b15ee95e3f,Google Scholar,,,
2015,"Washington, C.",CM Washington,"CM Washington - Principles and Practice of Radiation Therapy-E …, 2015 - books.google.com",Principles and Practice of Radiation Therapy-E …,Surface and sectional anatomy,"• Compare and contrast aspects of anatomic positioning, anatomy features, and organ/tissue location used by the radiation oncology team for treatment planning and delivery. …",https://books.google.com/books?hl=en&lr=&id=zzMwBwAAQBAJ&oi=fnd&pg=PA388&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=4DE11L0dcs&sig=LrAWjFYy8XXFHKhU6IZfBSjqd_c,Google Scholar,,,
2016,"Tear, M.",M Tear,"M Tear - Small Animal Surgical Nursing-E-Book, 2016 - books.google.com",Small Animal Surgical Nursing-E-Book,8 Surgical Procedures,During a surgical procedure the veterinarian’s complete attention needs to be directed to the procedure being performed. Even the simplest of procedures can take a turn for the worse if …,https://books.google.com/books?hl=en&lr=&id=BB1uDQAAQBAJ&oi=fnd&pg=PA129&dq=++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)++++++++++++++++++++++++&ots=mh2lDnAp9q&sig=E-_5-CVNEb2y3G18kM-T089ghEo,Google Scholar,,,
2016,"Konturek, A.","A Gałczyński, E Cieplińska, A Konturek","A Gałczyński, E Cieplińska, A Konturek - Polish Journal of Surgery, 2016 - ppch.pl",Polish Journal of Surgery,Habitual intentional foreign body ingestion–A literature review,Foreign body ingestion is a commonly reported clinical problem. There are no data to evaluate the prevalence of this phenomenon in Poland. In the United States the annual death rate …,https://ppch.pl/api/files/view/69263.pdf,Google Scholar,,,
2016,"Cieplińska…, A.","A Gałczyński, E Cieplińska…","A Gałczyński, E Cieplińska… - Polski Przegląd …, 2016 - Index Copernicus",Polski Przegląd …,Nawykowe celowe połykanie ciał obcych–przegląd piśmiennictwa,,,Google Scholar,,,
2016,"Saad, M.",MN Saad,"MN Saad - IEEE pulse, 2016 - ieeexplore.ieee.org",IEEE pulse,Could Al-Zahrawi Be Considered a Biomedical Engineer?,"In one?s career, it is good to look back at the predecessors in the field. Biomedical engineering history is full of hidden treasures, one of whom is Al-Zahrawi, a Muslim surgeon who had …",https://ieeexplore.ieee.org/abstract/document/7432067/,Google Scholar,,,
2016,"Yeom…, C.","CW Lim, MH Park, HJ Do, JS Yeom…","CW Lim, MH Park, HJ Do, JS Yeom… - Pediatric …, 2016 - synapse.koreamed.org",Pediatric …,"Factors associated with removal of impactted fishbone in children, suspected ingestion",Purpose The management and clinical course in pediatric patients who had ingested foreign body were investigated retrospectively to evaluate the frequency and factor associated with …,https://synapse.koreamed.org/articles/1080895,Google Scholar,,,
2016,"Maglen, K.",K Maglen,"K Maglen - The English System, 2016 - manchesterhive.com",The English System,1892,"100 The English System began its march westward. 2 The first was the outskirts of Paris, where the disease was identified in late March. It was believed to have been a recrudescence …",https://www.manchesterhive.com/abstract/9781526111999/9781526111999.00008.xml,Google Scholar,,,
2016,"Chen…, J.","JH Lin, J Fang, D Wang, HZ Chen…","JH Lin, J Fang, D Wang, HZ Chen… - Journal of Digestive …, 2016 - search.ebscohost.com",Journal of Digestive …,"Chinese expert consensus on the endoscopic management of foreign bodies in the upper gastrointestinal tract (2015, Shanghai, China).",The article focuses on a study regarding management of foreign bodies present in the upper gastrointestinal tract (UGIT). Topics discussed include significant number of cases of …,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=17512972&asa=N&AN=114712546&h=vdcuEdqUEruXYux9LwnSC1ZqaxU8EJIF2X45TBQzPVLmAyWDep4m%2BbZDHteG7lGu4%2Fvtf5u8Miicx276n7YlzQ%3D%3D&crl=c,Google Scholar,,,
2017,"Saleem, N.","NH Senussi, N Saleem","NH Senussi, N Saleem - Baylor University Medical Center …, 2017 - Taylor & Francis",Baylor University Medical Center …,Ingestion of computer circuit boards causing esophageal impaction and small bowel obstruction,"Foreign body ingestion is common in patients with psychiatric diagnoses. Ingested objects can become impacted in the upper and lower gastrointestinal tract, causing serious …",https://www.tandfonline.com/doi/abs/10.1080/08998280.2017.11929541,Google Scholar,,,
2017,"Gurgel…, V.","VS Mannarino, DCS Pereira, WS Gurgel…","VS Mannarino, DCS Pereira, WS Gurgel… - Journal of forensic …, 2017 - Wiley Online Library",Journal of forensic …,Self‐Embedding Behavior in Adults: A Report of Two Cases and a Systematic Review,"Self‐embedding behavior (SEB) is the repeated insertion of sharp objects, such as needles or pins, into the soft tissues of abdomen, limbs, and other body parts. In this study, two cases …",https://onlinelibrary.wiley.com/doi/abs/10.1111/1556-4029.13359,Google Scholar,,,
2017,"Kennedy…, G.","GJ Housler, S Cross, V Marcel, DO Kennedy…","GJ Housler, S Cross, V Marcel, DO Kennedy… - J Spec Oper Med, 2017",J Spec Oper Med,A prospective randomized controlled two-arm clinical study evaluating the efficacy of a bioelectric dressing system for blister management in US army …,,,Google Scholar,,,
2017,"Höllwarth, M.",ME Höllwarth,"ME Höllwarth - Newborn Surgery, 2017 - taylorfrancis.com",Newborn Surgery,Gastroesophageal reflux in the neonate and small infant,"Gastroesophageal reflux (GER) is a term that describes the backflow of gastric content into the esophagus, sometimes reaching even the mouth. It is a common phenomenon and …",https://www.taylorfrancis.com/chapters/edit/10.4324/9781315113968-50/gastroesophageal-reflux-neonate-small-infant-michael-h%C3%B6llwarth,Google Scholar,,,
2017,"Vogel, H.",H Vogel,"H Vogel - Monitoring Detention, Custody, Torture and Ill …, 2017 - taylorfrancis.com",Monitoring Detention,Radiology in the Documentation of Torture and Ill-Treatment,"Radiology has an important and specific role to play in the documentation of physical injuries that may be caused by torture, ill-treatment, and other violence during arrest and while in …",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315211459-7/radiology-documentation-torture-ill-treatment-vogel,Google Scholar,,,
2018,"Fara, A.","AM Omar, AA Ali Fara","AM Omar, AA Ali Fara - Arch Dairy Res Technol: ADRT-106. DOI, 2018 - academia.edu",Arch Dairy Res Technol: ADRT-106. DOI,"Ingestion Foreign Bodies in Rumen and Reticulum of Shoats in Hargeisa, Somalia: Preva-lence and The Associated Risk Factors",Shoats are primarily the domestic animals of Somali pastoral communities that ensure food security and economic growth of the country but recent years were decreased due to the …,https://www.academia.edu/download/57733247/Ingestion_Foreign_Bodies_in_Rumen_and_Reticulum_of_Shoats_in_Hargeisa_.pdf,Google Scholar,,,
2019,"Abbas, K.",K Abbas,"K Abbas - EC Paediatrics, 2019 - researchgate.net",EC Paediatrics,Is Button Battery More Dangerous than a Bullet?,Objective: Button battery in digestive tract has unpredictable outcome ranging from harmless to death around the globe. Despite public awareness campaigns its incidence is increasing …,https://www.researchgate.net/profile/Ali-Chaudhry-10/publication/364959034_EC_PAEDIATRICS_Research_Article_Is_Button_Battery_More_Dangerous_than_a_Bullet/links/6361183d6e0d367d91e7b5df/EC-PAEDIATRICS-Research-Article-Is-Button-Battery-More-Dangerous-than-a-Bullet.pdf,Google Scholar,,,
2019,"Koçak…, S.","S Sarı, H Bektaş, K Ulusan, B Koçak…","S Sarı, H Bektaş, K Ulusan, B Koçak… - Turkish Journal of …, 2019 - jag.journalagent.com",Turkish Journal of …,A 4-year single-center experience in the management of esophageal perforation.,BACKGROUND: Esophageal perforation (EP) is a lethal surgical emergency that needs to be diagnosed and treated immediately. Diagnosis and treatment options for EP are limited …,https://jag.journalagent.com/z4/download_fulltext.asp?pdir=travma&plng=tur&un=UTD-79484,Google Scholar,,,
2019,"Sandison…, E.","EB Chevretton, I Pai, S Haikel, A Sandison…","EB Chevretton, I Pai, S Haikel, A Sandison… - The Journal of …, 2019 - cambridge.org",The Journal of …,"Proceedings of the 153rd Semon Club, 13 November 2017, ENT Department, Guy's and St Thomas' NHS Foundation Trust, London, UK","Discussion At the 153rd Semon Club, the panel were surprised by the lack of nasal crusting in this patient. As the findings were negative for cytoplasmic ANCA, Mr Shahzada Ahmed …",https://www.cambridge.org/core/journals/journal-of-laryngology-and-otology/article/proceedings-of-the-153rd-semon-club-13-november-2017-ent-department-guys-and-st-thomas-nhs-foundation-trust-london-uk/315456B9A7CFF613482DC5D3E0E7A5F3,Google Scholar,,,
2020,"Chandrakantan…, O.","OA Olutoye, A Chandrakantan…","OA Olutoye, A Chandrakantan… - Gregory's Pediatric …, 2020 - Wiley Online Library",Gregory's Pediatric …,Otolaryngological and Dental Surgery,This chapter discusses the perioperative anesthetic considerations and management of the most common conditions requiring surgical intervention in the head and neck region. Many …,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119371533.ch34,Google Scholar,,,
2020,"Hanif, U.","U Khan, S Hanif","U Khan, S Hanif - Pakistan Journal of Surgery, 2020 - search.ebscohost.com",Pakistan Journal of Surgery,Accidental ingestion of tooth pick leading to bowel perforation-A case report.,"Bowel perforation is a surgical emergency. There are many causes of bowel perforation commonest being infection, infarction, radiation enteritis, crohn's disease and carcinomas. …",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=02588552&AN=149490166&h=UAOoFI%2F7wY%2BFEynEVet91eJrvw4wkxr0YoqKunoEl6p%2Bud5Yo1ia6PhHQUiqG%2BRkLRnmFsO%2FRgdW%2BZiq0U%2FLAQ%3D%3D&crl=c,Google Scholar,,,
2020,"Allepuz…, A.","A Lacombe, E Pintado, AO Byrne, A Allepuz…","A Lacombe, E Pintado, AO Byrne, A Allepuz… - Diseases of aquatic …, 2020 - int-res.com",Diseases of aquatic …,Ingestion of foreign materials by odontocetes along the Catalan coast: causes and consequences,"Ingestion of abnormal materials by cetaceans has been reported worldwide, but few studies have investigated the causes of foreign material ingestion. We retrospectively analysed …",https://www.int-res.com/abstracts/dao/v142/p23-31/,Google Scholar,,,
2021,"Gomez‐Esquivel, R.",RD Gomez‐Esquivel,"RD Gomez‐Esquivel - The Esophagus, 2021 - Wiley Online Library",The Esophagus,Foreign Bodies,Foreign body ingestion is a frequent occurrence. The use of two X‐ray views will help localize the foreign body to the esophagus. Food boluses represent the most common type of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119599692.ch41,Google Scholar,,,
2021,"Gershman…, R.","R Furlano, G Gershman…","R Furlano, G Gershman… - Practical Pediatric …, 2021 - Wiley Online Library",Practical Pediatric …,Foreign body ingestion,Endoscopy is a common and useful means of accessing the upper gastrointestinal tract for the purpose of retrieving ingested foreign bodies in children. The majority of foreign body …,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119423492.ch29,Google Scholar,,,
2022,"Olaoye…, P.","PO Adeoye, OA Afolabi, HK Omokanye, I Olaoye…","PO Adeoye, OA Afolabi, HK Omokanye, I Olaoye… - African Health …, 2022 - ajol.info",African Health …,Foreign bodies in the aerodigestive tract: time for comprehensive preventive measures,Background: Foreign body (FB) in the aerodigestive tract presents more commonly in children and remains a surgical emergency with potential for fatal complications. Objectives: To …,https://www.ajol.info/index.php/ahs/article/view/228987,Google Scholar,,,
2022,"Colby, A.","AV Farooq, KA Colby","AV Farooq, KA Colby - Albert and Jakobiec's Principles and Practice of …, 2022 - Springer",Albert and Jakobiec's Principles and Practice of …,Emergency and Initial Management of Anterior Segment and Adnexal Trauma,This chapter provides an overview of the emergency and initial management of anterior segment and adnexal trauma. This includes guidance for initial evaluation and triage by …,https://link.springer.com/content/pdf/10.1007/978-3-030-42634-7_321.pdf,Google Scholar,,,
2022,"RF, B.","B DD, P RF","B DD, P RF - New Armenian Medical Journal, 2022 - search.ebscohost.com",New Armenian Medical Journal,CASE REPORT OF FATAL DEEP NECK ABSCESS: A COMPLICATION OF AERODIGESTIVE FOREIGN BODIES.,"Background: Ingestion of a foreign body is a typical emergency in the field of health services otorhinolaryngology head and neck surgery. Pharyngooesophageal perforation, aorto-…",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=18290825&AN=160449218&h=p5sZ0jK2%2F7%2F0gbI3sj9aGuDQ5SnK0xib%2F%2Bnji2l2a6IM4xqsn%2FdDz76rloehnZS59JxGeQ5q%2BMfnb%2BPlSq7jHw%3D%3D&crl=c,Google Scholar,,,
2022,"CALABRESE, D.","D BRISSETTE, RO CALABRESE","D BRISSETTE, RO CALABRESE - Clinical Medicine for …, 2022 - books.google.com",Clinical Medicine for …,THROAT DISORDERS,"Otolaryngology disorders are very common in primary care, accounting for 20% to 50% of presenting complaints to a primary care clinician. Management of common conditions of the …",https://books.google.com/books?hl=en&lr=&id=GMw6EAAAQBAJ&oi=fnd&pg=PA83&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=y6rRgjRYiL&sig=X9edJDTA7Hc4qlKBh_JizdJSvxI,Google Scholar,,,
2022,"Figueiredo, J.",JP Figueiredo,"JP Figueiredo - Canine and Feline Anesthesia and Co‐Existing …, 2022 - Wiley Online Library",Canine and Feline Anesthesia and Co‐Existing …,Gastrointestinal disease,"The digestive system provides the body with a continual supply of water, electrolytes, and nutrients. Food must be appropriately taken, ingested, and moved through the gastrointestinal (…",https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119604075.ch5,Google Scholar,,,
2023,"Karahan…, Ö.","Ö Güneş, A Atay, F Karahan…","Ö Güneş, A Atay, F Karahan… - Laparoscopic …, 2023 - search.ebscohost.com",Laparoscopic …,Gastrointestinal system foreign bodies.,"Introduction: While foreign bodies in the gastrointestinal tract are observed more frequently and accidentally in the childhood age group, they may occur to attract attention, sexual …",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=25870610&AN=163485270&h=XWzTR2NpovQX%2Fajc2YST7VpRT16rJiAcZSavkMwPCPiZ24FEWX8FKDItmDbmfyKQjbMzZm14xam%2BoaxwGVX%2FQw%3D%3D&crl=c,Google Scholar,,,
2023,"KUNČIUS, H.",H KUNČIUS,"H KUNČIUS - Lituanus, 2023 - search.ebscohost.com",Lituanus,THE COLLECTIVE FARM IS GETTING ON ITS FEET.,"The Collective Farm is Getting on Its Feet"" explores the aftermath of Stalin's death on a collective farm in Lithuania. The article highlights the mourning and despair felt by the Soviet …",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=00245089&asa=N&AN=174259308&h=%2BHUm5%2F0q4WDJk0%2BnvmX7XSC%2FoWluXEycXTqWx54Bjow9L1FlHKjU9XNzk5940Y7RhtDTo4jb93PFhhGavwzrHA%3D%3D&crl=c,Google Scholar,,,
2024,"Buils, F.",FJ Buils,"FJ Buils - A Case Report. Clin Surg, 2024 - clinicofsurgery.org",A Case Report. Clin Surg,Repeated Behavior of Deliberate Foreign Body Ingestion in a Patient with Psychiatric Disorder,"1. Abstract Foreign body ingestion [FBI] is rare in adults as compared with children [1]. Foreign body ingestion is accidental in 95 percent of cases and is usually related to food [fish, …",https://clinicofsurgery.org/wp-content/uploads/2024/08/COS-v10-1793.pdf,Google Scholar,,,
,"Bağ, Ö.","Ö Güneş, YM Bağ","Ö Güneş, YM Bağ - Age - jag.journalagent.com",,LESS,"Introduction: While foreign bodies in the gastrointestinal tract are observed more frequently and accidentally in the childhood age group, they may occur to attract attention, sexual …",https://jag.journalagent.com/z4/download_fulltext.asp?pdir=less&plng=eng&un=LESS-45403,Google Scholar,,,
,"Cappello, M.",M Cappello,M Cappello - 2011 - books.google.com,,"Swallow: foreign bodies, their ingestion, inspiration, and the curious doctor who extracted them",Product Description An American half-dollar. A beaded crucifix. Tooth roots shaped like a tiny pair of pants. A padlock. Scads of peanut kernels and scores of safety pins. A metallic letter …,https://books.google.com/books?hl=en&lr=&id=ZJC4-0AWa9YC&oi=fnd&pg=PR9&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=hDvsmfztfN&sig=3EZV0v0yi7zdPuMBsWFGFTGlN5k,Google Scholar,,,
,"Ningi, S.","S Aliyu, AB Ningi","S Aliyu, AB Ningi - IJCMCR. 2022; 23 (2) - ijclinmedcasereports.com",,Trans-Vesical Migration of a Swallowed Needle with Intra-Urethral Impaction in a 12-Year-Old Boy,"Foreign body, of whatever type, when ingested, either accidentally or intentionally, elicits strong reaction from care-givers, especially; if the victim is a child. Infants and children are the …",https://ijclinmedcasereports.com/pdf/IJCMCR-CR-00558.pdf,Google Scholar,,,
,"Temel…, H.","HY Teke, M Can, T Renklidağ, N Temel…","HY Teke, M Can, T Renklidağ, N Temel… - p-ISSN 1300-865X e … - pdfs.semanticscholar.org",,Baby Death due to Esophagotracheal Fistula Created by An Alkaline Battery: A,There is a limited number of case presentations in literature related to esophagus burns and complications as a result of swallowing an alkaline battery. The main purpose of this case …,https://pdfs.semanticscholar.org/f469/fae31b6e729ea75d77e70608d5fd57e2a5b6.pdf,Google Scholar,,,
,"Hagos, M.",MD Mekonnen Hagos,MD Mekonnen Hagos - gestion,,"FOREIGN BODIES IN THE EAR, NOSE AND ESOPHOGUS IN PEDIATRIC AGE GROUP, AT MEKELLE HOSPITAL ETHIOPIA.",,,Google Scholar,,,
,"Rodrigues…, P.","P Magalhães-Costa, L Carvalho, JP Rodrigues…","P Magalhães-Costa, L Carvalho, JP Rodrigues… - 2015 - cyberleninka.org",,Endoscopic Management of Foreign Bodies in the Upper Gastrointestinal Tract: An Evidence-Based,Gastrointestinal foreign bodies (FB) are comprised of food bolus impaction and intentionally or unintentionally ingested or inserted true FB. Food bolus impaction and true FB ingestion …,https://cyberleninka.org/article/n/1318165.pdf,Google Scholar,,,
,"STEINHART, S.","SPL TRAVIS, T AHMAD, J COLLIER, AH STEINHART","SPL TRAVIS, T AHMAD, J COLLIER, AH STEINHART - Wiley Online Library",,POCKET CONSULTANT,The term ‘irritable bowel syndrome’(IBS) is used to describe a collection of abdominal symptoms for which no organic cause can be found. This does not mean that the symptoms are all …,https://onlinelibrary.wiley.com/doi/abs/10.1002/9780470994764,Google Scholar,,,
,"Zhang, K.",K Zhang,K Zhang - J Gstro Hepato - jajgastrohepto.org,,Endoscopic Management of Esophageal Foreign Bodies: A Retrospective Study in China,"1. Abstract Esophageal Foreign Bodies (FBs) are the common clinical emergency, accounting for 4% of emergency endoscopic diagnosis and therapeutic approach. Approaches to …",https://jajgastrohepto.org/wp-content/uploads/2022/07/JJGH-v8-1754.pdf,Google Scholar,,,
,"Brenner, R.","RR Simon, BE Brenner","RR Simon, BE Brenner - 2002 - books.google.com",,Emergency procedures and techniques,"This thoroughly updated Fourth Edition is a must for residents and practitioners who need a practical, clear, and readable guide to emergency medicine procedures. The book provides …",https://books.google.com/books?hl=en&lr=&id=dUkQOSA77-8C&oi=fnd&pg=PR19&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=tjngZ-100X&sig=aqUdmYaBw1Q8MbqvbIm7OyYB2Jw,Google Scholar,,,
,"Listed, N.",No Author Listed,A Yee,,K9 Tactical Emergency Casualty Care,,,Google Scholar,,,
,"Kingrey, B.",B Kingrey,B Kingrey - 1954,,Experimental bovine traumatic gastritis.,,,Google Scholar,,,
,"Rossi, J.",J Rossi,J Rossi - 2012 - books.google.com,,What's Wrong With My Cat or Kitten?,Page 1 REVISED EDITION What's Wrong with My Cat or Kitten? A HOME MEDICAL REFERENCE MANUAL • Behavioral Changes First Aid for Miscellaneous Problems Fleas & Ticks. …,https://books.google.com/books?hl=en&lr=&id=Eu4jrW9Ha8QC&oi=fnd&pg=PR4&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=9j4UrSyiVi&sig=2uUwPd0ORKDaIGT5FCguvM-UcOE,Google Scholar,,,
,"Steinhart, S.","SPL Travis, T Ahmad, J Collier, AH Steinhart","SPL Travis, T Ahmad, J Collier, AH Steinhart - 2008 - books.google.com",,Pocket consultant: gastroenterology,"There have been significant developments in the fields of gastroenterology and hepatology since the previous edition and this new edition has been entirely revised, updated and …",https://books.google.com/books?hl=en&lr=&id=tT2a8VrGRbwC&oi=fnd&pg=PR5&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=qFGWhEvtTk&sig=kPUtsSlm_tYBFa8B0aq22wuX0Io,Google Scholar,,,
,"Kerley, C.",CG Kerley,CG Kerley - 1915 - books.google.com,,What Every Mother Should Know about Her Infants and Young Children,"This pamphlet was prepared at the suggestion of a child's welfare organization. Its purpose is to place in the hands of the mother of moderate means, concise, readily understood and …",https://books.google.com/books?hl=en&lr=&id=b5I-AAAAIAAJ&oi=fnd&pg=PA9&dq=++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)++++++++++++++++++++++++&ots=_FTmFQ-ETE&sig=1mVK7Xc5zeKPAHBy_Pr2Xx6K1ys,Google Scholar,,,
,"Peek, T.","TJ Divers, SF Peek","TJ Divers, SF Peek - 2007 - books.google.com",,Rebhun's diseases of dairy cattle,"REBHUN'S DISEASES OF DAIRY CATTLE, 2nd Edition is your all-in-one guide to bovine disease management. With thorough, up-to-date coverage of differential diagnosis methods, …",https://books.google.com/books?hl=en&lr=&id=PbEWJrEtECIC&oi=fnd&pg=PA3&dq=++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)++++++++++++++++++++++++&ots=eTlytA5eEF&sig=TQ7l5bb91BnXZ1xQqhQm5zzNkaE,Google Scholar,,,
,"Montanari, A.","AM Gatti, S Montanari","AM Gatti, S Montanari - 2015 - books.google.com",,Case studies in nanotoxicology and particle toxicology,Case Studies in Nanotoxicology and Particle Toxicology presents a highly-illustrated analysis of the most prominent cases on the adverse effects of nanoparticles and their impact on …,https://books.google.com/books?hl=en&lr=&id=Q-icBAAAQBAJ&oi=fnd&pg=PP1&dq=++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)++++++++++++++++++++++++&ots=Mw1fzD175e&sig=j-LUm8chKWcoltfwDFuLwF9FFs4,Google Scholar,,,
,"Swiderski, R.",RM Swiderski,RM Swiderski - 2014 - books.google.com,,"Quicksilver: A history of the use, lore and effects of mercury","Though modern scientists recognize mercury as a harmful environmental pollutant and one of the world's most dangerous elemental toxins, mercury was once considered a wondrous …",https://books.google.com/books?hl=en&lr=&id=nCKxSwUlX-AC&oi=fnd&pg=PP1&dq=++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)++++++++++++++++++++++++&ots=apP3eUQrIY&sig=yx8U703PVUqIC5oiZOnvnjWyphQ,Google Scholar,,,
