,Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason,Abstract2
35,1998,"Snyder..., S.","SE Morrow, SW Bickler, AP Kennedy, CL Snyder...","SE Morrow, SW Bickler, AP Kennedy, CL Snyder... - Journal of pediatric ..., 1998 - Elsevier",Journal Of Pediatric ...,Balloon Extraction Of Esophageal Foreign Bodies In Children,"Background: Whereas esophageal foreign bodies are commonly removed with rigid esophagoscopy under general anesthesia, selected foreign bodies also can be removed using a ...",https://www.sciencedirect.com/science/article/pii/s0022346898904444,Google Scholar,FALSE,,,"Background: Whereas esophageal foreign bodies are commonly removed with rigid esophagoscopy under general anesthesia, selected foreign bodies also can be removed using a Foley catheter balloon under fluoroscopic control without anesthesia. The authors prefer to initially attempt removal of smooth, radiopaque esophageal foreign bodies using the balloon technique and then proceed to rigid esophagoscopy if unsuccessful.
Methods: The authors reviewed their 7-year experience with this approach in 276 children with esophageal foreign bodies.
Results: One hundred seventy-three children underwent attempted balloon extraction, and 146 of these underwent successful removal with this method. Fifteen remained lodged in the esophagus and were subsequently removed by esophagoscopy, and 12 passed into the stomach and were observed. The only complication was one episode of epistaxis that resolved. Success of the balloon method was not related to patient age, foreign body duration, location, or presenting symptoms. The use of more than 5 minutes of fluoroscopy time was associated with a low likelihood of successful extraction.
Conclusion: The balloon extraction technique is a safe and effective alternative to rigid esophagoscopy for the removal of slected esophageal foreign bodies in children."
36,1998,"Mahadevan..., N.","NHA Kasim, BJJ Abdullah, J Mahadevan...","NHA Kasim, BJJ Abdullah, J Mahadevan... - Annals of Dentistry ..., 1998 - mojes.um.edu.my",Annals Of Dentistry ...,The Radiopacity Of Dental Prostheses (Fixed And Removable) On Plain Radiographs-An Experimental Study,The impaction of dental prostheses in either the airway or esophagus is an under-recognized problem which may result in severe morbidity or even mortality. The radio-opacity and the ...,https://mojes.um.edu.my/index.php/adum/article/view/7078,Google Scholar,FALSE,,,"The impaction of dental prostheses in either the airway or esophagus is an under-recognized problem which may result in severe morbidity or even mortality. The radio-opacity and the size of fixed and removable dental prostheses in an animal carcass was investigated. Prostheses were placed one at a time in the oro-laryngopharynx or in tho trachea and the esophagus. Lateral radiographs were taken for each prosthesis in site. The radio-opacity and size of the prostheses on the radiograph was graded. Most of the prostheses investigated were radio-opaque though the removable prostheses were more likely to be radiolucent and differ in size. In a symptomatic patient with a missing dental prosthesis, a negative chest or abdominal radiograph does not exclude impaction, inhalation or ingestion. Further evaluation with endoscopy or even computed tomography may be essential to reduce the possibility of severe morbidity or even mortality."
37,2000,"Quesenberry, A.","A Adamcak, LR Hess, KE Quesenberry","A Adamcak, LR Hess, KE Quesenberry - Journal of Avian Medicine and ..., 2000 - BioOne",Journal Of Avian Medicine And ...,Intestinal String Foreign Body In An Adult Umbrella Cockatoo (Cacatua Alba),"Gastrointestinal foreign bodies are reported in zoo birds, ratites, and juvenile psittacine birds; however, foreign body ingestion by adult psittacine birds is uncommon. We examined an ...",https://bioone.org/journals/journal-of-avian-medicine-and-surgery/volume-14/issue-4/1082-6742_2000_014_0257_isfbia_2.0.co_2/intestinal-string-foreign-body-in-an-adult-umbrella-cockatoo-cacatua/10.1647/1082-6742(2000)014[0257:isfbia]2.0.co;2.short,Google Scholar,TRUE,4,,
38,2000,"Pappas..., E.","EG Chekan, TN Pappas...","EG Chekan, TN Pappas... - Surgery: Basic Science ..., 2000 - books.google.com",Surgery: Basic Science ...,General Principles,"The historical development of laparoscopy can be traced to early in the nineteenth century when, using reflected candlelight, Bozzini, an Italian physician living in Germany, first ...",https://books.google.com/books?hl=en&lr=&id=vhwr9u09cwic&oi=fnd&pg=pa429&dq=%0a++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)%0a++++++++++++++++++++++++&ots=now0v8pvqm&sig=xu5u1chyoqrxpvp8cvrlkkdcjvi,Google Scholar,TRUE,1,,
39,2002,"El-Zomor, E.","E SHETA, S EL-ZOMOR","E SHETA, S EL-ZOMOR - Veterinary Medical Journal (Giza), 2002 - journals.ekb.eg",Veterinary Medical Journal (Giza),Alimentary Tract Foreign Bodies In Dogs And Cats,"Twelve cats and nine dogs suffering incidental swallowing of foreign bodies were included in this study. Various foreign bodies were detected in their mouth, oesophagus, stomach and ...",https://journals.ekb.eg/article_369369.html,Google Scholar,TRUE,4,,
40,2006,"Canadian, F.",FRY Canadian,"FRY Canadian - Otolaryngology-Head and Neck Surgery, 2006",Otolaryngology-Head And Neck Surgery,"Wednesday, September 20, 2006",,,Google Scholar,TRUE,1,,
41,2007,"Forter, G.",G Forter,"G Forter - Narrative, 2007 - JSTOR",Narrative,"Freud, Faulkner, Caruth: Trauma And The Politics Of Literary Form","For the growing number of cri forces, psychic experience, and since the publication of Cathy C portant opportunity for reflectio influential. It brings sophisticat processes, developing ...",https://www.jstor.org/stable/30219258,Google Scholar,TRUE,5,,"For the growing number of critics concerned to trace the links among historical forces, psychic experience, and literary expression, the growth of trauma studies since the publication of Cathy Caruth's Unclaimed Experience (1996) offers an important opportunity for reflection. On one hand, the work in this field has been justly influential. It brings sophisticated psychoanalytic concepts to bear on collective processes, developing accounts of historical violence that are both socially specific and psychologically astute. These accounts are especially compelling when focused on what I call ""punctual"" traumas: historical events of such singularity, magnitude, and horror that they can be read as shocks that disable the psychic system. Thus, for example, in their readings of the Holocaust-the paradigmatic example for critics concerned with this kind of trauma-Caruth and others have helped us see how a historical moment might be experienced less as an ongoing set of processes that shape and are shaped by those living through them than as a punctual blow to the psyche that overwhelms its functioning, disables its defenses, and absents it from direct contact with the brutalizing event itself. Precisely because the violence suffered by Holocaust victims was so extreme, on this view, it affected those victims as a psychic concussion that short-circuited their capacity to ""process"" the traumatizing event as it took place. Traumas of this kind thus become accessible only in the mind's recursive attempts to master what it has in some sense failed to experience in the first instance. A punctual incursion on the mind, having ""dissociated"" consciousness from itself, installs an unprocessed memory-trace that returns unbidden, as delayed effect, in an effort to force the mind to digest this previously unclaimed kernel of experience."
42,2008,"Pathare, S.",SS PATHARE,"SS PATHARE - Pediatric Hospital Medicine: Textbook of Inpatient ..., 2008 - books.google.com",Pediatric Hospital Medicine: Textbook Of Inpatient ...,B Foreign Body Ingestion,Foreign body ingestion is a very common pediatric problem. Most ingestions occur in children under the age of 4 years. The majority of ingested foreign bodies (up to 80% to 90%) are ...,https://books.google.com/books?hl=en&lr=&id=sv6-ifugomyc&oi=fnd&pg=pa238&dq=%0a++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)%0a++++++++++++++++++++++++&ots=27nvisudc-&sig=eo0tkwuihwy5brkv5kx6gs_tl5q,Google Scholar,FALSE,,,
43,2008,"Ćeranić, P.","P Skok, A Ocepek, D Ćeranić","P Skok, A Ocepek, D Ćeranić - Acta medico-biotechnica, 2008 - journals.um.si",Acta Medico-Biotechnica,The Role Of Emergency Endoscopy In Upper Git Foreign Body Extraction,Purpose: Foreign bodies in the upper gastrointestinal tract (GIT) rarely cause urgent problems in gastroenterology. The purpose of the study was to assess the percentage of patients in ...,https://journals.um.si/index.php/amb/article/view/1293,Google Scholar,FALSE,,,"Purpose: Foreign bodies in the upper gastrointestinal tract (GIT) rarely cause urgent problems in gastroenterology. The purpose of the study was to assess the percentage of patients in whom urgent endoscopic investigation revealed true foreign bodies in the upper GIT and to evaluate the success of emergency endoscopic procedures. Methods: The study includes patients in whom urgent endoscopic investigations of the upper GIT were performed in the period 1 January 1994 to 1 May 2008. Results: 8552 patients were investigated, average age 60.6 years (SD17.1 years, range 1106 years), with 3276 (38 %) females and 5276 males (62 %). In 69 patients (0.8 %), true foreign bodies were detected in the esophagus or stomach. In these patients a total of 90 endoscopic investigations were performed: in 65/69 patients (94.2%) the foreign bodies were removed endoscopically; in 4 (5.8 %) cases the endoscopic procedures were unsuccessful. Among the foreign bodies removed were a variety metal or plastic objects, such as coins, keys, screws, hooks, batteries, razor blades, needles, lighters, buttons, and parts of kitchen, toilet or writing utensils. In patients with successful endoscopic removal of the objects, no significant complications were noted. In 4 patients (4/69, 5.8 %) mild hemorrhages from the region of the esophagogastric junction were observed. Conclusion: Endoscopic technologies allow successful removal of a variety of types of foreign bodies from the upper GIT. "
44,2008,"Fathi, N.","N Hatim, B Fathi","N Hatim, B Fathi - Al-Rafidain Dental Journal, 2008 - rden.mosuljournals.com",Al-Rafidain Dental Journal,Gag Reflex Reduction In A Patient With Maxillofacial Prosthesis.(A Clinical Report),Aim: the study was dedicated to demonstrate the importance of binding the old concepts of preventingthe gag reflex during the prosthodontic work together with the new advance in the ...,https://rden.mosuljournals.com/index.php/rden/article/view/206,Google Scholar,FALSE,,,
45,2008,"Al-Ani, A.","A Qureshi, F Al-Ani","A Qureshi, F Al-Ani - ... and Diseases. Amman, Jordan. Dar Ammar ..., 2008 - researchgate.net",... And Diseases. Amman,The Digestive System,"Diseases of the digestive system are of great concern, especially for camels used for racing or draught purposes. These camels do not get enough grazing and bruising time and are fed ...",https://www.researchgate.net/profile/falah-al-ani/publication/256292415_the_digestive_system/links/57831d2008ae01f736e8f532/the-digestive-system.pdf,Google Scholar,TRUE,4,,
46,2008,"Ahmad, E.",ET Ahmad,"ET Ahmad - Laser Therapy, 2008 - jstage.jst.go.jp",Laser Therapy,Hyperbaric Oxygen Therapy Versus Laser Therapy On The Acceleration Of Venous Leg Ulcer Healing,"Venous leg ulcers represent a significant medical, economic and social problem (2). Many ulcers are chronic, having demonstrated poor responses to the conventional therapeutic ...",https://www.jstage.jst.go.jp/article/islsm/17/2/17_2_75/_article/-char/ja/,Google Scholar,TRUE,2,,"The purpose of the current study was to determine the effectiveness of hyperbaric oxygen therapy(HBOT) or laser therapy in the acceleration of chronic venous ulcer healing. Thirty hospital inpatients with venous ulcers participated in this study for a treatment period of five weeks. They were divided randomly and equally into three groups (2 treatment groups and one control group). Patients in group (1) (HBOT group) received two 90 minutes treatments daily with 2 to3 L of humidified oxygen / minute at 22 mmHg. On the other hand, patients in group (2) (laser therapy group) received 1 J/cm2 infrared laser (Ga As), three times weekly. Patients in group (3) (control group) received standard wound care only. Wound surface area (WSA) and wound volume (WV) were used to measure the outcomes before starting the study and after the 3rd and 5th weeks posttreatment. It was found that, at the 5th week post-treatment there was a significant reduction in both WSA and WV in both the HBOT group and the laser therapy group when compared to the control group (P<0.0001), also there was a significant reduction in WSA and WV in the laser therapy group at the 5th week post-treatment when compared to the HBOT group (P<0.001). The findings strongly suggest that the application of infrared laser therapy at a dose of 1J/cm2, three times/week is more effective than the application of HBOT daily in the management of chronic venous ulcers. "
47,2009,"Lobectomy, S.",S Lobectomy,"S Lobectomy - Medical Management of the Thoracic Surgery ..., 2009 - books.google.com",Medical Management Of The Thoracic Surgery ...,Wedge Resection,"Therapeutic bronchoscopy consists of airway interventions performed to restore or maintain airway patency, either for palliation or cure of malignant and benign lesions of the upper and ...",https://books.google.com/books?hl=en&lr=&id=a22rbfxqkqcc&oi=fnd&pg=pa105&dq=%0a++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)%0a++++++++++++++++++++++++&ots=qfnvjemu0v&sig=kkraapp2cnht3-6rnx9vszlq6uu,Google Scholar,FALSE,,,
48,2010,"Kleiman..., B.","B Joseph, J Antrim, DG Kleiman...","B Joseph, J Antrim, DG Kleiman... - Wild mammals in ..., 2010 - books.google.com",Wild Mammals In ...,Special Considerations For The Maintenance Of Marine Mammals In Captivity,"Marine mammals are a unique group of warm-blooded animals that, with the exception of a few freshwater species, make their living from the sea. However, marine mammals did not ...",https://books.google.com/books?hl=en&lr=&id=a1vev5hf7o8c&oi=fnd&pg=pa181&dq=%0a++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)%0a++++++++++++++++++++++++&ots=ocak4ehb_n&sig=kpmgjufub-jij8fpgnhzlsh3190,Google Scholar,TRUE,4,,
49,2011,"Hsu..., M.","MD Catherine Lewis, HK Hsu...","MD Catherine Lewis, HK Hsu... - Journal of the National ..., 2011 - search.proquest.com",Journal Of The National ...,Aspiration Of Foreign Bodies In Adults With Personality Disorders: Impact On Diagnosis And Recurrence,"Most cases of foreign-body aspiration are accidental events in children, whereas the majority of adults will have neurological dysfunction, trauma, alcohol abuse, or psychological ...",https://search.proquest.com/openview/815872143532a70e197510bb0f49cc93/1?pq-origsite=gscholar&cbl=36588,Google Scholar,FALSE,,,"Most cases of foreign-body aspiration are accidental events
in children, whereas the majority of adults will have neu-
rological dysfunction, trauma, alcohol abuse, or psycho-
logical disorders. 1 Much has been written about psychiat-
ric patients engaging in self-mutilation such as cutting and
burning, but little is recorded about deliberate aspiration of
objects in these patients, who clinically can be separated
into 4 groups: (1) malingering, (2) psychosis, (3) pica, and (4)
personality disorders. The immediate psychological gain for
these patients is unclear, as the act is insidious with no evi-
dence of intentional harm or immediate danger. Thus, they
are considered as being parasuicidal events designed to
diminish other psychological processes. 2 Aspirated objects
that are not immediately dislodged by coughing, chok-
ing, or gagging require surgical intervention. Most of these
patients usually come to the attention of a psychiatrist, but
such intervention does not prevent recurrences. We discuss
a schizophrenic patient who aspirated multiple coins while
under psychiatric treatment for prior episodes of aspiration
of coins, ingestion of objects, and insertion of others in his
urethra and rectum, while also reviewing some of the diag-
nostic and therapeutic challenges inherent in the manage-
ment of these patients."
50,2011,"King, J.","JKS Woo, WWK King","JKS Woo, WWK King - Fundamentals of Surgical Practice, 2011 - books.google.com",Fundamentals Of Surgical Practice,Fundamentals Of Head And Neck Surgery,"Preauricular sinus is a common congenital condition; there is no requirement for treatment unless it becomes infected (Figure 18.1). It may then present with pain, swelling and discharge...",https://books.google.com/books?hl=en&lr=&id=3wcyans3z_gc&oi=fnd&pg=pa306&dq=%0a++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)%0a++++++++++++++++++++++++&ots=0vc02b4gc0&sig=u0byqg1bd9vhxhtbthgupyens38,Google Scholar,FALSE,,,
51,2012,"Pappas..., E.","EG Chekan, TN Pappas...","EG Chekan, TN Pappas... - Surgery: Basic Science ..., 2012 - books.google.com",Surgery: Basic Science ...,Of Minimally,"The historical development of laparoscopy can be traced to early in the nineteenth century when, using reflected candlelight, Bozzini, an Italian physician living in Germany, first ...",https://books.google.com/books?hl=en&lr=&id=p9mgcaaaqbaj&oi=fnd&pg=pa429&dq=++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)++++++++++++++++++++++++and++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)++++++++++++++++++++++++and++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)++++++++++++++++++++++++&ots=a-cau5cdy4&sig=nqj8obnbofmij2zvnlkvcbzk9y8,Google Scholar,FALSE,,,
52,2012,"Marwat, K.","K Iqbal, MI Khan, M Marwat","K Iqbal, MI Khan, M Marwat - Gomal Journal of Medical Sciences, 2012 - gjms.com.pk",Gomal Journal Of Medical Sciences,Esophageal Foreign Bodies: Experience With Rigid Esophagoscopy At Dera Ismail Khan,Background: Foreign body ingestion is a common presenting problem in our society. Rigid esophagoscopy for extraction of ingested foreign bodies is the recommended treatment. The ...,http://gjms.com.pk/index.php/journal/article/view/257,Google Scholar,FALSE,,,"Background: Foreign body ingestion is a common presenting problem in our society. Rigid esophagoscopy for extraction of ingested foreign bodies is the recommended treatment. The purpose of this study was to present our experience with rigid esophagoscopy in removal of esophageal foreign bodies.

Material & Methods: This descriptive study was carried out from 1st January 2007 to 31st December 2011, in Department of ENT, Head & Neck Surgery, DHQ Teaching Hospital, D.I.Khan. One hundred and fifty five patients with suspected esophageal foreign bodies, irrespective of age and gender were included in the study. Rigid esophagoscopy under general anesthesia was performed by experienced ENT consultant. Each patient was studied for age, gender, symptomatology, site of impaction, type of foreign body extracted, and complications encountered. All patients were observed for 24 hours in the ward after procedure.

Results: A total of 155 suspected cases of esophageal foreign bodies were managed successfully, comprising 97(62.6%) males and 58(37.4%) females. Mean age of the patients was 32.55+26.66, range1-80 years. Dysphagia was the major complaint 131(84.5%) by these patients. Coins were the predominant FB in children 64(41.3%), while meat bolus 38(24.5%), fish bones 12(7.75%), chicken bones 9(9.5%) and dentures 14(9.05%) were predominant in adult population. Most of the objects 98(63.22%) were lodged in upper esophagus. No mortality encountered in our series."
53,2012,"Yung, K.","KC Huoh, KC Yung","KC Huoh, KC Yung - Otolaryngology, 2012",Otolaryngology,Retained Denture In Oropharynx,,,Google Scholar,TRUE,1,,
54,2012,"Kurtz..., N.","N Sonpal, R Taunk, A Randhawa, L Kurtz...","N Sonpal, R Taunk, A Randhawa, L Kurtz... - Official journal of the ..., 2012 - journals.lww.com",Official Journal Of The ...,Diagnosis Of Retroperitoneal Metastatic Malignant Melanoma By Eus-Guided Fna: A Rare Finding Diagnosed By A Novel Modality: 1386,"Purpose: Malignant melanoma is a neoplasm which originates from melanocytes. Thought it is a rare form of skin cancer there are about 160,000 new cases of melanoma yearly ...",https://journals.lww.com/ajg/fulltext/2012/10001/diagnosis_of_retroperitoneal_metastatic_malignant.1386.aspx,Google Scholar,TRUE,2,,"Purpose: Malignant melanoma is a neoplasm which originates from melanocytes. Thought it is a rare form of skin cancer there are about 160,000 new cases of melanoma yearly worldwide. More than 53,000 people in the United States are diagnosed with melanoma every year. It is currently the fastest growing cancer, both in the U.S. and worldwide. We present a case of a patient with metastatic malignant melanoma presenting as an infiltrating mass into the duodenum from the retroperitoneal space. A 77 year old male presented with fatigue and weight loss over the course of the preceding several months. The patient's past medical history was only significant for hyperlipidemia and BPH. The patient states that he has lost 40 lbs over the previous 1-2 months prior to admission. Physical exam was benign except for a palpable mass and guaiac testing was positive. The patient had a CT scan which demonstrated large complex lobulated mass in the sub-hepatic space measuring approximately 14.7 _ 14.1 _ 10.8 cm. The patient's labs demonstrated hemoglobin of 7.9, and the patient was transfused and taken for upper endoscopy. On esophagogastroduodenoscopy (EGD) neoplastic lesions were noted to infiltrate the dudodenal bulb. Endoscopic ultrasound-guided fine-needle aspiration demonstrated a hetergoenous mass with both hypo/hyperechoic features. The biopsy showed malignant cells most in architecture to melanoma. Immuno-histochemical studies performed on the cell block demonstrated positive staining of the tumor cells for vimentin, HMB45, melan-A, and focally for S100. Stains for mixed cytokeratins, smooth muscle actin, and CD34 are negative in the tumor cells. The final diagnosis of malignant melanoma was subsequently made. The patient was referred for surgical evaluation. Metastatic retroperitoneal lesions resulting from melanoma is an extremely rare finding and EUS-FNA is a novel method for diagnosing metastatic lesions. EUS-FNA has been shown to be a safe and reliable modality for obtaining definitive histological diagnosis. When it is compared with the traditional diagnostic modalities, it is not only more accurate than imaging studies such as computerized tomography, positron emission tomography, and magnetic resonance imaging, but it is also a very safe procedure with fewer complications than transcutaneous biopsies. Clinicians should be aware of this imaging modality and consider its employment when applicable."
55,2012,"Huston, A.","A Chiao, M Huston","A Chiao, M Huston - An Introduction to Clinical Emergency ..., 2012 - books.google.com",An Introduction To Clinical Emergency ...,24C Throat Pain,"Throat pain is one of the most common complaints seen by all health care providers, with pharyngitis being the most common cause of throat pain. Viruses are the most common cause ...",https://books.google.com/books?hl=en&lr=&id=pyalcofbhjic&oi=fnd&pg=pa321&dq=%0a++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)%0a++++++++++++++++++++++++&ots=hd13jc0jql&sig=nlvm9ee9y1jboj3ru_p6mnkivmc,Google Scholar,FALSE,,,
56,2012,"Nawras, M.","M Niazi, E Rafiq, A Nawras","M Niazi, E Rafiq, A Nawras - ... journal of the American College of ..., 2012 - journals.lww.com",... Journal Of The American College Of ...,Eus-Guided Fna For Metastatic Renal Cell Carcinoma Of Native Kidney In A Renal Transplant Patient: 1388,"Purpose: Adults are usually able to recall the type and amount of foreign bodies ingested, but might not be reliable in the setting of possible intoxication. A 23 year old female without ...",https://journals.lww.com/ajg/fulltext/2012/10001/eus_guided_fna_for_metastatic_renal_cell_carcinoma.1388.aspx,Google Scholar,TRUE,2,,"Introduction: Malignancies are the second most common cause of death among renal transplant recipients after cardiovascular causes and exceed infectious diseases. Common malignancies in renal transplant recipients are non melanoma skin cancer, Kaposi sarcoma and non-hodgkin lymphoma with a 20 fold increase in their risk. Renal cell carcinoma in native kidneys after renal transplant is quite infrequent (0.3-4.8%). Here we report first case of renal cell carcinoma originating in native kidney, diagnosed by EUS guided FNA. Case Description: A 54-year-old gentleman status post renal transplant secondary to Goodpastures syndrome presented with nausea, vomiting, and abdominal pain. His past medical history include hypertension and diabetes mellitus type 2. Early investigations included a liver battery, amylase, lipase; CBC and a basic metabolic panel were found negative. A right upper quadrant ultrasound revealed normal liver and gallbladder, however, cyst was found in an enlarged right native kidney. MRI of the abdomen showed retroperitoneal lymph nodes concerning for lymphoma along with enlargement of the right native kidney with irregular borders concerning for neoplasm. He then underwent endoscopic ultrasound to evaluate the perigastric/peripancreatic area for possible fine-needle aspiration of lymph nodes. The endosonographic examination revealed multiple lymph nodes at sub-carinal, paraesophageal, celiac axis, peripancreatic and periduodenal areas. Small-to-moderate amount of ascites was identified. Using a 25-gauge needle, fine-needle aspiration was performed from mediatsinal lymph nodes, celiac lymph nodes and peripancreatic lymph nodes. Ascetic fluid was then aspirated using a 19-gauge needle under endosonographic guidance. Cytopathology of the lymph node and ascetic fluid samples revealed metastatic renal cell carcinoma. PET scan confirmed it by lighting up in right kidney and other areas of metastatic lymphadenopathy. Conclusion: In conclusion, EUS guided FNA could have an important role in identifying the primary source of metastatic lymphadenopathy in renal transplant patients. It is safe, minimally invasive, feasible and highly accurate in making such diagnosis and assisting further management."
57,2014,"Jeon..., S.","S Park, DS Choi, HS Shin, JM Cho, KN Jeon...","S Park, DS Choi, HS Shin, JM Cho, KN Jeon... - Acta ..., 2014 - journals.sagepub.com",Acta ...,Fish Bone Foreign Bodies In The Pharynx And Upper Esophagus: Evaluation With 64-Slice Mdct,Background Fish bone (FB) is one of the common causes of foreign body impaction in the pharynx and esophagus. Purpose To investigate the efficacy of 64-slice multidetector ...,https://journals.sagepub.com/doi/abs/10.1177/0284185113493087,Google Scholar,FALSE,,,"Background
Fish bone (FB) is one of the common causes of foreign body impaction in the pharynx and esophagus.
Purpose
To investigate the efficacy of 64-slice multidetector computed tomography (MDCT) for the evaluation of pharynx and upper esophageal FB foreign bodies.
Material and Methods
Sixty-six patients with suspected FB foreign body ingestion were examined by plain radiography (n_=_40) and unenhanced MDCT (n_=_66). We analyzed the presence, location, size, shape, and lying position of the foreign bodies.
Results
On MDCT, 46 foreign bodies were detected. Among them, 45 were confirmed by endoscopy. The sensitivity of MDCT for the detection of foreign bodies was 100%, which was superior to that of the plain radiography (51.7%). The location of the foreign bodies was most common in the upper esophagus (n_=_22, 47.8%), followed by pharyngoesophageal junction (n_=_10, 21.7%), transjunctional (n_=_7, 15.2%), hypopharynx (n_=_5, 10.9%), and oropharynx (n_=_2, 4.3%). Their longest length was 5.340.1_mm (mean, 21.3_mm). Thirty-three FBs (71.7%) were linear and 13 (28.3%) were flat in shape. They showed transverse (n_=_23, 50.0%), parallel (n_=_13, 28.3%), and oblique positions (n_=_10, 21.7%) to the long axis of the pharynx and esophagus, respectively.
Conclusion
MDCT is useful for the evaluation of the pharynx and upper esophageal FB foreign bodies."
58,2014,"Dallimore, J.",J Dallimore,"J Dallimore - Expedition Medicine, 2014 - taylorfrancis.com",Expedition Medicine,First Aid And Management Of Minor Injuries,"Serious accidents and injuries on expeditions are rare. However, m inor injuries of one kind or another are encountered on most expeditions. In some cases injured expedition members ...",https://www.taylorfrancis.com/chapters/edit/10.4324/9781315063621-20/first-aid-management-minor-injuries-jon-dallimore,Google Scholar,TRUE,5,,
59,2015,"Adaobi, O.","OO Lucky, EO Adaobi","OO Lucky, EO Adaobi - Online Journal of Otolaryngology, 2015 - Citeseer",Online Journal Of Otolaryngology,Disk Batteries In The Esophagus Of Nigerian Children: Case Series,Foreign body (FB) ingestion is common in clinical practice especially in children. Its impaction in the esophagus constitutes an important cause of morbidity and mortality in our ...,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=2924fc8ebe5922646a52365ac8b4e9b15ee95e3f,Google Scholar,FALSE,,,"Foreign body (FB) ingestion is common in
clinical practice especially in children. Its im-
paction in the esophagus constitutes an im-
portant cause of morbidity and mortality in
our environment. Due to technological ad-
vancement and increase use of disk batteries
to power children toys and remote control
gadgets, ingestion of disk batteries is now
commonplace. In our environment there is
paucity of information on disk batteries
hence we decided to present case series of
disk batteries in the esophagus of children
highlighting the peculiarities of disk batteries,
the dangers posed by them, the mode of re-
trieval, complications encountered, and pos-
sible recommendations to curtail the increas-
ing occurrence."
60,2015,"Onotai, L.",L OBUKOWHO ONOTAI,"L OBUKOWHO ONOTAI - Online Journal of Otolaryngology, 2015",Online Journal Of Otolaryngology,Disk Batteries In The Esophagus Of Nigerian Children: Case Series.,,,Google Scholar,FALSE,,,"Foreign body (FB) ingestion is common in
clinical practice especially in children. Its im-
paction in the esophagus constitutes an im-
portant cause of morbidity and mortality in
our environment. Due to technological ad-
vancement and increase use of disk batteries
to power children toys and remote control
gadgets, ingestion of disk batteries is now
commonplace. In our environment there is
paucity of information on disk batteries
hence we decided to present case series of
disk batteries in the esophagus of children
highlighting the peculiarities of disk batteries,
the dangers posed by them, the mode of re-
trieval, complications encountered, and pos-
sible recommendations to curtail the increas-
ing occurrence."
