,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude,Reason ID
138,2010,"Islam, S.","Islam, Sameer R.; Islam, Ebtesam A.; Hodges, David; Nugent, Kenneth; Parupudi, Sreeram",World Journal Of Gastrointestinal Endoscopy,,PubMed,10.4253/wjge.v2.i5.186,,Endoscopic Removal Of Multiple Duodenum Foreign Bodies: An Unusual Occurrence,"Deliberate Single Foreign Body Ingestion Is A Scenario That Many Gastroenterologists Commonly See In Psychiatric Units And Prisons. However,  Multiple Foreign Body Ingestions, Especially Located In The Duodenum, Provide The  Endoscopist With Unique Challenges For Management And Treatment. Although Most  Foreign Objects Pass Spontaneously, One Should Have A Low Threshold Of  Intervention For Multiple Objects, Especially Those That Are Wide, Sharp And At  Risk Of Perforation. Diagnosis Is Typically Made When There Is A History Of  Ingestion Coupled With Corresponding Radiographic Verification. The Symptoms Tend  To Be Non-Specific Although Some Patients Are Able To Delineate Where The  Discomfort Level Is, Correlating With The Site Of Impaction. Most Foreign Bodies  Pass Spontaneously; However When Multiple Sharp Objects Are Ingested, The  Gastroenterologist Should Perform Endoscopic Procedures To Minimize The Risks Of  Bowel Perforation. We Describe Here A Successful Case Of Multiple Ingested  Foreign Bodies Retrieved Across The C-Loop Of The Duodenum And The  Pharynges-Esophageal Curve Via Endoscopy And Review The Literature Of Multiple  Foreign Body Ingestion.",,,
139,2010,"Huang, B.","Huang, Brian L.; Rich, Harlan G.; Simundson, Susan E.; Dhingana, Mukesh K.; Harrington, Colin; Moss, Steven F.",Clinical Gastroenterology And Hepatology : The Official Clinical Practice Journal Of The American Gastroenterological Association,,PubMed,10.1016/j.cgh.2010.07.013,,Intentional Swallowing Of Foreign Bodies Is A Recurrent And Costly Problem That Rarely Causes Endoscopy Complications,"Background & Aims: Guidelines Support Endoscopic Removal Of Certain Gastric Foreign Bodies (Fbs) And All Fbs Lodged In The Esophagus. We Studied The Poorly  Understood Group Of Patients Who Intentionally Ingest Fbs. Methods: Cases Of  Intentional Ingestion Of Fbs (N = 305) Were Identified, Retrospectively, From An  Electronic Endoscopy Database And Followed. Cases Occurred Among 33 Different  Patients, Who Underwent Endoscopy From October 1, 2001, To July 31, 2009 (39.0  Cases/Year); 79% Were Diagnosed With A Psychiatric Disorder. Financial Cost  Analysis Was Performed Using Hospital Billing And Cost Systems. Results: Commonly  Ingested Fbs Included Pens (23.6%), Batteries (9.2%), Knives (7.2%), And Razor  Blades (6.9%). Most Endoscopic Procedures Were Performed Under General  Anesthesia. Fbs Were Commonly Retrieved By Snares (58.0%), Rat-Toothed Forceps  (14.4%), And Nets (11.5%), Assisted Sometimes By Use Of Overtubes (10.8%), And  Hoods (4.6%). Fb Extraction Was Unsuccessful At The Initial Endoscopy In Only 20  Cases; 2 Cases Eventually Required Surgical Extraction. Minor Complications  Occurred In 11 Endoscopies. There Were No Deaths Or Perforations. The Total  Estimated Costs Were $2,018,073 ($1,500,627 In Hospital Costs, $240,640 In  Physician Fees, And $276,806 For Security Services). Costs Were Significantly  Higher For Inpatients. Major Payers Were Medicare (48%) And Medicaid (31%).  Conclusions: Intentional Fb Ingestion Occurs Among A Relatively Small Number Of  Patients With Psychiatric Disorders And Is Costly. Endoscopic Retrieval Is  Relatively Effective And Safe, But Often Requires General Anesthesia. These Cases  Utilize Significant Hospital And Fiscal Resources. Attention Should Be Focused On  Preventing These Recurrent And Costly Episodes.",,,
140,2010,"Kleiman..., B.","B Joseph, J Antrim, Dg Kleiman...",Wild Mammals In ...,"B Joseph, J Antrim, DG Kleiman... - Wild mammals in ..., 2010 - books.google.com",Google Scholar,,https://books.google.com/books?hl=en&lr=&id=a1vev5hf7o8c&oi=fnd&pg=pa181&dq=%0a++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)%0a++++++++++++++++++++++++&ots=ocak4ehb_n&sig=kpmgjufub-jij8fpgnhzlsh3190,Special Considerations For The Maintenance Of Marine Mammals In Captivity,"Marine Mammals Are A Unique Group Of Warm-Blooded Animals That, With The Exception Of A Few Freshwater Species, Make Their Living From The Sea. However, Marine Mammals Did Not ...","Zoos, aquaria, and wildlife parks are vital centers of animal conservation and management. For nearly fifteen years, these institutions have relied on Wild Mammals in Captivity as the essential reference for their work. Now the book reemerges in a completely updated second edition. Wild Mammals in Captivity presents the most current thinking and practice in the care and management of wild mammals in zoos and other institutions. In one comprehensive volume, the editors have gathered the most current information from studies of animal behavior; advances in captive breeding; research in physiology, genetics, and nutrition; and new thinking in animal management and welfare.

In this edition, more than three-quarters of the text is new, and information from more than seventy-five contributors is thoroughly updated. The standard text for all courses in zoo biology, Wild Mammals in Captivity will, in its new incarnation, continue to be used by zoo managers, animal caretakers, researchers, and anyone with an interest in how to manage animals in captive conditions. ",,
141,2010,"Chan, K.","Chan, Kim Weng",Journal Of Clinical Medicine Research,,PubMed,10.4021/jocmr2009.11.1271,,An Unusual Case Of Foreign Body In The Anterior Abdominal Wall,"Accidental Or Intentional Ingestion Of Sharp Metallic Foreign Bodies Is A Common Clinical Occurrence. Predisposing Factors Include Excessive Alcohol Intake,  Mental Impairment And Psychiatric Illnesses. Usually, The Detection Of A  Migratory Foreign Body Is Incidental When Patients Present With Unrelated  Symptoms. A 50-Year-Old Woman Attended The Surgical Outpatient Clinic With A  Foreign Body In The Anterior Abdominal Wall. A Foreign Body Was Easily Palpable  On The Right Upper Quadrant Of Abdomen. Patient Was Admitted Electively And Taken  To Theatre For Removal Of Foreign Body Under General Anaesthesia. Patient Made An  Uneventful Recovery And Was Discharged With No Further Follow-Up. Keywords:  Foreign Body; Abdomen; Ingestion; Perforation.",,,
142,2010,"Biswas, D.","Biswas, D; Majumdar, S; Ray, J; Bull, P",Journal Of Laryngology And Otology,,Web of Science,10.1017/s0022215110001040,,Tracheoesophageal Fistula Secondary To Chemical Trauma: Is There A Place For Planned Conservative Management?,"Objective: We Present A Unique Case In Which Closure Of A Large Tracheoesophageal Fistula Was Achieved With Planned Conservative Management Method: The Literature Was Reviewed For Other Documented Cases Of Spontaneous Closure Of Traumatic Tracheoesophageal Fistula. Results: Acquired Tracheoesophageal Fistula May Result Secondary To A Chemical Burn From An Alkaline Disc Battery Impacted In The Oesophagus. Particularly When The Presentation. And Thus Diagnosis, Are Delayed This Condition Is Rare. The Majority Of Such Cases Occur In Children, And Are Conventionally Managed With Surgical Repair We Found Only Three Previously Reported Cases In Which Conservative Management Was Attempted. Conclusion: Non-Interventional Management Should Be Tried Initially For The Management Of Paediatric Acquired Tracheoesophageal Fistula, To Permit Closure By Secondary Intention",,,
143,2010,"Donnelly, L.","Donnelly, Lane F.",Pediatric Radiology,,PubMed,10.1007/s00247-010-1651-5,,Beverage Can Stay-Tabs: Still A Source For Inadvertently Ingested Foreign Bodies In Children,"Background: In The 1970S In Part To Avoid Inadvertent Ingestion, The Beverage-Can Industry Changed Can Construction From Pull-Tabs To The Stay-Tabs (Remain  Attached To Can After Opening) Used Today. Objective: Our Purpose Is To Identify  The Number Of Inadvertent Ingestions Of Beverage-Can Stay-Tabs By Children  Recognized At Our Institution. Materials And Methods: The Medical Information  System Of A Children'S Hospital Was Searched With Key Terms To Identify Cases In  Which A Witnessed Or Self-Reported Inadvertent Ingestion Of A Beverage-Can  Stay-Tab Resulted In A Radiograph To Rule Out Presence Of A Foreign Body.  Demographics, Identification Of Stay-Tab On Radiographs, Associated  Abnormalities, And Patient Management Were Reviewed. Results: Nineteen Cases Of  Stay-Tab Ingestion Were Identified Over 16 Years. Mean Age Of Ingesters Was 8.5  Years With The Majority Being Teenagers And 15 (79%) >5 Years Of Age. The  Stay-Tab Could Be Seen Radiographically Only In 4 (21%) Cases-All With The  Stay-Tab Identified In The Stomach. Conclusion: The Identification Of 19 Children  Who Inadvertently Ingested Beverage-Can Stay-Tabs At A Single Children'S Hospital  Suggests That Such Ingestions Still Occur. Radiologists Should Be Aware That  Stay-Tabs Are Radiographically Visible In The Minority (21%) Of Cases.",,,
144,2011,"Lewis, C.","Lewis, Catherine; Hsu, Hwei-Kang; Hoover, Eddie",Journal Of The National Medical Association,,PubMed,10.1016/s0027-9684(15)30390-4,,Aspiration Of Foreign Bodies In Adults With Personality Disorders: Impact On Diagnosis And Recurrence,"Most Cases Of Foreign-Body Aspiration Are Accidental Events In Children, Whereas The Majority Of Adults Will Have Neurological Dysfunction, Trauma, Alcohol Abuse,  Or Psychological Disorders. Much Has Been Written About Psychiatric Patients  Engaging In Self-Mutilation Such As Cutting And Burning, But Little Is Recorded  About Deliberate Aspiration Of Objects In These Patients, Who Clinically Can Be  Separated Into 4 Groups: (1) Malingering, (2) Psychosis, (3) Pica, And (4)  Personality Disorders. The Immediate Psychological Gain For These Patients Is  Unclear, As The Act Is Insidious With No Evidence Of Intentional Harm Or  Immediate Danger. Thus, They Are Considered As Being Parasuicidal Events Designed  To Diminish Other Psychological Processes. Aspirated Objects That Are Not  Immediately Dislodged By Coughing, Choking, Or Gagging Require Surgical  Intervention. Most Of These Patients Usually Come To The Attention Of A  Psychiatrist, But Such Intervention Does Not Prevent Recurrences. We Discuss A  Schizophrenic Patient Who Aspirated Multiple Coins While Under Psychiatric  Treatment For Prior Episodes Of Aspiration Of Coins, Ingestion Of Objects, And  Insertion Of Others In His Urethra And Rectum, While Also Reviewing Some Of The  Diagnostic And Therapeutic Challenges Inherent In The Management Of These  Patients.",,,
145,2011,"Tripathi, T.","Tripathi, Tulika; Rai, Priyank; Singh, Harpreet","American Journal Of Orthodontics And Dentofacial Orthopedics : Official Publication Of The American Association Of Orthodontists, Its Constituent  Societies, And The American Board Of Orthodontics",,PubMed,10.1016/j.ajodo.2009.04.026,,Foreign Body Ingestion Of Orthodontic Origin,"Foreign Bodies In The Ear, Nose, And Throat Are Commonly Seen In Family Medicine, Usually In Children. Occasionally, Orthodontic Appliances Or Parts Of Orthodontic  Appliances Are Accidentally Swallowed And Have Caused Problems With Either The  Airway Or The Gastrointestinal Tract. The Purposes Of This Article Were To  Describe The Type Of Appliances Most Likely To Cause Problems And To Discuss  Their Clinical Management. The Case Of A Patient Who Swallowed A Key For Turning  Fixed Expansion Appliances Is Presented. The Key Became Lodged In The Patient'S  Pharynx But Subsequently Passed Through The Gastrointestinal Tract. Suggestions  Are Made To Prevent The Problems That Were Encountered In This Case And Others  Reported In The Literature In Orthodontic Patients.",,,
146,2011,"Tihan, D.","Tihan, D; Trabulus, D; Altunkaya, A; Karaca, S; Cihan, A; Alis, H",Turkish Journal Of Gastroenterology,,Web of Science,10.4318/tjg.2011.0290,,Esophageal Perforation Due To Inadvertent Swallowing Of A Dental Prosthesis,"Intentional Or Inadvertent Swallowing Of Foreign Bodies Can Lead To Severe Complications In The Gastrointestinal Tract, Primarily In The Esophagus, And Requires An Urgent Approach. In Children, Coins Are The Most Commonly Seen Foreign Bodies In The Esophagus. However, In Adults, The Solid Components Of Meals, Like Bones, And In The Elderly Population Dental Prostheses Are The Most Frequently Observed Ingested Foreign Bodies. Even Though A Swallowed Dental Prosthesis Is Usually Seen As A Geriatric Problem, Esophageal Obstruction And/Or Perforation Can Occur In Any Denture User In Any Age Group. Thus, The Aim Of This Report Was To Present One Of These Interesting Cases Of Esophageal Perforation Due To A Partial Denture Ingestion And Its Treatment In A 32-Year-Old Male.",,,
147,2011,"Sunkaraneni, V.","Sunkaraneni, Vs; Jones, Sem",Cochrane Database Of Systematic Reviews,,Cochrane,10.1002/14651858.cd005606.pub2,,Topical Anaesthetic Or Vasoconstrictor Preparations For Flexible Fibre‐Optic Nasal Pharyngoscopy And Laryngoscopy,"Abstract - Background Nasal Pharyngolaryngoscopy (Npl) Is Performed As An Outpatient And Inpatient Procedure On A Daily Basis, For A Variety Of Indications. It Frequently Causes Some Degree Of Discomfort To The Patient. Various Different Topical Agents, Which Are Intended To Reduce This Discomfort, Are In Common Use. This Review Aimed To Assess The Effectiveness Of The Various Agents. Objectives To Assess The Effectiveness Of Topical Preparations Used To Reduce Discomfort And Facilitate Npl In Adults. Search Methods We Searched The Cochrane Ear, Nose And Throat Disorders Group Trials Register; The Cochrane Central Register Of Controlled Trials (Central); Pubmed; Embase; Cinahl; Web Of Science; Biosis Previews; Cambridge Scientific Abstracts; Isrctn And Additional Sources For Published And Unpublished Trials. The Date Of The Most Recent Search Was 14 April 2010. Selection Criteria Randomised Controlled Trials (Rcts) Looking At The Effect Of Topical Anaesthetic Or Vasoconstrictor Agents Used Reduce Discomfort And Facilitate Npl In Adult Patients. Data Collection And Analysis Two Review Authors Independently Selected Studies, Extracted Data And Assessed Risk Of Bias. We Contacted Trial Authors For Further Information Where Necessary. The Primary Outcome Measured Was Pain/Discomfort. Secondary Outcomes That Were Looked At Included Side Effects Of The Topical Medications, Ease Of The Procedure And The Quality Of The View From The Operator'S Perspective. Main Results We Included Eight Rcts (746 Participants) In The Review. The Risk Of Bias In The Studies Was Generally Low. Five Studies Did Not Demonstrate Any Advantage In Using A Topical Treatment Prior To Endoscopy. One Study Suggested That A Vasoconstrictor Alone Should Be Used To Reduce The General Level Of Unpleasantness. Two Studies Did Not Compare Treatment Against Placebo Or No Treatment, So It Was Not Possible To Draw Meaningful Conclusions From Them. There May Be Some Unpleasant Side Effects From The Use Of Topical Preparations, Such As Unpleasant Taste. There Was Variation In The Format Of The Outcome Data And A Lack Of Complete Data; None Of The Included Studies Reported Their Results In A Way That Would Allow Pooling And We Could Not Therefore Perform Meta‐Analysis. Authors' Conclusions The Included Studies Do Not Demonstrate Any Evidence To Support The Use Of Topical Treatments Prior To The Use Of A Fibre‐Optic Nasal Endoscope. Some Go As Far As To Suggest That These Agents Should Not Be Used Due To Cost And Unpleasant Side Effects. Five Studies Did Not Demonstrate Any Advantage In Terms Of Reducing Pain Or Discomfort When Using A Topical Treatment Prior To Endoscopy. The Absence Of Demonstrable Effect May Be Due To Relatively Small Patient Groups. It Is Therefore Possible That There Is A Small Effect Of Using These Sprays. Further Research Using Standardised Reporting Methods Is Needed. Plain Language Summary Topical Anaesthetic Or Vasoconstrictor (Blood Vessel Narrowing) Preparations For Flexible Fibre‐Optic Nasal Pharyngoscopy And Laryngoscopy Topical Medications Are Often Applied To The Inside Of A Patient'S Nose Prior To Examining The Nose, Sinuses And Throat With A Flexible Nasopharyngolaryngoscope. The Aim Of This Is To Reduce Any Discomfort The Patient May Feel And Also To Improve The Adequacy Of The Examination. Types Of Preparation Include Lidocaine, Phenylephrine And Lidocaine, Oxymetazoline, Xylometazoline And Cocaine And They Are Usually Administered As A Spray, Although They May Also Be In The Form Of A Solution Which Can Be Applied To Cotton Wool And Placed In The Nasal Cavity, Or As Gels, Pastes Or Creams. We Looked For Randomised Controlled Trials Comparing Any Of These Topical Treatments With Placebo, No Treatment Or Another Topical Treatment In Adult Patients Undergoing Nasal Pharyngolaryngoscopy (Npl). We Included Eight Studies In The Review (With A Total Of 746 Patients). It Was Not Possible To Combine Data From Any Of The Studies, Therefore We Assessed The Individual Study Results. Five Of The Studies Did Not Demonstrate Any Advantage, In Terms Of Reducing Pain Or Discomfort, Of Using A Topical Treatment Prior To Endoscopy. One Of These Suggested That A Vasoconstrictor (Xylometazoline) Alone Reduced The Level Of ""General Unpleasantness"". Two Studies Did Not Compare The Treatment Against Placebo Or No Treatment. A Final Study Actually Suggested An Increase In Pain With The Use Of Topical Agents. There May Be Some Unpleasant Side Effects From The Use Of Topical Preparations, Such As Unpleasant Taste. Further Standardised Research Is Required.",,,
148,2011,"Sobnach, S.","Sobnach, Sanju; Castillo, Franco; Blanco Vinent, René; Kahn, Delawir; Bhyat, Ahmed","Heart, Lung & Circulation",,PubMed,10.1016/j.hlc.2011.01.006,,Penetrating Cardiac Injury Following Sewing Needle Ingestion,Penetrating Cardiac Injuries Are Common In South Africa. Reports Describing Traumatic Lesions To The Heart Caused By Caudo-Cranial Migration Of Ingested  Foreign Bodies Are However Extremely Rare. Delayed Presentation And Intervention  Are Associated With Poor Outcome In These Patients; Cardiac Tamponade Remains The  Most Serious Complication. We Present The Case Of A 19 Year-Old Man Who Sustained  A Left Ventricular Injury After Intentionally Swallowing Eight Sewing Needles.  The Impacted Needle Was Removed Through A Median Sternotomy And The Patient  Recovered Uneventfully.,,,
149,2011,"Poynter, B.","Poynter, Brittany A.; Hunter, Jon J.; Coverdale, John H.; Kempinsky, Cheryl A.",General Hospital Psychiatry,,PubMed,10.1016/j.genhosppsych.2011.06.011,,Hard To Swallow: A Systematic Review Of Deliberate Foreign Body Ingestion,"Objective: Deliberate Foreign Body Ingestion (Dfbi) Is Often Impulsively Driven, Repetitive And Refractory To Intervention And Frequently Necessitates Multiple  Medical Interventions. As Such, The Frustrations Among Health Care Providers Are  Great, And The Financial Toll On Health Care Is Significant. Nevertheless, The  Literature On Dfbi Is Sparse, And Suggestions For Treatment Planning And  Management Are Limited. The Authors Sought To Investigate And Uncover Efficacious  Treatments And Strategies For Preventing Reoccurrence In Dfbi. We Build On  Earlier Work By Offering Both Broad And Diagnosis-Specific Management Strategies.  Method: A Literature Review Was Performed Addressing The Presentation, Management  And Prevention Of Reoccurrences Of Dfbi. Four Cases Of Dfbi Are Presented  Illustrating Those Psychiatric Diagnoses (Psychosis, Malingering,  Obsessive-Compulsive Disorder And Borderline Personality Disorder) Most  Frequently Encountered In Hospital Practice. Both Broad And Specific Treatment  Approaches Are Presented. Results: Patients Engaging In Dfbi Are Best Managed  Through A Multidisciplinary Approach, Following Acute Medical Management.  Successful Strategies For The Prevention Of Reoccurrences Of Dfbi Are  Inconclusive. Conclusion: Understanding The Function Of This Behavior Is Critical  In Developing Treatment For Patients Who Engage In These Dangerous, Potentially  Life-Threatening, Self-Injurious Behaviors. An Amalgam Of Medical,  Pharmacological And Cognitive-Behavioral Interventions Is Recommended, As Is  Additional Research.",,,
150,2011,"Passaro, G.","Passaro, Giovanna; Cappa, Emanuele; D'Addessi, Alessandro; Sacco, Emilio; Bassi, Pier Francesco",Urologia,,PubMed,10.5301/ru.2011.8865,,Foreign Bodies In Urinary Bladder: A Clinical Case,"Objectives: A Pencil In The Urinary Bladder Is An Unusual Problem For Urologists. We Present A Case In A 44-Year-Old Female With An Eyeliner Pencil Self-Introduced  Into The Urethra. Materials And Methods: The Patient Was Referred To Us With A  Recent History Of ""Ingestion Of Foreign Body"". The Clinical Presentation,  Radiologic Data, And Treatment Were Reported. Results: The Patient Had A Pencil  Placed Sideways In The Urinary Bladder, With Focal Perforation Of The Left Wall.  A Cystoscopy Was Performed And The Pencil Was Removed At The Same Time By Using  Grasping Forceps And Hydraulic Overdistention Of The Urinary Bladder.  Conclusions: Bladder Is The Most Common Location Of Foreign Bodies Of The  Urogenital Tract, Almost Always Due To Self-Insertion Into The Urethra For The  Purpose Of Masturbation Or As A Result Of Non-Inhibited Or Altered Behavior Due  To Psychiatric Diseases, Or To The Influence Of Drugs. Most Patients Were Too  Ashamed To Admit They Had Inserted Or Applied Any Object And Usually Presented  When A Complication Had Occurred Such As Difficulty In Voiding, Hematuria, Pain  Or Swelling, Extravasations Or Abscess Formation. The Treatment Can Be  Endoscopic, And It Depends On The Type Of The Foreign Object And The Operator'S  Skills.",,,
151,2011,"Mirza, B.","Mirza, Bilal; Ijaz, Lubna; Sheikh, Afzal",Journal Of Indian Association Of Pediatric Surgeons,,PubMed,10.4103/0971-9261.83493,,Decorative Crystal Balls Causing Intestinal Perforation,"Crystal Jelly Balls Are Used For Decorative Purpose In Homes And Offices. They Swell On Contact With Water. We Managed A Patient With A Clinical Diagnosis Of  Acute Abdomen. At Surgery, There Was Fecal Peritonitis And Three Ileal  Perforations Caused By Previously Ingested Decorative Crystal Balls.",,,
152,2011,"Lee, J.","Lee, Ji Hyuk; Lee, Jong Seung; Kim, Mi Jin; Choe, Yon Ho",Pediatric Emergency Care,,PubMed,10.1097/pec.0b013e318213131a,,Initial Location Determines Spontaneous Passage Of Foreign Bodies From The Gastrointestinal Tract In Children,"Objective: The Purpose Of This Study Was To Follow The Natural Course Of Spontaneous Passage (Sp) Of Ingested Foreign Bodies (Fbs) In Children. Methods:  The Medical Records Of 249 Patients Who Ingested Fbs Were Reviewed. In Addition,  They Were Studied By Telephone Questionnaires To Follow Up Spontaneously Passed  Fb. The Factors Associated With Sp Such As Age, The Type, Size, And Initial  Location Of The Fbs Were Analyzed. Results: Foreign Bodies Were Spontaneously  Passed In 145 Patients (58.2%), Endoscopic Removal Was Performed In 100 Patients  (40.2%), And Operative Removal Was Performed In 4 Patients (1.6%). Most Sp Fbs  Were Passed Within 5 Days. The Sp Rates (Sprs) According To The Initial Location  Were The Following: 12.2% For The Esophagus (P<0.0001), 71.4% For The Stomach,  85.7% For The Small Bowel, And 96.4% For The Colon. There Was No Significant  Difference In The Spr According To Age. When Coins And Disk Batteries That  Required Early Endoscopic Removal Were Excluded, The Spr Was 63.4% For Fbs Less  Than 10 Mm, 80.4% For Fbs 10 To 20 Mm, 72.8% For Fbs 20 To 30 Mm, And 50.0% For  Fbs More Than 30 Mm (P=0.091). The Initial Location Of The Fb (Odds Ratio, 33.7;  95% Confidence Interval, 14.4-79.0) And The Size Of The Fb (Odds Ratio, 3.5; 95%  Confidence Interval, 1.0-11.6) Were Independent Predictors Of Sp By Multivariate  Analysis. Conclusions: Most Fbs In The Gastrointestinal Tract Are Spontaneously  Passed Without Complication, And The Initial Location Of Fbs Was Found To Be The  Main Determining Factor For Spr. Ingested Fbs, In Children, Even Sharp Or  Relatively Large Fbs, Can Be Spontaneously Passed When They Are Located Below The  Esophagus.",,,
153,2011,"Friesenbichler, J.","Friesenbichler, J; Maurer-Ertl, W; Sadoghi, P; Wolf, E; Leithner, A",Bmc Surgery,,Web of Science,10.1186/1471-2482-11-31,,Auto-Aggressive Metallic Mercury Injection Around The Knee Joint: A Case Report,"Background: Accidental Or Intentional Subcutaneous And/Or Intramuscular Injection Of Metallic Mercury Is An Uncommon Form Of Poisoning. Although It Does Not Carry The Same Risk As Mercury Vapour Inhalation, It May Cause Destructive Early And Late Reactions. Case Presentation: Herein We Present The Case Of A 29-Year-Old Male Patient Who Developed An Obsessive-Compulsive Disorder Causing Auto-Aggressive Behaviour With Injection Of Elemental Mercury And Several Other Foreign Bodies Into The Soft Tissues Around The Left Knee About 15 Years Before Initial Presentation. For Clinical Examination X-Rays And A Ct-Scan Of The Affected Area Were Performed. Furthermore, Blood Was Taken To Determine The Mercury Concentration In The Blood, Which Showed A Concentration 17-Fold Higher Than Recommended. As A Consequence, The Mercury Depots And Several Foreign Bodies Were Resected Marginally. Conclusion: Blood Levels Of Mercury Will Decrease Rapidly Following Surgery, Especially In Combination With Chelating Therapy. In Case Of Subcutaneous And Intramuscular Injection Of Metallic Mercury We Recommend Marginal Or Wide Excision Of All Contaminated Tissue To Prevent Migration Of Mercury And Chronic Inflammation. Nevertheless, Prolonged Clinical And Biochemical Monitoring Should Be Performed For Several Years To Screen For Chronic Intoxication.",,,
154,2011,"King, J.","Jks Woo, Wwk King",Fundamentals Of Surgical Practice,"JKS Woo, WWK King - Fundamentals of Surgical Practice, 2011 - books.google.com",Google Scholar,,"https://books.google.lk/books?hl=en&lr=&id=3wcyaNS3z_gC&oi=fnd&pg=PA306&dq=+Fundamentals+of+Surgical+Practice,+2011+Woo+king&ots=0Vc1Zb9Jb8&sig=TpHeBERs8OIkzOSZnPqEudFKb3M&redir_esc=y#v=onepage&q=Fundamentals%20of%20Surgical%20Practice%2C%202011%20Woo%20king&f=false",Fundamentals Of Head And Neck Surgery,"Preauricular Sinus Is A Common Congenital Condition; There Is No Requirement For Treatment Unless It Becomes Infected (Figure 18.1). It May Then Present With Pain, Swelling And Discharge...",Fundamentals of head and neck surgery,,
155,2011,"Hsu..., M.","Md Catherine Lewis, Hk Hsu...",Journal Of The National ...,"MD Catherine Lewis, HK Hsu... - Journal of the National ..., 2011 - search.proquest.com",Google Scholar,10.1016/s0027-9684(15)30390-4 ,https://search.proquest.com/openview/815872143532a70e197510bb0f49cc93/1?pq-origsite=gscholar&cbl=36588,Aspiration Of Foreign Bodies In Adults With Personality Disorders: Impact On Diagnosis And Recurrence,"Most Cases Of Foreign-Body Aspiration Are Accidental Events In Children, Whereas The Majority Of Adults Will Have Neurological Dysfunction, Trauma, Alcohol Abuse, Or Psychological ...","Most cases of foreign-body aspiration are accidental events
in children, whereas the majority of adults will have neu-
rological dysfunction, trauma, alcohol abuse, or psycho-
logical disorders. 1 Much has been written about psychiat-
ric patients engaging in self-mutilation such as cutting and
burning, but little is recorded about deliberate aspiration of
objects in these patients, who clinically can be separated
into 4 groups: (1) malingering, (2) psychosis, (3) pica, and (4)
personality disorders. The immediate psychological gain for
these patients is unclear, as the act is insidious with no evi-
dence of intentional harm or immediate danger. Thus, they
are considered as being parasuicidal events designed to
diminish other psychological processes. 2 Aspirated objects
that are not immediately dislodged by coughing, chok-
ing, or gagging require surgical intervention. Most of these
patients usually come to the attention of a psychiatrist, but
such intervention does not prevent recurrences. We discuss
a schizophrenic patient who aspirated multiple coins while
under psychiatric treatment for prior episodes of aspiration
of coins, ingestion of objects, and insertion of others in his
urethra and rectum, while also reviewing some of the diag-
nostic and therapeutic challenges inherent in the manage-
ment of these patients.",,
156,2011,"Guirgis, M.","Guirgis, Marianne; Nguyen, Robert; Pokorny, Christopher",Medical Journal Of Australia,,PubMed,10.5694/j.1326-5377.2011.tb02955.x,,Accidental Ingestion Of Plastic From Takeaway Containers--Food For Thought,"Foreign Body Oesophageal Obstruction Is A Medical Emergency. It May Be Accidental, Particularly In Children, Or Deliberate, For Example With Suicide  Attempts. We Present Two Cases Illustrating Accidental Oesophageal Foreign Body  Impaction Occurring After Consumption Of Food That Had Been Heated In A Plastic  Container In A Microwave Oven, Then Cut And Eaten Directly From The Softened  Container. To Date, We Are Not Aware Of Any Similar Reports. In View Of Potential  Complications, Care Needs To Be Taken When Food Is Eaten Directly From Plastic  Takeaway Containers.",,,
157,2011,"Goins, J.","Goins, Jeanne L.; Evans, Adele K.",International Journal Of Pediatric Otorhinolaryngology,,PubMed,10.1016/j.ijporl.2011.09.006,,Retrieval Of A Penny From The Pediatric Esophagus: A Cost Analysis,"Objective: As Part Of The Oral Phase Of Development, Children Commonly Ingest Foreign Bodies. The Most Common Lodged Foreign Body, Requiring Operative Removal,  In The United States Is The Penny. Valued At 1 Cent, Comprised Of Materials  Valued At Less Than 1 Cent, Costing 1.62 Cents To Manufacture, And Being Never  Removed From Circulation, Pennies Are Aplenty. But Ingestion Can Lead To Mucosal  Damage, The Consequences Of Which Can Be Esophageal Perforation Or Stricture  Formation. We Hypothesize That The Monetary Value Of The Penny Is Far Less Than  The Cost Of Its Ingestion And Removal. This Quality Assurance Study Examines The  Effect Of The Penny On The Purse. Patients And Methods: This Retrospective Review  Identified 180 Foreign Bodies In Children Under The Age Of 18 Over A Five Year  Period. Eighty-Two Were Pennies. Operative Notes Revealed Degree Of Injury.  Hospital Charge Assessments Revealed The ""Cost"" Of Each Visit. Results: There  Were No Esophageal Perforations, And Cases Were Divided Evenly Among Injury  Grades 0-Iii. The Average Total Charge For All Penny-Related Injuries Was  $7164.78. Conclusions: The Purpose Was To Examine The Actual Cost Of A Penny  (More Than Its Value In Production) And The Potential Cost Of Its Damage  (Thousands Of Dollars In Measurable Costs, Untold Immeasurable Costs). The Goal  Of This Study Is To Draw Healthcare Professional And Public Attention To A  Potentially Serious And Yet Highly Preventable Injury In Young Children.",,,
