Study_ID,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude_JGE,Reason_ID_JGE,Exclude_MS,Reason_ID_MS,Exclude_GC,Reason_ID_GC,Review_GC,Comments_GC,Exclude_FINAL,Reason_ID_FINAL
107,2007,"Forter, G.",G Forter,Narrative,"G Forter - Narrative, 2007 - JSTOR",Google Scholar,,https://www.jstor.org/stable/30219258,"Freud, Faulkner, Caruth: Trauma And The Politics Of Literary Form","For The Growing Number Of Cri Forces, Psychic Experience, And Since The Publication Of Cathy C Portant Opportunity For Reflectio Influential. It Brings Sophisticat Processes, Developing ...","For the growing number of critics concerned to trace the links among historical forces, psychic experience, and literary expression, the growth of trauma studies since the publication of Cathy Caruth's Unclaimed Experience (1996) offers an important opportunity for reflection. On one hand, the work in this field has been justly influential. It brings sophisticated psychoanalytic concepts to bear on collective processes, developing accounts of historical violence that are both socially specific and psychologically astute. These accounts are especially compelling when focused on what I call ""punctual"" traumas: historical events of such singularity, magnitude, and horror that they can be read as shocks that disable the psychic system. Thus, for example, in their readings of the Holocaust-the paradigmatic example for critics concerned with this kind of trauma-Caruth and others have helped us see how a historical moment might be experienced less as an ongoing set of processes that shape and are shaped by those living through them than as a punctual blow to the psyche that overwhelms its functioning, disables its defenses, and absents it from direct contact with the brutalizing event itself. Precisely because the violence suffered by Holocaust victims was so extreme, on this view, it affected those victims as a psychic concussion that short-circuited their capacity to ""process"" the traumatizing event as it took place. Traumas of this kind thus become accessible only in the mind's recursive attempts to master what it has in some sense failed to experience in the first instance. A punctual incursion on the mind, having ""dissociated"" consciousness from itself, installs an unprocessed memory-trace that returns unbidden, as delayed effect, in an effort to force the mind to digest this previously unclaimed kernel of experience.",True,5.0,,,,,,,True,5.0
109,2007,"Choi, E.","Choi, Eugene K.; Song, Ho-Young; Kim, Jae Wook; Shin, Ji Hoon; Kim, Kyung Rae; Kim, Jong Hoon; Kim, Sung-Bae; Jung, Hwoong-Yong; Park, Seung-Il",Journal Of Vascular And Interventional Radiology : Jvir,,PubMed,10.1016/j.jvir.2007.04.017,,Covered Metallic Stent Placement In The Management Of Cervical Esophageal Strictures,"Purpose: To Describe The Authors' Experience With Self-Expandable Covered Metallic Stents In 16 Patients With Malignant And Benign Cervical Esophageal  Strictures. Materials And Methods: Sixteen Expandable Covered Metallic Stents  Were Placed With Fluoroscopic Guidance In 16 Patients (14 Men, Two Women; Mean  Age, 60 Years; Age Range, 26-75 Years) With Malignant And Benign Strictures Of  The Cervical Esophagus. The Causes Of Strictures Were Ingestion Of Corrosive  Agents (N = 3), Biopsy-Proved Squamous Cell Carcinoma (N = 12), And Postsurgical  Scarring (N = 1). The Mean Dysphagia Scores At Presentation Were Compared With  Those After Stent Placement By Using The Wilcoxon Signed Rank Test. Results:  Stent Placement Was Technically Successful In All Patients. The Reduction In The  Mean Dysphagia Score After Stent Placement Was Statistically Significant (P =  .0327). All Patients Complained Of Mild To Severe Foreign Body Sensation, With  Four Reporting Severe Pain Necessitating Immediate Stent Removal. With The  Exception Of One Patient With Limited Follow-Up, Complications Requiring  Intervention Occurred In All Patients, Including Migration In Nine Patients And  Tissue Hyperproliferation In Two. Of The 12 Patients With A Malignant Stricture  Of The Esophagus, Four Patients Eventually Underwent Gastrostomy For The  Placement Of A Feeding Tube And One Patient Underwent Surgery. All Four Patients  With A Benign Cervical Stricture Failed To Achieve Long-Lasting Improvement With  Temporary Stent Placement. Conclusions: Although The Placement Of Covered  Metallic Stents In The Cervical Esophagus Provides Adequate Initial Palliation,  It Is Associated With Poor Patient Tolerance And A High Complication Rate.",,True,2.0,,,,,,,True,2.0
110,2007,"Ansoborlo, E.","Ansoborlo, E.; Bion, L.; Doizi, D.; Moulin, C.; Lourenco, V.; Madic, C.; Cote, G.; Van Der Lee, J.; Moulin, V.",Radiation Protection Dosimetry,,PubMed,10.1093/rpd/ncm258,,Current And Future Radionuclide Speciation Studies In Biological Media,"Radionuclides May Be Released Into The Environment Accidentally Or Incidentally, Which Could Raise Health Risks When Ingested Or Inhaled By Humans. In Order To  Study The Behaviour Of Radionuclides In The Human Organism (Metabolism,  Retention, Excretion), Knowledge Of Radionuclide Speciation Is Indispensable:  Speciation Governs The Transfer, Bioavailability And Toxicity Of Elements And Is  Also Of Considerable Interest For Decorporation. In This Context, The  Commissariat À L'Energie Atomique Has Created A Working Group On Speciation To  Share Data Both On Thermodynamic Constants And On Speciation Analysis Methods Of  Interest To Chemists, Environmentalists And Biologists. The Initial Focus Was On  The 31 Radionuclides Described In Different International Commission On  Radiological Protection Models (Hrtm, Hat) And The National Council On Radiation  Protection Model (Wound). Particular Attention Was Devoted To Selecting The  Inorganic And Organic Ligands, Most Representative Of Biological Media. The Base  Applied To Speciation In Solution And At Interfaces And Solubility (Bassist)  Thermodynamic Database Was Developed For This Purpose. The Aim Of This Paper Is  To Present The State Of The Art On Radionuclide Speciation Tools Within  Biological Media And To Emphasise Some Missing Data In Order To Orient Future  Research.",,True,2.0,,,,,,,True,2.0
111,2007,"Gunn, C.",C Gunn,,C Gunn - 2007 - books.google.com,Google Scholar,,https://books.google.lk/books?hl=en&lr=&id=hZDQAQAAQBAJ&oi=fnd&pg=PP1&dq=Churchill+Livingstone+Pocket+Radiography+And+Medical+Imaging+Dictionary+E-Book:+Churchill+Livingstone+Pocket+Radiography+And+Medical+Imaging+...+gunn+2007&ots=uk0naHkhIQ&sig=jv43V_dW6ujwhKNIFZhrW3UdIck&redir_esc=y#v=onepage&q=Churchill%20Livingstone%20Pocket%20Radiography%20And%20Medical%20Imaging%20Dictionary%20E-Book%3A%20Churchill%20Livingstone%20Pocket%20Radiography%20And%20Medical%20Imaging%20...%20gunn%202007&f=false,Churchill Livingstone Pocket Radiography And Medical Imaging Dictionary E-Book: Churchill Livingstone Pocket Radiography And Medical Imaging ...,"This Title Is Directed Primarily Towards Health Care Professionals Outside Of The United States. It Is A Dictionary Of Terms Used In Imaging Departments Covering Radiography, Radiotherapy, ...",Abstract not available,True,5.0,,,,,,,True,5.0
112,2008,"Steinhart, S.","Spl Travis, T Ahmad, J Collier, Ah Steinhart",,"SPL Travis, T Ahmad, J Collier, AH Steinhart - 2008 - books.google.com",Google Scholar,,https://books.google.lk/books?hl=en&lr=&id=tT2a8VrGRbwC&oi=fnd&pg=PR5&dq=Pocket+Consultant:+Gastroenterology+steinhart+2008&ots=qFGX9CqwQc&sig=ZytuoZZY1ZxFzpcpdtAUxctU5a4&redir_esc=y#v=onepage&q=Pocket%20Consultant%3A%20Gastroenterology%20steinhart%202008&f=false,Pocket Consultant: Gastroenterology,"There Have Been Significant Developments In The Fields Of Gastroenterology And Hepatology Since The Previous Edition And This New Edition Has Been Entirely Revised, Updated And ...",Abstract not available,True,5.0,,,,,,,True,5.0
115,2008,"Rollin, D.","Dw Ramey, Be Rollin",,"DW Ramey, BE Rollin - 2008 - books.google.com",Google Scholar,,https://books.google.lk/books?hl=en&lr=&id=CF9x9-XfitsC&oi=fnd&pg=PR7&dq=Complementary+And+Alternative+Veterinary+Medicine+Considered+d+ramey+2008&ots=9Qr8h2EkIu&sig=VxYQWWBOCZ5Q_7HpBox5H6pmSGU&redir_esc=y#v=onepage&q=Complementary%20And%20Alternative%20Veterinary%20Medicine%20Considered%20d%20ramey%202008&f=false,Complementary And Alternative Veterinary Medicine Considered,Complementary And Alternative Veterinary Medicine Considered Is A Book That Belongs In Your Veterinary Library. If You Are A Veterinarian Wondering If You Should Incorporate ...,Abstract not available,True,4.0,,,,,,,True,4.0
116,2008,"Wraight, W.","Wraight, William M.; Belcher, H. J. C. R.; Critchley, Hugo D.","Journal Of Plastic, Reconstructive & Aesthetic Surgery : Jpras",,PubMed,10.1016/j.bjps.2007.04.004,,Deliberate Self-Harm By Insertion Of Foreign Bodies Into The Forearm,"Deliberate Self-Harm Is Common. It Is Usually By Drug Overdose Or Ingestion Of Other Noxious Substances, But Self-Harm By Cutting Or Burning Often Comes To The  Attention Of Plastic Surgeons. We Report Three Variant Cases Involving Insertion  Of Paperclips, A Ballpoint Pen Cartridge And Sewing Needles Into The Forearm. We  Discuss The Management Considerations Of Each Case And Emphasise The Importance  Of Actively Addressing The Underlying Psychiatric Problems For All Instances Of  Deliberate Self-Harm.",,True,2.0,,,,,,,True,2.0
118,2008,"Thacker, A.","Thacker, A; Abdelnoor, A; Anderson, C; White, S; Hollins, S",Disability And Rehabilitation,,Web of Science,10.1080/09638280701461625,,Indicators Of Choking Risk In Adults With Learning Disabilities: A Questionnaire Survey And Interview Study,"Purpose. Feeding And Swallowing Impairments Are Key Predictors Of Increased Morbidity And Mortality In Adults With Learning Disabilities. This Postal Survey And Interview Study Sought To Identify Risk Factors In Adults With Learning Disabilities Who Have Histories Of Choking. Method. A Total Of 2000 Questionnaires Were Sent To Carers Of All Adults With Learning Disabilities Registered As Service Users By Three Local Health Authorities. (A 'Service User' May Be Using Any Specialist Learning Disability Health Or Social Care Facility With Day, Residential Or Therapeutic Services). Of The 674 Service Users For Whom Surveys Were Returned, 47 Were Living In Hospital, 396 Were Living In Residential Or Group Homes And 208 Were Living With Relatives, Or In Their Own Homes. Eighteen Subjects Who Had Reported Serious Or Repeated Episodes Of Choking Were Interviewed In Depth In Their Residences Or Workplaces. Responses Were Subjected To Frequency Analyses. Personal Characteristics Were Analysed. Choking Patterns Were Differentiated By Food Texture. Results. A Total Of 34% Of Questionnaires On 674 Service Users Were Returned; 42% Of Respondents Reported One Or More Choking Episodes. There Was A Significantly Greater Occurrence Of Choking Among People With More Severe Learning Disability, With Down Syndrome, People Who Had An Incomplete Dentition Or Were Taking A Greater Number Of Psychotropic Drugs. Antisocial Eating Habits Learnt In Institutional Settings Presented An Additional Choking Hazard For Some Individuals. Conclusion. Choking Is A Serious Hazard For Many Adults With Learning Disabilities. This Study Establishes Many Of The Characteristics Associated With Swallowing Problems In This Population. Clinicians And Carers Should Benefit From Awareness Of These Predictors, Leading To Better Management Of Eating Behaviours And Habits. A Choking And Swallowing Risk Assessment Should Be Included In Routine Health Assessments Of Adults With Learning Disability, Paying Especial Attention To The Condition Of A Person'S Teeth; Possible Side Effects From Prescribed Medication, And Abnormal Eating Behaviour.",,True,2.0,,,,,,,True,2.0
120,2008,"Schmidt, S.","Schmidt, Sabine; Hugli, Olivier; Rizzo, Elena; Lepori, Domenico; Gudinchet, F.; Yersin, Bertrand; Schnyder, Pierre; Meuwly, Jean-Yves",European Journal Of Radiology,,PubMed,10.1016/j.ejrad.2007.07.017,,Detection Of Ingested Cocaine-Filled Packets--Diagnostic Value Of Unenhanced Ct,"Purpose: Emergency Departments Are Facing Nowadays An Increasing Number Of Illegal Drug-Related Health Problems, Associated With Medicolegal And/Or Social  Consequences. Body Stuffers Are Street Cocaine Dealers, Who Either Store Wrapped  Packets Of Drugs In Their Rectum Or Hastily Swallow Them, Prompted By Fear Of  Police'S Arrest. These Packets Can Be Life Threatening In Case Of Leakage. We  Evaluate The Diagnostic Value Of Unenhanced Multidetector Ct (Mdct) For Detection  Of Cocaine-Filled Packets (Cfp) Ingested By Body Stuffers In A Phantom Model.  Materials And Methods: Our Phantom Simulated Normal Bowel Contents In Which A  Varying Number Of True And False Cfp Were Randomly Mixed. Both Only Differ In  Radiological Density. During 18 Different Reading Sessions, Four Radiologists  Independently Evaluated The Presence And Number Of True And False Cfp.  Interobserver Agreement, Sensitivity, Specificity, Positive And Negative  Predictive Value Were Calculated. Results: Interobserver Agreement For Detection  Of Any Packets, For Visualization Of True, And False Cfp Was Good (Kappa=0.63,  0.74 And 0.58, Respectively). Sensitivity, Specificity, Positive And Negative  Predictive Value For Detection Of Any Packets Was 95.6%, 100%, 100% And 62.5%,  Respectively; For Visualization Of The True Cfp 86.5%, 100%, 100% And 77.6%,  Respectively; And For The False Packets 98.1%, 65%, 88.6% And 87.5%,  Respectively. Conclusion: Unenhanced Mdct Without Bowel Preparation Is A Fast,  Reliable And Easily Reproducible Imaging Modality For The Immediate Detection Of  Ingested Cfp, Thus Facilitating Medicolegal Management Of Body Stuffers.",,True,2.0,,,,,,,True,2.0
121,2008,"Lobmaier, P.","Lobmaier, P; Kornor, H; Kunoe, N; Bjørndal, A",Cochrane Database Of Systematic Reviews,,Cochrane,10.1002/14651858.cd006140.pub2,,Sustained‐Release Naltrexone For Opioid Dependence,"Abstract - Background Naltrexone Is An Opioid Antagonist Which Effectively Blocks Heroin Effects. Since Opioid Dependence Treatment With Naltrexone Tablets Suffers From High Dropout Rates, Several Depot Injections And Implants Are Under Investigation. Sustained‐Release Formulations Are Claimed To Be Effective, But A Systematic Review Of The Literature Is Lacking. Objectives To Evaluate The Effectiveness Of Sustained‐Release Naltrexone For Opioid Dependence And Its Adverse Effects In Different Study Populations. Search Methods The Following Databases Were Searched From Their Inception To November 2007: Cochrane Central Register Of Controlled Trials, Medline, Embase, Cinahl, Lilacs, Psycinfo, Isi Web Of Science, Trial Database At Http://Clinicaltrials.Gov, Available Nida Monographs, Cpdd And Aaap Conference Proceedings. The Reference Lists Of Identified Studies, Published Reviews And Relevant Web Sides Were Searched Manually. Study Authors And Drug Companies Were Contacted To Obtain Any Unpublished Material Or Missing Data. Selection Criteria To Evaluate Effectiveness Only Rcts Were Included. To Evaluate Safety, Any Clinical Trial Reporting Adverse Effects Was Assessed. Treatment Condition Was Extended To Include Alcohol Dependent Subjects And Healthy Volunteers. Data Collection And Analysis Reviewers Independently Evaluated The Reports, Rated Methodological Quality And Extracted Data. Analyses Were Performed Separately For Opioid Dependent, Alcohol Dependent And Healthy Participants. Main Results Foe Effectiveness, One Report Met Inclusion Criteria. Two Dosages Of Naltrexone Depot Injections (192 And 384 Mg) Were Compared To Placebo. High‐Dose Significantly Increased Days In Treatment Compared To Placebo (Wmd 21.00, 95% Ci 10.68 To 31.32, P<0.0001). High‐Dose Compared To Low‐Dose Significantly Increased Days In Treatment (Wmd 12.00, 95% Ci 1.69 To 22.31, P=0.02). Number Of Patients Retained In Treatment Did Not Show Significant Differences Between Groups. For Adverse Effects, Seventeen Reports Met Inclusion Criteria Analyses, Six Were Rcts. Side Effects Were Significantly More Frequent In Naltrexone Depot Groups Compared To Placebo. In Alcohol Dependent Samples Only, Adverse Effects Appeared To Be Significantly More Frequent In The Low‐Dose Naltrexone Depot Groups Compared To Placebo (Rr 1.18, 95% Ci 1.02 To 1.36, P=0.02). In The Opioid Dependent Sample, Group Differences Were Not Statistically Significant. Reports On Systematic Assessment Of Side Effects And Adverse Events Were Scarce. Authors' Conclusions There Is Insufficient Evidence To Evaluate The Effectiveness Of Sustained‐Release Naltrexone For Treatment Of Opioid Dependence.  For Naltrexone Injections, Administration Site‐Related Adverse Effects Appear To Be Frequent, But Of Moderate Intensity And Time Limited. For A Harm‐Benefit Evaluation Of Naltrexone Implants, More Data On Side Effects And Adverse Events Are Needed. Plain Language Summary People With Opioid Dependence Require Substantial Therapeutic Effort To Keep Them Drug Free. Their Use Of Illicit Opioids Can Be Reduced And Retention In Treatment Improved With Supervised Agonist Replacement Therapy With Methadone, Which Is A Highly Addictive Drug. Naltrexone Is A Long‐Acting, Opioid‐Antagonist That Blocks Heroin Effects. It Is Used To Prevent Relapse Of Both Opioid And Alcohol Dependence. Highly Motivated People Do Best With  Naltrexone. Most Opioid Users Are Sceptical About Treatment With Naltrexone Tablets And Many Drop Out Early On. Dropouts Can Be Reduced With Supervised Tablet Taking, Offering Incentives And Using Sustained‐Release Naltrexone  Such As Subcutaneous Implants Or Depot Injections.  There Is Insufficient Evidence From Randomised Controlled Trials To Evaluate The Effectiveness Of Sustained‐Release Naltrexone. In The One Controlled Study That Met Inclusion Criteria, 60 Outpatients Were Randomised To One Of Three Groups That Received Two Sequential Depot Injections Of Naltrexone (192 Or 384 Mg) Or Placebo Injections. The Mean Dropout Time Was 48 Days With High Dose Naltrexone Compared With 27 Days On Placebo; An Increase In  Treatment Of 21 Days (Range 11 To 31 Days). The Lower Depot Dose Gave A Lesser Benefit. The Number Retained In Treatment At Eight Weeks Did Not Show A Clear Difference And Ranged From A Mean Of 68% To 39% Of Participants In  The Different Groups. 'Wanting Heroin' Did Not Differ On Naltrexone But 'Needing Heroin' Scored Significantly Lower With Depot Naltrexone Compared To Placebo. The Most Prominent Adverse Effects Were General Symptoms Of  Fatigue And Pain At The Injection Site. Seventeen Reports Met Inclusion Criteria For Assessing Adverse Effects. Seven Looked Specifically At Naltrexone Implants For Treatment Of Opioid Dependence And Wound Infection, Allergic Reaction To The Implant And Number Of Implants Removed. The Majority Of The Trials Did Not Have A Control Group And Systematic Assessment Of Adverse Effects Was Lacking.",,True,2.0,,,,,,,True,2.0
125,2008,"Fathi, N.","N Hatim, B Fathi",Al-Rafidain Dental Journal,"N Hatim, B Fathi - Al-Rafidain Dental Journal, 2008 - rden.mosuljournals.com",Google Scholar,10.33899/rden.2008.9043,https://rden.mosuljournals.com/index.php/rden/article/view/206,Gag Reflex Reduction In A Patient With Maxillofacial Prosthesis.(A Clinical Report),Aim: The Study Was Dedicated To Demonstrate The Importance Of Binding The Old Concepts Of Preventingthe Gag Reflex During The Prosthodontic Work Together With The New Advance In The ...,"Aim: the study was dedicated to demonstrate the importance of binding the old concepts of preventingthe gag reflex during the prosthodontic work together with the new advance in the concepts, techniques,and materials in this scope.
Materials and Methods: Silicone rubber base impression material (OranwashL, Zhermack, Italy) light, and heavy body was used in the study to take the impression by a newtechnique (cheek bite technique) without the use of a tray, and on incremental basis, which showedmore comfort and better results. The prosthesis given to the patient took advantage of the neutral zoneprinciples, which whenever applied it gives better results, it was hollowed, in addition, the procedurecarried less stimulation to the gag reflex, and more assurance. Results:
The obturator obtained by thetechnique described was larger in size, lighter in weight, and more comfortable, and efficient in functioncompared to the old one ,the entire procedure from the impression taking, to the delivery, and after, carriedless stimulation of the gag reflex, and gave better results. Conclusion: The advance in the prostheticmaterials, and techniques when combined with the available techniques, and information can givebetter results.",True,2.0,,,,,,,True,2.0
126,2008,"Amador, E.","Ea Arias, N Amador",,"EA Arias, N Amador - 2008 - books.google.com",Google Scholar,,https://books.google.lk/books?hl=en&lr=&id=BXixoy1E3EQC&oi=fnd&pg=PP17&dq=arias+2008+Nms+Review+For+The+Usmle+Clinical+Skills+Exam&ots=9iMZ0NrOCd&sig=Q72XwXwPsQBTHJSDtj_SWPQIOMo&redir_esc=y#v=onepage&q=arias%202008%20Nms%20Review%20For%20The%20Usmle%20Clinical%20Skills%20Exam&f=false,Nms Review For The Usmle Clinical Skills Exam,This Fully Revised Second Edition Offers A Complete Review For The Usmle Step 2 Clinical Skills (Cs) Exam. It Covers All Diseases Encountered On The Exam And Prepares Students To ...,Abstract not available,True,2.0,,,,,,,True,2.0
127,2008,"Al-Ani, A.","A Qureshi, F Al-Ani",... And Diseases. Amman,"A Qureshi, F Al-Ani - ... and Diseases. Amman, Jordan. Dar Ammar ..., 2008 - researchgate.net",Google Scholar,,https://www.researchgate.net/profile/falah-al-ani/publication/256292415_the_digestive_system/links/57831d2008ae01f736e8f532/the-digestive-system.pdf,The Digestive System,"Diseases Of The Digestive System Are Of Great Concern, Especially For Camels Used For Racing Or Draught Purposes. These Camels Do Not Get Enough Grazing And Bruising Time And Are Fed ...","The primary functions of the alimentary tract are prehension, digestion and absorption of food and water. An abnormality in any one may lead to dysfunction of the normal digestive activities, which may be abnormality of motility, secretion, digestion or absorption.
Diseases of the digestive system are of great concern, especially for camels used for racing or draught purposes. These camels do not get enough grazing and bruising time and are fed on concen-trate. They frequently suffer from diseases of the digestive tract due to overfeeding of grain, ingestion of toxic substances or foreign materials, and parasitism. The manifestation of alimentary dysfunction is generally characterized by anorexia, bloating, abdominal pain, weight loss, dehydra-tion, diarrhea or constipation, and death.",True,4.0,,,,,,,True,4.0
128,2008,"Ahmad, E.",Et Ahmad,Laser Therapy,"ET Ahmad - Laser Therapy, 2008 - jstage.jst.go.jp",Google Scholar,10.5978/islsm.17.75,https://www.jstage.jst.go.jp/article/islsm/17/2/17_2_75/_article/-char/ja/,Hyperbaric Oxygen Therapy Versus Laser Therapy On The Acceleration Of Venous Leg Ulcer Healing,"Venous Leg Ulcers Represent A Significant Medical, Economic And Social Problem (2). Many Ulcers Are Chronic, Having Demonstrated Poor Responses To The Conventional Therapeutic ...","The purpose of the current study was to determine the effectiveness of hyperbaric oxygen therapy(HBOT) or laser therapy in the acceleration of chronic venous ulcer healing. Thirty hospital inpatients with venous ulcers participated in this study for a treatment period of five weeks. They were divided randomly and equally into three groups (2 treatment groups and one control group). Patients in group (1) (HBOT group) received two 90 minutes treatments daily with 2 to3 L of humidified oxygen / minute at 22 mmHg. On the other hand, patients in group (2) (laser therapy group) received 1 J/cm2 infrared laser (Ga As), three times weekly. Patients in group (3) (control group) received standard wound care only. Wound surface area (WSA) and wound volume (WV) were used to measure the outcomes before starting the study and after the 3rd and 5th weeks posttreatment. It was found that, at the 5th week post-treatment there was a significant reduction in both WSA and WV in both the HBOT group and the laser therapy group when compared to the control group (P<0.0001), also there was a significant reduction in WSA and WV in the laser therapy group at the 5th week post-treatment when compared to the HBOT group (P<0.001). The findings strongly suggest that the application of infrared laser therapy at a dose of 1J/cm2, three times/week is more effective than the application of HBOT daily in the management of chronic venous ulcers. ",True,2.0,,,,,,,True,2.0
129,2009,"Winter, R.",R Winter,,R Winter - 2009 - books.google.com,Google Scholar,,"https://scholar.google.com/scholar?cluster=5883537935933764236&hl=en&as_sdt=0,5&inst=7421307413561760588",A Consumer'S Dictionary Of Cosmetic Ingredients: Complete Information About The Harmful And Desirable Ingredients Found In Cosmetics And Cosmeceuticals,Everything You Need To Know About The Safety And Efficacy Of Cosmetics And Cosmeceuticals. Is It A Cosmetic? A Drug? A Nutrient? It’S Becoming More And More Difficult To Tell The ...,Abstract not available,True,1.0,,,,,,,True,1.0
132,2009,"Yegane, R.","Yegane, Rooh-Allah; Bashashati, Mohammad; Hajinasrollah, Esmail; Heidari, Kamran; Salehi, Noor-Allah; Ahmadi, Mina",Diseases Of The Colon And Rectum,,PubMed,10.1007/dcr.0b013e31819738c9,,Surgical Approach To Body Packing,"Purpose: Body Packers, I.E. Individuals Carrying Illegal Drug Packages In Their Bodies, Are Usually Managed Medically. For The Minority, Surgical Intervention Is  Needed. Methods: We Review Our Experience To Compare Surgical And Nonsurgical  Approaches For Treating Symptomatic Body-Packing Patients. Results: From April  2004 To March 2007, 45 Patients Were Referred To Our Hospital. Nine Of Them  Underwent Surgical Intervention. The Number Of Packets And Total Swallowed Drugs  Were More Among Surgically-Treated Patients (P = 0.003, 0.004 Respectively). The  Mean Duration Between Drug Swallowing And Admission To The Hospital Was Longer  Among Surgically-Treated Patients (P = 0.001). Surgically-Treated Patients Were  More Symptomatic. Resistant Toxicity And Symptomatic Cocaine And Heroin Mixture  Packing Were The Most Common Indications For Surgery. Surgery Was Usually  Performed Without Any Complication. Conclusion: Surgical Intervention Is  Indicated For Body Packers With Persistent Nonresponsive Toxicity,  Gastrointestinal Obstruction Or Perforation, And Symptomatic Cocaine Packers.",,True,7.0,,,,,,,True,7.0
134,2009,"Lobectomy, S.",S Lobectomy,Medical Management of the Thoracic Surgery Patient E-Book: Expert Consult-Online and Print,"S Lobectomy - Medical Management of the Thoracic Surgery ..., 2009 - books.google.com",Google Scholar,,https://books.google.lk/books?hl=en&lr=&id=A22RbfxQKqcC&oi=fnd&pg=PP1&dq=Medical+Management+Of+The+Thoracic+Surgery+...+2009&ots=qfnweeRs2Y&sig=GOha---qBfqVIn3x_-6eduCPUA0&redir_esc=y#v=onepage&q=Medical%20Management%20Of%20The%20Thoracic%20Surgery%20...%202009&f=false,Wedge Resection,"Therapeutic Bronchoscopy Consists Of Airway Interventions Performed To Restore Or Maintain Airway Patency, Either For Palliation Or Cure Of Malignant And Benign Lesions Of The Upper And ...",Abstract not available,True,2.0,,,,,,,True,2.0
135,2009,"Huppert, J.","Huppert, Jill; Griffeth, Sarah; Breech, Lesley; Hillard, Paula",Journal Of Pediatric And Adolescent Gynecology,,PubMed,10.1016/j.jpag.2008.10.009,,Vaginal Burn Injury Due To Alkaline Batteries,"Background: Alkaline Batteries Are Known To Cause Caustic Burns To The Esophagus When Ingested. We Report A Case Of Alkaline Burns To The Vagina. Case: A  13-Year-Old Female Presented To The Emergency Department With Abdominal Pain. She  Was Admitted For Necrotic Vaginal Burns After Batteries Were Removed From Her  Vagina. Examination Under Anesthesia Revealed Multiple Third Degree Burns Without  Perforation Into Adjoining Structures. Management Included Topical Estrogen,  Topical Antibiotic, And An Oral Nonsteroidal Anti-Inflammatory. She Was  Re-Examined Under Anesthesia At 5 Days, Then Weekly As An Outpatient. Follow-Up  Examinations At 5 And 36 Months Later Confirmed Complete Healing. Conclusion: In  This Unique Case, We Discuss The Treatment Options And Postulate Reasons For The  Excellent Outcome In This Patient.",,True,2.0,,,,,,,True,2.0
136,2009,"Mercier, F.","Mercier, Frédéric J.; Bonnet, Marie-Pierre",Current Opinion In Anaesthesiology,,PubMed,10.1097/aco.0b013e32832a4125,,Tattooing And Various Piercing: Anaesthetic Considerations,"Purpose Of Review: Body Art Is Increasing Since The 1990S. Anaesthesiologists Would Be More And More Confronted To Patient With Tattooing Or Piercing, Or Both.  This Review Discusses The Anaesthetic Potential Risks And Complications Observed  With Tattooing And Piercing, Their Management And Prevention. Recent Findings:  Airway Management During Anaesthesia Is Of Particular Interest With Oral Jewelry.  Patients Often Refuse To Remove Their Piercing For Fear Of Tract Closure. There  Are No Serious Complications Reported After Epidural Puncture Through A Tattoo,  Although Any Long-Term Consequence Cannot Be Discarded Yet. Even Theoretical  Concerns Are More And More Debated. Summary: Oral And Nasal Piercing Is Of  Particular Concern Because Of The Risks Of Swallowing And Aspiration.  Consequently, Patients Should Be Advised To Remove Piercing Before Anaesthesia.  Emergency Situations Are Especially Risky And Anaesthesiologists Should Be Aware  Of The Piercing Removal Techniques. In Case Of Piercing Loss, Radiographies And  Fiberoptic Endoscopy Of The Upper Airways And Digestive Tracts Should Be  Performed To Eliminate Aspiration Or Swallowing Of The Foreign Body. Epidurals  Should Not Be Denied To Parturients With Lumbar Tattooing. However, It Seems  Still Prudent To Avoid Direct Tattoo Puncture Or When Unavoidable, To Nick The  Skin Prior To Inserting The Needle Through The Tattoo.",,True,2.0,,,,,,,True,2.0
