Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason
1993,"Sassatelli…, G.","G Bertoni, D Pacchione, R Sassatelli…","G Bertoni, D Pacchione, R Sassatelli… - Journal of pediatric …, 1993 - Wiley Online Library",Journal of pediatric …,A new protector device for safe endoscopic removal of sharp gastroesophageal foreign bodies in infants,"The accidental ingestion of sharp foreign bodies into the upper‐gastrointestinal tract is not uncommon in children. Endoscopic extraction of these objects poses technical difficulties, and …",https://onlinelibrary.wiley.com/doi/abs/10.1002/j.1536-4801.1993.tb10884.x,Google Scholar,,,
1993,"Fair, C.","CK Brown, SL Wooten, LK Fair","CK Brown, SL Wooten, LK Fair - The Journal of emergency medicine, 1993 - Elsevier",The Journal of emergency medicine,Retained foreign body: a fingernail fragment,A 19-year-old female presented four and onehalf months after an occupational injury from a punch-type machine. Exploration revealed a large fragment of her fingernail embedded in …,https://www.sciencedirect.com/science/article/pii/0736467993900437,Google Scholar,,,
1993,"Hartnell…, D.","DE Dupuy, GG Hartnell…","DE Dupuy, GG Hartnell… - AJR. American journal of …, 1993 - Am Roentgen Ray Soc",AJR. American journal of …,MR imaging of a patient with a ferromagnetic foreign body.,"The potential risks of MR examination in a patient with a ferro-magnetic foreign body have been widely discussed[1, 2]. Careful screening procedures are performed before the …",https://ajronline.org/doi/pdf/10.2214/ajr.160.4.8456685,Google Scholar,,,
1993,"Siegel, J.","JL Nosher, R Siegel","JL Nosher, R Siegel - Radiology, 1993 - pubs.rsna.org",Radiology,Percutaneous retrieval of nonvascular foreign bodies.,"Although intravascular foreign bodies are routinely removed with percutaneous extraction, surgical retrieval is performed of most nonvascular foreign bodies. The authors describe six …",https://pubs.rsna.org/doi/abs/10.1148/radiology.187.3.8497610,Google Scholar,,,
1994,"Scimone…, G.","G Cascone, M Filippello, R Ferri, G Scimone…","G Cascone, M Filippello, R Ferri, G Scimone… - …, 1994 - karger.com",…,B-scan echographic measurement of endobulbar foreign bodies,"Echography plays an important role in symptomatology investigations of ocular traumatology. Trauma causes the opacification of eye fluids, and so echography is particularly suitable …",https://karger.com/oph/article-abstract/208/4/192/254042,Google Scholar,,,
1994,"Berlin, L.",L Berlin,"L Berlin - Radiology, 1994 - pubs.rsna.org",Radiology,Radiologic Guide to Medical Devices and Foreign Bodies,"Although editors Tim Hunter and David Bragg characterize this fine book as a guide to various medical devices and foreign bodies, I believe such terms as encyclopedia or potpourri …",https://pubs.rsna.org/doi/pdf/10.1148/radiology.190.3.632,Google Scholar,,,
1994,"Amplatz, H.","H Ferral, Y Kimura, K Amplatz","H Ferral, Y Kimura, K Amplatz - Journal of Vascular and …, 1994 - academia.edu",Journal of Vascular and …,Retrieval of an entrapped guide wire with a braiding maneuver,"RETRIEVAL of intravascular foreign bodies with different snares is a common practice in interventional radiology (1). Catheters, wires, broken devices, stents, and angioplasty balloons …",https://www.academia.edu/download/73868829/S1051-0443_2894_2971575-X20211030-1046-8dkt8m.pdf,Google Scholar,,,
1994,"Evans…, B.","BS Gan, LN Hurst, HB Evans…","BS Gan, LN Hurst, HB Evans… - Canadian Journal of …, 1994 - journals.sagepub.com",Canadian Journal of …,Detection of foreign bodies using ultrasound: a possible pitfall,"Recently, a number of reports have brought the use of ultrasound scanning in the detection of foreign bodies to the field of hand surgery. A case is presented in which ultrasound was …",https://journals.sagepub.com/doi/abs/10.1177/229255039400200104,Google Scholar,,,
1994,"Zahavi, Y.","Y Barki, C Zahavi","Y Barki, C Zahavi - Journal of clinical ultrasound, 1994 - Wiley Online Library",Journal of clinical ultrasound,Foreign body ingestion in a baby: sonographic localization,"DISCUSSION Most ingested foreign bodies are excreted, but only 1% cause perforation. However, this percentage is much higher when the ingested object is sharp at one or both …",https://onlinelibrary.wiley.com/doi/abs/10.1002/jcu.1870220414,Google Scholar,,,
1994,"McEVOY, C.","CR LAMB, RN WHITE, FJ McEVOY","CR LAMB, RN WHITE, FJ McEVOY - Veterinary Surgery, 1994 - Wiley Online Library",Veterinary Surgery,Sinography in the investigation of draining tracts in small animals: retrospective review of 25 cases,"The signalment, history, clinical signs, radiographic findings, and surgical findings of 25 consecutive animals that had sinography were reviewed to assess the contribution made by …",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1532-950X.1994.tb00457.x,Google Scholar,,,
1994,"Nixon, J.","JE Schunk, AM Harrison, HM Corneli, GW Nixon","JE Schunk, AM Harrison, HM Corneli, GW Nixon - Pediatrics, 1994 - publications.aap.org",Pediatrics,Fluoroscopic Foley catheter removal of esophageal foreign bodies in children: experience with 415 episodes,"Objective. This study sought to investigate the safety and efficacy of the fluoroscopic Foley catheter technique (FFCT) for removal of esophageal foreign bodies (EFBs) in children, and to …",https://publications.aap.org/pediatrics/article-abstract/94/5/709/59208,Google Scholar,,,
1994,"Lan, R.",RS Lan,"RS Lan - European Respiratory Journal, 1994 - Eur Respiratory Soc",European Respiratory Journal,Non-asphyxiating tracheobronchial foreign bodies in adults,,,Google Scholar,,,
1994,"Herman-Giddens, M.",ME Herman-Giddens,"ME Herman-Giddens - Archives of pediatrics & adolescent …, 1994 - jamanetwork.com",Archives of pediatrics & adolescent …,Vaginal foreign bodies and child sexual abuse,Objective: To determine whether vaginal foreign bodies (VFBs) in prepubertal girls are associated with sexual abuse and whether evidence exists in earlier reports for such an …,https://jamanetwork.com/journals/jamapediatrics/article-abstract/517029,Google Scholar,,,
1994,"Azar…, B.","BM DeBroff, SP Donahue, BJ Caputo, MJ Azar…","BM DeBroff, SP Donahue, BJ Caputo, MJ Azar… - Eye & Contact …, 1994 - journals.lww.com",Eye & Contact …,Clinical characteristics of corneal foreign bodies and their associated culture results,A prospective study was performed to investigate the clinical characteristics of corneal foreign bodies and to determine if these characteristics were related to the culture results of the …,https://journals.lww.com/claojournal/abstract/1994/04000/Clinical_Characteristics_of_Corneal_Foreign_Bodies.12.aspx,Google Scholar,,,
1995,"Tychsen, T.","TE Herman, GD Shackelford, L Tychsen","TE Herman, GD Shackelford, L Tychsen - Pediatric radiology, 1995 - Springer",Pediatric radiology,Unrecognized retention of intraorbital graphite pencil fragments: the role of computerized tomography,"Children with unrecognized intraorbital pencil fragments may come to attention because of surrounding abscess and granuloma formation, after a long delay, and may be suspected to …",https://link.springer.com/article/10.1007/bf02015787,Google Scholar,,,
1995,"Brage…, M.","MS Rockett, SC Gentile, CJ Gudas, ME Brage…","MS Rockett, SC Gentile, CJ Gudas, ME Brage… - The Journal of foot and …, 1995 - Elsevier",The Journal of foot and …,The use of ultrasonography for the detection of retained wooden foreign bodies in the foot,"The efficacy of ultrasonography for the detection of wooden foreign bodies in the foot was analyzed retrospectively. Twenty patients underwent real-time, high-resolution ultrasound …",https://www.sciencedirect.com/science/article/pii/S1067251609800240,Google Scholar,,,
1995,"Rafuse, J.",J Rafuse,"J Rafuse - CMAJ: Canadian Medical Association Journal, 1995 - ncbi.nlm.nih.gov",CMAJ: Canadian Medical Association Journal,The associate editor of news and features replies,"I na reviewof closed legal actions from 1988 to 1992 conducted by the Canadian Medical Protective Association (CMPA), 21 casesinvolved emergency physicians' management of …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1487493/,Google Scholar,,,
1995,"Stenkvist, L.","L Tibbling, A Bjorkhoel, E Jansson, M Stenkvist","L Tibbling, A Bjorkhoel, E Jansson, M Stenkvist - Dysphagia, 1995 - Springer",Dysphagia,Effect of spasmolytic drugs on esophageal foreign bodies,Muscle spasm has been proposed as the cause for esophageal food impaction. The aim was therefore to treat esophageal foreign bodies with spasmolytic drugs influencing both …,https://link.springer.com/article/10.1007/BF00440084,Google Scholar,,,
1995,"Murty…, P.","PSN Murthy, TV Bipin, R Ranjit, KD Murty…","PSN Murthy, TV Bipin, R Ranjit, KD Murty… - American journal of …, 1995 - academia.edu",American journal of …,Extraluminal migration of swallowed foreign body into the neck,"DISCUSSION An extensive review of the literature showed very few case reports of extraluminal migration of ingested foreign bodies. In adults, most penetrating foreign bodies are …",https://www.academia.edu/download/102582439/0196-070928952990107-820230524-1-zmoqv.pdf,Google Scholar,,,
1995,"Berkhout, H.",HP Berkhout,"HP Berkhout - CMAJ: Canadian Medical Association Journal, 1995 - ncbi.nlm.nih.gov",CMAJ: Canadian Medical Association Journal,Fuzzy photo,"I na reviewof closed legal actions from 1988 to 1992 conducted by the Canadian Medical Protective Association (CMPA), 21 casesinvolved emergency physicians' management of …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1487490/,Google Scholar,,,
1995,"Kennedy, R.",RJ Kennedy,"RJ Kennedy - CMAJ: Canadian Medical Association Journal, 1995 - ncbi.nlm.nih.gov",CMAJ: Canadian Medical Association Journal,Politics part of physician's and CMA's role,"I na reviewof closed legal actions from 1988 to 1992 conducted by the Canadian Medical Protective Association (CMPA), 21 casesinvolved emergency physicians' management of …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1487463/,Google Scholar,,,
1995,"Mäurer…, J.","J Hierholzer, M Cordes, H Tantow, U Keske, J Mäurer…","J Hierholzer, M Cordes, H Tantow, U Keske, J Mäurer… - Abdominal …, 1995 - Springer",Abdominal …,Drug smuggling by ingested cocaine-filled packages: conventional x-ray and ultrasound,Purpose To evaluate the imaging characteristics and the diagnostic value of both abdominal ultrasound and conventional abdominal x-ray in identifying ingested drug packages in “…,https://link.springer.com/article/10.1007/BF00203366,Google Scholar,,,
1995,"Hingsbergen, J.","JD Sprinkle, EA Hingsbergen","JD Sprinkle, EA Hingsbergen - Pediatric radiology, 1995 - Springer",Pediatric radiology,"Retained foreign body: associations with elevated lead levels, pica, and duodenal anomaly","A 14-month-old girl presented with elevated lead levels and a metallic foreign body was detected on abdominal radiograph. Subsequent evaluation, performed after the child failed to …",https://link.springer.com/article/10.1007/BF02015785,Google Scholar,,,
1995,"Hobbs, K.","KA Klein, BB Hobbs","KA Klein, BB Hobbs - CMAJ: Canadian Medical Association …, 1995 - ncbi.nlm.nih.gov",CMAJ: Canadian Medical Association …,Radiopacity of glass: does the lead content matter?,"I na reviewof closed legal actions from 1988 to 1992 conducted by the Canadian Medical Protective Association (CMPA), 21 casesinvolved emergency physicians' management of …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1487487/,Google Scholar,,,
1995,"Krolikowski, A.","AFG Paulino, FJ Krolikowski","AFG Paulino, FJ Krolikowski - The American Journal of Forensic …, 1995 - journals.lww.com",The American Journal of Forensic …,Insertion of foreign bodies into the abdominal cavity: an unusual form of self-mutilation,Self-mutilation is self-infliction of bodily injury without a conscious suicidal intent. Repeated self-inflicted abdominal stab wounds with insertion of foreign bodies into the abdominal …,https://journals.lww.com/amjforensicmedicine/abstract/1995/03000/insertion_of_foreign_bodies_into_the_abdominal.10.aspx,Google Scholar,,,
1996,"Armstrong, M.",M Armstrong,"M Armstrong - The Journal of Aesthetics and Art Criticism, 1996 - JSTOR",The Journal of Aesthetics and Art Criticism,""" The Effects of Blackness"": Gender, Race, and the Sublime in Aesthetic Theories of Burke and Kant","Stereotypes, however inaccurate, are one form of representation. Like fictions, they are created to serve as substitutions, standing in for what is real. They are there not to tell it like it is …",https://www.jstor.org/stable/431624,Google Scholar,,,
1996,"Marsh, S.","SM Kelly, BR Marsh","SM Kelly, BR Marsh - Chest Surgery Clinics of North America, 1996 - Elsevier",Chest Surgery Clinics of North America,Airway foreign bodies,The removal of airway foreign bodies can be challenging even for the most experienced endoscopist. A familiarity with and working knowledge of older time-tested techniques and …,https://www.sciencedirect.com/science/article/pii/S1052335925007598,Google Scholar,,,
1996,"Darrow…, P.","PS Lemberg, DH Darrow…","PS Lemberg, DH Darrow… - Annals of Otology …, 1996 - journals.sagepub.com",Annals of Otology …,Aerodigestive tract foreign bodies in the older child and adolescent,"This study was undertaken in order to establish the incidence of aerodigestive tract foreign body accidents among older children and adolescents, and to investigate the circumstances …",https://journals.sagepub.com/doi/abs/10.1177/000348949610500404,Google Scholar,,,
1996,"McLaurin…, B.","B Reiner, E Siegel, T McLaurin…","B Reiner, E Siegel, T McLaurin… - … American journal of …, 1996 - Am Roentgen Ray Soc",… American journal of …,"Evaluation of soft-tissue foreign bodies: comparing conventional plain film radiography, computed radiography printed on film, and computed radiography displayed …","The study was performed to evaluate detection of soft-tissue foreign bodies using conventional radiography (film-screen radiography), computed radiography printed on films (computed …",https://ajronline.org/doi/abs/10.2214/ajr.167.1.8659358,Google Scholar,,,
1996,"Hartranft, S.","SO Johnson, TH Hartranft","SO Johnson, TH Hartranft - Diseases of the colon & rectum, 1996 - journals.lww.com",Diseases of the colon & rectum,Nonsurgical removal of a rectal foreign body using a vacuum extractor: report of a case,"PURPOSE: Rectal foreign bodies can be extracted by non-surgical methods. However, glass objects require technical considerations to minimize morbidity and may necessitate …",https://journals.lww.com/dcrjournal/abstract/1996/39080/Nonsurgical_removal_of_a_rectal_foreign_body_using.15.aspx,Google Scholar,,,
1996,"McGuckin…, V.","VT Ho, JF McGuckin…","VT Ho, JF McGuckin… - American journal of …, 1996 - Am Soc Neuroradiology",American journal of …,Intraorbital wooden foreign body: CT and MR appearance.,A case of an intraorbital wooden foreign body mimicking air on standard CT window setting and on MR is presented. Its higher attenuation with higher CT window setting as well as its …,https://www.ajnr.org/content/17/1/134.short,Google Scholar,,,
1996,"Othersen…, R.","RI Macpherson, JG Hill, HB Othersen…","RI Macpherson, JG Hill, HB Othersen… - … American journal of …, 1996 - Am Roentgen Ray Soc",… American journal of …,"Esophageal foreign bodies in children: diagnosis, treatment, and complications.","We performed this study to identify the role of radiology in the diagnosis, treatment, and complications of esophageal foreign bodies in children. We retrospectively reviewed the charts …",https://ajronline.org/doi/abs/10.2214/ajr.166.4.8610574,Google Scholar,,,
1997,"D'Agostino…, S.","SL Barnwell, AN D'Agostino…","SL Barnwell, AN D'Agostino… - American Journal …, 1997 - Am Soc Neuroradiology",American Journal …,Foreign bodies in small arteries after use of an infusion microcatheter.,"Over a 31-month period, we performed four neurointerventional procedures after which unexpected foreign bodies were noted in multiple arteries. All four procedures had in common …",https://www.ajnr.org/content/18/10/1886.short,Google Scholar,,,
1997,"George, M.","MA Cepela, CE George","MA Cepela, CE George - Current Opinion in Ophthalmology, 1997 - journals.lww.com",Current Opinion in Ophthalmology,Orbital trauma,This article is a review of recent advances in the evaluation and treatment of orbital and periorbital trauma. We present the pertinent literature from the past year dealing with orbital …,https://journals.lww.com/co-ophthalmology/abstract/1997/10000/Orbital_trauma.13.aspx,Google Scholar,,,
1997,"Jr…, A.","AJM Cataneo, SM Reibscheid, RL Ruiz Jr…","AJM Cataneo, SM Reibscheid, RL Ruiz Jr… - Clinical …, 1997 - journals.sagepub.com",Clinical …,Foreign body in the tracheobronchial tree,"A 20-year experience with the treatment of 74 patients (83.8% children) for foreign body aspiration is reviewed. The object of this review is to show the clinical manifestations, the …",https://journals.sagepub.com/doi/abs/10.1177/000992289703601206,Google Scholar,,,
1997,"Kudo, A.","A Uchino, A Kato, Y Takase, S Kudo","A Uchino, A Kato, Y Takase, S Kudo - Neuroradiology, 1997 - Springer",Neuroradiology,Intraorbital wooden and bamboo foreign bodies: CT,"We describe the CT findings of intraorbital wooden and bamboo foreign bodies in the acute, subacute, and chronic stages. We examined four patients using CT a total of seven times. …",https://link.springer.com/article/10.1007/s002340050396,Google Scholar,,,
1997,"Hur…, K.","KG Jo, MS Baek, MS Kim, JM Hur…","KG Jo, MS Baek, MS Kim, JM Hur… - Tuberculosis and …, 1997 - synapse.koreamed.org",Tuberculosis and …,A case of occult foreign body lodged in bronchus for a long period and removal by flexible bronchoscopy,"Aspiration of foreign bodies into tracheobronchial tree is more common in children than in adults. Foreign bodies in airway commonly occur by accident, and in most cases they get …",https://synapse.koreamed.org/articles/1061306,Google Scholar,,,
1997,"Ozanne-Smith, A.","AE Altmann, J Ozanne-Smith","AE Altmann, J Ozanne-Smith - Injury Prevention, 1997 - injuryprevention.bmj.com",Injury Prevention,Non-fatal asphyxiation and foreign body ingestion in children 0-14 years.,"OBJECTIVES: To examine the frequency and nature of non-fatal asphyxiation and foreign body ingestion injuries among children in the state of Victoria, Australia, and to identify …",https://injuryprevention.bmj.com/content/3/3/176.short,Google Scholar,,,
1997,"Díaz-Jiménez, J.",JP Díaz-Jiménez,"JP Díaz-Jiménez - Journal of Bronchology & Interventional …, 1997 - journals.lww.com",Journal of Bronchology & Interventional …,Bronchoscopic approach to tracheobronchial foreign bodies in adults pro-rigid bronchoscopy,"The first extraction of a tracheobronchial foreign body was performed by Gustav Killian of Freiburg, Germany, precisely one hundred years ago (1). He was able to extract the foreign …",https://journals.lww.com/bronchology/citation/1997/04000/bronchoscopic_approach_to_tracheobronchial_foreign.16.aspx,Google Scholar,,,
1997,"Coren…, B.","BF Gilchrist, EP Valerie, M Nguyen, C Coren…","BF Gilchrist, EP Valerie, M Nguyen, C Coren… - Journal of pediatric …, 1997 - Elsevier",Journal of pediatric …,"Pearls and perils in the management of prolonged, peculiar, penetrating esophageal foreign bodies in children",Background/Purpose: Most retained esophageal foreign bodies (FB) are identified soon after ingestion and are easily extracted. A minority of FB ingestions are not identified for weeks …,https://www.sciencedirect.com/science/article/pii/S0022346897905546,Google Scholar,,,
1997,"LOMBARDO…, F.","F CETTA, C BALDI, F LOMBARDO…","F CETTA, C BALDI, F LOMBARDO… - … & Advanced Surgical …, 1997 - liebertpub.com",… & Advanced Surgical …,Migration of metallic clips used during laparoscopic cholecystectomy and formation of gallstones around them: surgical implications from a prospective study,"Two groups of patients, with laparoscopic cholecystectomy (LC) were prospectively studied. All patients had serial plain abdominal X-ray examinations at various intervals after …",https://www.liebertpub.com/doi/abs/10.1089/lap.1997.7.37,Google Scholar,,,
1998,"Ferguson, D.","D Macgregor, J Ferguson","D Macgregor, J Ferguson - Emergency Medicine Journal, 1998 - emj.bmj.com",Emergency Medicine Journal,Foreign body ingestion in children: an audit of transit time.,OBJECTIVES: To study the pattern of ingestion of radio-opaque foreign bodies in children and to ascertain the average transit time to passage per rectum in order to rationalise future …,https://emj.bmj.com/content/15/6/371.short,Google Scholar,,,
1998,"Kontrus, A.","A Lakits, E Steiner, C Scholda, M Kontrus","A Lakits, E Steiner, C Scholda, M Kontrus - Ophthalmology, 1998 - Elsevier",Ophthalmology,Evaluation of intraocular foreign bodies by spiral computed tomography and multiplanar reconstruction,OBJECTIVE:: This study aimed to evaluate the ability of spiral computed tomography (CT) and multiplanar reconstruction in the assessment of intraocular foreign bodies. DESIGN:: The …,https://www.sciencedirect.com/science/article/pii/S0161642098932894,Google Scholar,,,
1998,"Bouffard…, J.","JA Jacobson, A Powell, JG Craig, JA Bouffard…","JA Jacobson, A Powell, JG Craig, JA Bouffard… - Radiology, 1998 - pubs.rsna.org",Radiology,Wooden foreign bodies in soft tissue: detection at US.,PURPOSE: To evaluate the use of ultrasound (US) for detection of wooden foreign bodies implanted in cadaveric specimens. MATERIALS AND METHODS: Wooden foreign bodies …,https://pubs.rsna.org/doi/abs/10.1148/radiology.206.1.9423650,Google Scholar,,,
1998,"Prasad, M.","MP Kamath, AB Shetty, KC Prasad","MP Kamath, AB Shetty, KC Prasad - American journal of otolaryngology, 1998 - Elsevier",American journal of otolaryngology,A rare complication of an impacted foreign body in the cricopharynx,DISCUSSION Foreign body impaction in the esophagus is not an uncommon problem. The largest series published to date far are by Jackson4 from Pennsylvania (2372 cases) and by …,https://www.sciencedirect.com/science/article/pii/S0196070998900680,Google Scholar,,,
1998,"Narcy, M.","M François, R Hamrioui, P Narcy","M François, R Hamrioui, P Narcy - European archives of oto-rhino …, 1998 - Springer",European archives of oto-rhino …,Nasal foreign bodies in children,"Between 1994 and 1997, a total of 72 nasal foreign bodies were removed from 68 children (28 girls and 40 boys, including 2 repeats) in the ENT Department at Robert Debré Hospital, …",https://link.springer.com/article/10.1007/s004050050028,Google Scholar,,,
1998,"Lawrence…, C.","CR Hasbún, AJ Lawrence…","CR Hasbún, AJ Lawrence… - Journal of wildlife …, 1998 - meridian.allenpress.com",Journal of wildlife …,Duodenal volvulus in free-living green turtles from coastal United Arab Emirates,Post-mortem examinations performed during May and August of 1997 on three free-living green turtles (Chelonia mydas) in the United Arab Emirates revealed that all had stomachs full …,https://meridian.allenpress.com/jwd/article-abstract/34/4/797/122076,Google Scholar,,,
1998,"Pittet, J.","JD Thylefors, S Harbarth, D Pittet","JD Thylefors, S Harbarth, D Pittet - Infection Control & Hospital …, 1998 - cambridge.org",Infection Control & Hospital …,Increasing bacteremia due to coagulase-negative staphylococci: fiction or reality?,"BACKGROUND:The role of coagulase-negative staphylococci (CNS) in bacteremias continues to be controversial. Until the 1970s, CNS were mostly recognized as contaminants, being …",https://www.cambridge.org/core/journals/infection-control-and-hospital-epidemiology/article/increasing-bacteremia-due-to-coagulasenegative-staphylococci-fiction-or-reality/8015ABBD0868DF95966C6011A2F16A8E,Google Scholar,,,
1998,"Sharma…, L.","L Gopal, AS Banker, N Deb, SS Badrinath, T Sharma…","L Gopal, AS Banker, N Deb, SS Badrinath, T Sharma… - Retina, 1998 - journals.lww.com",Retina,Management of glass intraocular foreign bodies,Purpose: To describe the results of management of glass intraocular foreign bodies (IOFBs). Methods: A total of 51 eyes of 43 patients that sustained penetrating injury with glass IOFB …,https://journals.lww.com/retinajournal/abstract/1998/03000/Lacquer_Cracks_Following_Laser_Treatment_of.4.aspx,Google Scholar,,,
1998,"Nasr, Z.","ZA Karcioglu, AM Nasr","ZA Karcioglu, AM Nasr - Orbit, 1998 - Taylor & Francis",Orbit,Diagnosis and management of orbital inflammation and infections secondary to foreign bodies: a clinical review,"Orbital inflammation and secondary infections may be caused by many types of foreign bodies, including organic and inorganic matter, non-autogenous surgical implants and allografts, …",https://www.tandfonline.com/doi/abs/10.1076/orbi.17.4.247.2737,Google Scholar,,,
1998,"Pippus, J.","JT Zerella, M Dimler, LC McGill, KJ Pippus","JT Zerella, M Dimler, LC McGill, KJ Pippus - Journal of pediatric surgery, 1998 - Elsevier",Journal of pediatric surgery,Foreign body aspiration in children: value of radiography and complications of bronchoscopy,Purpose: The authors undertook a 10-year review of bronchoscopies for airway foreign bodies in children to test assertions in previous reports that (1) characteristic abnormalities in …,https://www.sciencedirect.com/science/article/pii/S0022346898906017,Google Scholar,,,
1998,"Khan…, A.","AM Abu El-Asrar, SA Al-Amro, NM Khan…","AM Abu El-Asrar, SA Al-Amro, NM Khan… - International …, 1998 - Springer",International …,Retinal detachment after posterior segment intraocular foreign body injuries,Purpose: To identify the risk factors for retinal detachment after posterior segment intraocular foreign body (IOFB) injuries and to study the association between the development of …,https://link.springer.com/article/10.1023/A:1006469705126,Google Scholar,,,
1999,"Sethi, L.","LWJ Chee, DS Sethi","LWJ Chee, DS Sethi - Annals of Otology, Rhinology & …, 1999 - journals.sagepub.com",Annals of Otology,Diagnostic and therapeutic approach to migrating foreign bodies,Ingested foreign bodies are the commonest otolaryngological emergency in Singapore and other parts of Southeast Asia. One of the uncommon complications of ingested foreign …,https://journals.sagepub.com/doi/abs/10.1177/000348949910800213,Google Scholar,,,
1999,"Moon, P.","PA Leggat, R Speare, MEL Moon","PA Leggat, R Speare, MEL Moon - Journal of travel medicine, 1999 - search.proquest.com",Journal of travel medicine,Sore eyes and travelers,"Our eyes can tell a story. They can reflect the environment in which they are exposed, they can reflect the stresses and strains of their use, and they can even reflect disease. Some …",https://search.proquest.com/openview/561fb7bac27cdf0be916dc832f27a3cd/1?pq-origsite=gscholar&cbl=31909,Google Scholar,,,
1999,"Kvale, P.",PA Kvale,"PA Kvale - Interventional Pulmonology, 1999 - McGraw-Hill Companies",Interventional Pulmonology,OVERVIEW OF,,,Google Scholar,,,
1999,"Bartley…, J.","JD Bullock, RE Warwar, GB Bartley…","JD Bullock, RE Warwar, GB Bartley… - Ophthalmic Plastic & …, 1999 - journals.lww.com",Ophthalmic Plastic & …,Unusual orbital foreign bodies,"Purpose: To describe the clinical features of patients with unusual orbital foreign bodies. Methods: The clinical histories, preoperative photographs, imaging studies, and surgical …",https://journals.lww.com/op-rs/abstract/1999/01000/unusual_orbital_foreign_bodies.10.aspx,Google Scholar,,,
1999,"Nagendran, T.",T Nagendran,"T Nagendran - Hospital Physician, 1999",Hospital Physician,Management of foreign bodies in the emergency department,,,Google Scholar,,,
1999,"Jarrett, G.","GR Szlyk, TW Jarrett","GR Szlyk, TW Jarrett - Journal of endourology, 1999 - liebertpub.com",Journal of endourology,Use of rigid hysteroscope for extraction of foreign bodies embedded in lower urinary tract,Purpose: To introduce the use of the 20F rigid hysteroscope in urologic procedures. Materials and Methods: The 20F hysteroscope was used to remove deeply embedded foreign …,https://www.liebertpub.com/doi/abs/10.1089/end.1999.13.47,Google Scholar,,,
1999,"Music…, A.","A Debeljak, J Sorli, E Music…","A Debeljak, J Sorli, E Music… - European Respiratory …, 1999 - Eur Respiratory Soc",European Respiratory …,Bronchoscopic removal of foreign bodies in adults: experience with 62 patients from 1974-1998,,,Google Scholar,,,
1999,"Hover…, I.","I Heling, J Lustmann, R Hover…","I Heling, J Lustmann, R Hover… - ASDC Journal of Dentistry …, 1999 - academia.edu",ASDC Journal of Dentistry …,Complications of apexification resulting from poor patient compliance: report of case,"Spontaneous apical closure with calcified tissue, in nonvital immature teeth is an uncommon sequela to dental trauma. It may occur, however, if there are remnants of vital pulp tissue or …",https://www.academia.edu/download/58450088/34.pdf,Google Scholar,,,
2000,"Kim, J.","JH Lee, DG Kim","JH Lee, DG Kim - Journal of neurosurgery, 2000 - thejns.org",Journal of neurosurgery,Brain abscess related to metal fragments 47 years after head injury: case report,✓ The authors report a case of symptomatic brain abscess in a 51-year-old man who presented with personality changes and generalized seizures. He had survived a grenade …,https://thejns.org/view/journals/j-neurosurg/93/3/article-p477.xml,Google Scholar,,,
2000,"Tariq, A.","A Kalan, M Tariq","A Kalan, M Tariq - Postgraduate medical journal, 2000 - ncbi.nlm.nih.gov",Postgraduate medical journal,"Foreign bodies in the nasal cavities: a comprehensive review of the aetiology, diagnostic pointers, and therapeutic measures","Otolaryngologists frequently encounter nasal foreign bodies, particularly among children and mentally retarded patients. There are isolated reports describing the removal of unusual …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1741675/,Google Scholar,,,
2000,"Bragheri, P.","P Spina, S Minniti, R Bragheri","P Spina, S Minniti, R Bragheri - Pediatric radiology, 2000 - Springer",Pediatric radiology,Usefulness of ultrasonography in gastric foreign body retention,Foreign-body ingestion occurs frequently in childhood. The diagnosis of ingestion is usually made by plain film radiography. Ultrasound is not routinely used in the investigation of …,https://link.springer.com/article/10.1007/s002470000353,Google Scholar,,,
2000,"Geishauser…, K.","K Querengässer, T Geishauser…","K Querengässer, T Geishauser… - The Bovine …, 2000 - bovine-ojs-tamu.tdl.org",The Bovine …,Teat Dilators as Free Foreign Bodies in the Bovine Teat: Two Case Studies,The objective of this study is to report two cases of foreign bodies in teats of cows with milk flow disorders. Foreign bodies and the causes of the milk flow disorders were diagnosed and …,https://bovine-ojs-tamu.tdl.org/bovine/article/view/1766,Google Scholar,,,
2000,"Schweitzer, V.","V Giuliano, ME Schweitzer","V Giuliano, ME Schweitzer - Handbook of Lower Extremity …, 2000 - Churchill Livingstone",Handbook of Lower Extremity …,TECHNICAL CONSIDERATIONS,,,Google Scholar,,,
2000,"Shepherd…, E.","E Chen, S Horing, SM Shepherd…","E Chen, S Horing, SM Shepherd… - Academic Emergency …, 2000 - Wiley Online Library",Academic Emergency …,Primary closure of mammalian bites,Objective: Suturing of bite wounds remains controversial. The authors evaluated the incidence of wound infection in 145 mammalian bite wounds treated with primary closure. Methods: …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1553-2712.2000.tb00519.x,Google Scholar,,,
