Publication Year,First Author,Authors,Publication Title,Title,Abstract,DOI,Database
2012,"Dipoce, J.","DiPoce, J; Guelfguat, M; DiPoce, J",Radiographics,Radiologic findings in cases of attempted suicide and other self-injurious behavior,"Suicide is one of the leading causes of death in multiple age groups. Therefore, it is important that radiologists be aware of this commonly encountered entity. Attempted suicide may take a variety of forms; those discussed by the authors include sharp force injury, immolation and inhalation, ingestion, hanging, firearm use, jumping from a height, and drowning. Certain radiologic findings are commonly seen in cases of attempted suicide and other self-injurious behaviors. In some cases, especially when the patient is unconscious or is unwilling to provide a history, it may not be apparent that suicide has been attempted until characteristic imaging findings are recognized. Correct identification of suicide attempts on the basis of such findings will ensure that these patients receive appropriate psychiatric treatment. When a suicide attempt is unsuccessful, it is important to be familiar with the complications that may contribute to delayed mortality and morbidity. The radiologist plays an integral role in the acute medical or surgical management of patients who have attempted suicide. In addition, imaging examinations may provide useful forensic information. (C) RSNA, 2012 . radiographics.rsna.org",10.1148/rg.327125035,Web of Science
2012,"Frei-Lanter, C.","Frei-Lanter, Cornelia M.; Vavricka, Stephan R.; Kruger, Tillmann H. C.; Tutuian, Radu; Geier, Andreas; Bauerfeind, Peter; Krones, Tanja; Fried, Michael; Frei, Pascal",European Journal Of Gastroenterology & Hepatology,Endoscopy for repeatedly ingested sharp foreign bodies in patients with borderline personality disorder: an international survey,"BACKGROUND: The general guidelines on the management of ingested foreign bodies (FBs) do not address specific aspects raised by psychiatric patients,  particularly in patients with borderline personality disorders (BPD) who  repeatedly ingest FBs. The aim of this survey was to collect data on experience  and opinions on the management of FBs in psychiatric patients with BPD and to  review the relevant literature. METHODS: A survey focusing on the indication and  the timing of endoscopy for sharp FB removal in patients with BPD was e-mailed to  215 gastroenterologists, psychiatrists, and surgeons in Switzerland, Germany and  Austria, discussing this clinical problem using a specific case vignette.  RESULTS: Responses were received from 63 of 215 (29%) contacted physicians.  Two-thirds of the respondents knew patients with BPD who had swallowed FBs  repeatedly; 86% recommended removing sharp FBs endoscopically even in the case of  repeated FB ingestion and 14% of respondents argued against emergent endoscopic  FB removal in the case of repeated ingestions. Different specialities expressed  partially divergent opinions regarding the management of these patients.  CONCLUSION: Repeated FB ingestions can be a problem in patients with BPD.  Although published data show that the perforation risk of unremoved FBs is low,  most clinicians support repeated endoscopies also in the case of repeated FB  ingestions. Nevertheless, in selected cases, repeated endoscopies need to be  discussed and an interdisciplinary consensus and/or the involvement of an ethical  committee is advised.",10.1097/meg.0b013e32835403d5,PubMed
2012,"Kiser, M.","Kiser, Michelle M.; Samuel, Jonathan C.; Mclean, Sean E.; Muyco, Arturo P.; Cairns, Bruce A.; Charles, Anthony G.","International Journal Of Surgery (London, England)",Epidemiology of pediatric injury in malawi: burden of disease and implications for prevention,"PURPOSE: Pediatric injuries pose a significant health burden in sub-Saharan Africa, though historic data are too scarce to appreciate the extent of the  problem. The purpose of this study is to utilize a comprehensive database to  describe the epidemiology of pediatric injuries at a tertiary hospital in Malawi.  METHODS: Data were prospectively collected on patients presenting to the  emergency department for treatment of injuries from 2008 to 2010 (n = 23,625).  The subset of pediatric patients (n = 7233) underwent cross-sectional analysis to  examine demographics, injury environment, timing and mechanisms. RESULTS:  Pediatric patients, (0-16 years) comprised 30.6% of all trauma patients. Mean age  was 7.2 years. Falls were the most common injury (43%), followed by burns  (11.1%), pedestrian road traffic injuries (9.7%), foreign bodies (7.5%), and  assaults (7.2%). Statistically significant differences in injury pattern were  observed between gender, age groups and season. After logistic regression,  predictors of fall included male gender, home setting, and rainy season, whereas  predictors of burn included female gender, age 0-5 yrs, home setting, and cold  season. Predictors of pedestrian injury included age 6-10 yrs, female, and  roadside setting. Predictors of foreign body ingestion included age 0-5 yrs,  female gender, home setting, and daytime, and predictors of assault include male  gender, age 11-16 yrs, nighttime hours. All predictors were statistically  significant (p < 0.05). CONCLUSIONS: This study revealed patterns of injury based  upon age, gender, location, and season. Our results may prove useful to  stakeholders in injury prevention for designing, evaluating, and implementing  programs to improve public safety in children in Malawi and similar resource poor  nations.",10.1016/j.ijsu.2012.10.004,PubMed
2012,"Lakhani, R.","Lakhani, R; Fishman, JM; Bleach, N; Costello, D; Birchall, M",Cochrane Database Of Systematic Reviews,Alternative injectable materials for vocal fold medialisation in unilateral vocal fold paralysis,"Abstract - Background Patients with unilateral vocal fold paralysis (UVFP) usually present with dysphonia, but can also be breathless and have problems with their swallowing. Speech and language therapy forms the initial mainstay of management in cases of UVFP, since up to 60% of cases will resolve spontaneously. If vocal fold paralysis persists surgery, in the form of injection medialisation, has been shown to be an effective intervention. What is currently unclear is which is the most effective material available for injection. Objectives To assess the effectiveness of alternative injection materials in the treatment of UVFP. Search methods We searched the Cochrane Ear, Nose and Throat Disorders Group Trials Register; the Cochrane Central Register of Controlled Trials (CENTRAL); PubMed; EMBASE; CINAHL; Web of Science; BIOSIS Previews; Cambridge Scientific Abstracts; ICTRP and additional sources for published and unpublished trials. The date of the most recent search was 23 March 2012. Selection criteria Randomised controlled trials (RCTs) of injectable materials in patients with UVFP. The outcomes of interest were patient and clinician‐reported improvement, and adverse events. Data collection and analysis Two authors independently selected studies from the search results and extracted data. We used the Cochrane 'Risk of bias' tool to assess study quality. Main results We identified no RCTs which met the inclusion criteria for this review. We excluded 18 studies on methodological grounds: 16 non‐randomised studies; one RCT due to inadequate randomisation and inclusion of non‐UVFP patients; and one RCT which compared two different particle sizes of the same injectable material. Authors' conclusions There is currently insufficient high‐quality evidence for, or against, specific injectable materials for patients with UVFP. Future RCTs should aim to provide a direct comparison of the alternative materials currently available for injection medialisation. Plain language summary Alternative materials injected into the vocal fold (cord) for unilateral vocal fold paralysis Paralysis of one of the vocal folds (vocal cords) can have a significant impact upon a patient's quality of life. The affected patient may suffer with poor voice, breathlessness and problems with their swallowing. The treatment options include voice therapy, injection to the vocal cord or open surgery. The injection of a material into the affected vocal fold aims to improve voice, breathlessness and prevent episodes of aspiration (choking). There are a wide variety of injectable materials available and this review aimed to assess their effectiveness. Our systematic review of the relevant literature could not identify any randomised controlled trials of sufficient quality to include in this review. There is currently insufficient high‐quality evidence to support the effectiveness of any particular injectable material. Further, well‐designed, robust research is required in this area.",10.1002/14651858.cd009239.pub2,Cochrane
2012,"Lazaâr, N.","Lazaâr, N; Khalil, N; El Yousfi, M; Aqodad, N; Benajeh, DA; El Abkari, M; Ibrahimi, A; Mellouki, I; Naima, A; El Fakir, S; Nejjari, C",Acta Endoscopica,The management of ingested foreign bodies: report of 82 cases and review of the literature,"The ingestion of foreign bodies is a rather frequent occurrence in our context; ingestion may be accidental or deliberate. They can be dangerous because of their location or nature, making endoscopic extraction urgent. The aim of our study was to evaluate, using a retrospective study, the success rate of extraction of foreign bodies in our context as well as the means used. Over a ten-year period (January 2001 to January 2011), all patients admitted to the emergency services of UHC Hassan-II, Fez, for the ingestion of foreign bodies were recorded. We reviewed the methods used for extraction and the treatment success rate. During this period, 82 oesogastroduodenal endoscopies (OGDE) were performed for the extraction of foreign bodies. There was a male predominance (sex ratio: 1.5), with an average age of 33.5 years (6 to 83 years); all endoscopies were performed in an emergency. Voluntary ingestion was found in 24 cases while 58 cases were accidental. Among foreign bodies frequently encountered, there were needles in 17 cases, impaction of a piece of meat in 14 cases, ingestion of dentures in 11 cases, while other objects (coins, razor blades, nails, nail cutters) were less frequent. The foreign body was found in 32 cases at a gastric level, an oesophageal level for 31 patients, the duodenum for two patients and no foreign body was found for 14 patients. The extraction was done mainly by a hot wire loop and tripod forceps procedure; extraction was a success in 43 cases (52.4%), a foreign body was not found in 17 cases (20.7%), and the extraction failed in 13 cases (16%). No complication after extraction was noted in our context.",10.1007/s10190-012-0276-y,Web of Science
2012,"Lee, J.","Lee, Jun Hyung; Kim, Hyun Cheol; Yang, Dal Mo; Kim, Sang Won; Jin, Wook; Park, Seong Jin; Kim, Hyoung Jung",Clinical Imaging,What is the role of plain radiography in patients with foreign bodies in the gastrointestinal tract?,"Foreign bodies (FBs) in the gastrointestinal (GI) tract can show a wide range of clinical manifestations ranging from spontaneous evacuation to severe  complication. Plain radiography is a straightforward and important initial  imaging modality in cases of FB ingestion or insertion and is also helpful for  follow-up purposes. Careful evaluations of the plain radiographs can determine  the presence and nature of FBs, and help predict their precise locations and  facilitate risk assessment. In this review, a wide variety of FBs in the GI tract  are illustrated, and the role of plain radiography in patient management is  discussed.",10.1016/j.clinimag.2011.11.017,PubMed
2012,"Lee, M.","Lee, Mi Hyeon; Kim, Ki Yeob; Song, Jang Ho; Jung, Hyun Jun; Lim, Hyun Kyoung; Lee, Doo Ik; Cha, Young Deog","Pain Medicine (Malden, Mass.)",Minimal volume of local anesthetic required for an ultrasound-guided sgb,"BACKGROUND:  Compared with the blind technique, ultrasound-guided stellate ganglion block (SGB) reduces the amount of local anesthetic needed for a  successful block. The purpose of this study is to determine the minimal, optimal  volume of local anesthetic required for successful ultrasound-guided SGB and to  reduce its adverse effects. METHODS:  Thirty-five patients with postherpetic  neuralgia and complex regional pain syndrome of the upper extremity and the  facial area were selected. For ultrasound-guided SGB by subfacial method, each  patient was injected with 0.5% mepivacaine mixed with contrast media in 2 mL,  3 mL, and 4 mL doses at 2-week intervals. After the procedure, the spread of  contrast media in the spine was checked by fluoroscopy. Ptosis and conjunctival  flushing were rated and recorded. Adverse effects, such as hoarseness, foreign  body sensation, swallowing difficulty, and upper arm weakness, were also  recorded. RESULTS:  Out of the 35 initial patients, the results for 33 patients  who received all three SGBs were included in this study. The contrast media  spread to 4.80 ± 0.82, 4.94 ± 0.86, and 5.09 ± 0.97 total spinal segments in the  2 mL, 3 mL, and 4 mL groups, respectively. The cephalad spread of contrast media  was 2.16 ± 0.74, 2.23 ± 0.85, and 2.30 ± 0.78 spinal segments for the 2 mL, 3 mL,  and 4 mL groups, respectively, and the caudad spread of contrast media was  2.64 ± 0.51, 2.70 ± 0.61, and 2.89 ± 0.64 segments in the 2 mL, 3 mL, and 4 mL  groups, respectively. There were no significant statistical differences in any  segments for the three groups (P > 0.05). Review of the fluoroscopic images  showed spread of the contrast media below the C7-T1 junction in all three groups.  Ptosis developed in all three groups after the procedure. CONCLUSION:  In  conclusion, when performing an ultrasound-guided SGB, 2 mL dosage was sufficient  for a successful block as the previous, conventional volume. Therefore, when  performing an ultrasound-guided SGB, we recommend the 2 mL dosage of local  anesthetics for a successful block.",10.1111/j.1526-4637.2012.01495.x,PubMed
2012,"Naji, H.","Naji, Hussein; Isacson, Daniel; Svensson, Jan F.; Wester, Tomas",Pediatric Surgery International,Bowel injuries caused by ingestion of multiple magnets in children: a growing hazard,"PURPOSE: There are no definite guidelines on the management of ingested magnetic objects in children. The aim of this study was to present our experience and to  highlight the importance of strict follow-up. METHODS: Within 6 months period,  four children presented to the emergency department after ingestion of multiple  magnets. We reviewed retrospectively the patients' documents, radiological  reports, operative findings and outcome. We also performed a literature search  for all reports of multiple magnets ingestion on MEDLINE and EMBASE. RESULTS:  Daily abdominal radiographs to monitor migration of magnetic objects together  with clinical examination revealed early detection of perforations in two  patients. Explorative laparoscopy and suturing of perforations resulted in a  rapid recovery and good cosmetic appearance. Literature search resulted in 44  published articles with a total of 52 cases of multiple magnet ingestion in  children. CONCLUSIONS: This report stresses the need for prompt follow-up and  early detection of complications in order to operate those patients without  delay. Laparoscopy is the method of choice in exploring the abdomen when  perforation is suspected.",10.1007/s00383-011-3026-x,PubMed
2012,"Park, S.","Park, Sin Youl; Woo, Jungmin; Park, Jeong Bae; Rim, Hyo-Deog","Clinical Toxicology (Philadelphia, Pa.)",Intentional ingestion of cyanoacrylate,,10.3109/15563650.2012.663919,PubMed
2012,"Saito, J.","Saito, Jacqueline M.",Current Opinion In Pediatrics,Beyond appendicitis: evaluation and surgical treatment of pediatric acute abdominal pain,"PURPOSE OF REVIEW: Evaluation of the child with acute abdominal pain is challenging because of the wide range of potential diagnoses. Presenting  symptoms, clinical examination, and laboratory findings can guide selection of  diagnostic imaging. RECENT FINDINGS: Intussusception and intestinal malrotation  are potentially serious causes of intestinal obstruction, which are best  evaluated by ultrasound and upper gastrointestinal series, respectively.  Ultrasound has diagnostic importance in the evaluation of multiple diseases,  including appendicitis, by potentially decreasing the need for inpatient  observation, cholecystitis and complications of gall stones such as pancreatitis,  and ovarian diseases. Pelvic inflammatory disease should be considered in  evaluation of a teenage girl with lower abdominal pain. Less common causes of  acute abdominal pain include ingested foreign bodies, infected congenital  anomalies, and perforated peptic ulcer disease. SUMMARY: Presenting symptoms and  physical examination findings can narrow the number of potential diagnoses in  pediatric acute abdominal pain and thereby guide diagnostic imaging selection.  Abdominal/pelvic ultrasound, rather than computed tomography scan, is the  preferred modality for initial evaluation of many potential causes of pediatric  abdominal pain.",10.1097/mop.0b013e328352704e,PubMed
2012,"Tammana, V.","Tammana, V. S.; Valluru, N.; Sanderson, A.",Case Reports In Gastroenterology,All the wrong places: an unusual case of foreign body ingestion and inhalation,"Intentional ingestion of foreign bodies is common in psychiatric patients and prison inmates. Timing of endoscopy for ingested foreign bodies varies and  depends on the type and location of the foreign body in the gastrointestinal  tract. We present the case of a 26-year-old man who was brought from a  correctional facility after confessing to have swallowed a few shower curtain  hooks. Abdominal X-ray done in the emergency room revealed multiple foreign  bodies in the stomach. An upper endoscopy was done in the emergency room with the  use of an overtube. The first metal piece was caught by a snare and removed with  the endoscope. All other foreign bodies which were present on the abdominal X-ray  could not be visualized initially as there was retained food in the stomach.  After multiple attempts, four other foreign bodies were found and each one was  caught by the forceps and then the scope was removed with the forceps holding the  foreign body. There was an additional foreign body in the right mainstem  bronchus. The patient had coughed up the foreign body and swallowed it into the  gastrointestinal tract. A computed tomography scan of chest and abdomen was done  for evaluation, which showed the foreign body in the cecum. To our knowledge,  this is the first case report of a patient intentionally transferring a foreign  body from one organ system to another. Colonoscopy was done and the foreign body  was removed rectally with a snare without any complications.",10.1159/000346287,PubMed
2012,"Trgo, G.","Trgo, Gorana; Tonkic, Ante; Simunic, Miroslav; Puljiz, Zeljko",Case Reports In Gastroenterology,Successful endoscopic removal of a lighter swallowed 17 months before,"The majority of ingested foreign bodies will pass safely through the gastrointestinal tract, but long and rigid foreign bodies are associated with an  increased risk of gastrointestinal impaction, perforation and bleeding. However,  large foreign bodies which have been swallowed can remain trapped in the stomach  over a longer period of time without any significant symptoms. This case report  describes the case of a 36-year-old man addicted to heroin who purposefully  swallowed a lighter (double wrapped in cellophane) and presented with hematemesis  and melena 17 months after the ingestion of the foreign body. The lighter was  successfully removed via flexible endoscopy using a polypectomy snare. Swallowed  long and rigid foreign bodies trapped in the stomach over a long period of time  always represent a special clinical and endoscopic challenge. In cases where  endoscopic removal fails, a laparoscopic surgical approach may be an alternative.",10.1159/000338839,PubMed
2012,"Unruh, B.",Unruh B.T.; Nejad S.H.; Stern T.W.; Stern T.A.,Primary Care Companion To The Journal Of Clinical Psychiatry,Insertion of foreign bodies polyembolokoilamania: underpinnings and management strategies,[No abstract available],10.4088/pcc.11f01192,SCOPUS
2012,Van A.,"Van As, AB; Yusof, AM; Millar, AJW",International Journal Of Pediatric Otorhinolaryngology,Food foreign body injuries,"Rationale and aim: The purpose of this study is to acquire a better understanding of Food Foreign Bodies (FFB) injuries in children characterizing the risk of complications and prolonged hospitalization due to food items according to patients' characteristics, circumstances of the accident, Foreign Body (FB) features and FB location, as emerging from the SUSY Safe Web-Registry. Methods: The present study uses data provided by the SUSY Safe Project, a DG SANCO co-funded project started in February 2005, which was aimed at establishing an international registry of cases of Foreign Bodies (FB) injuries in children aged 0-14 years. The analysis was carried out on injuries due to a food item. FB location was reported according to ICD9-CM code: ears (ICD931). nose (ICD932), pharynx and larynx (ICD933) trachea, bronchi and lungs (ICD934), mouth, esophagus and stomach (ICD935). Age and gender injury distributions were assessed. Data regarding adult supervision and activity before injury were also evaluated. FBs which most frequently cause complications were identified. The association between children age, adult presence, object characteristics and hospitalization/complications was computed using unweighted odds ratios and the related 95% confidence intervals. Results: 16,878 FB injuries occurred in children aged 0-14 years have been recorded in the SUSY Safe databases. FB type was specified in 10,564 cases; among them 2744(26%) were due to a food item. FB site was recorded in 1344 cases: FB was located in the ears in 99 patients, while 1140 occurred in the upper and lower respiratory tract; finally, 105 food items were removed from mouth, esophagus and stomach. Complications occurred in 176 cases and the most documented was pulmonary or bronchial infections (23%) followed emphysema or atelectasis and by and asthma (7%). Bones were the commonest retrieved FFB encountered in this study, while nuts seem to be the FFB most frequently associated to complications. Conclusions: On the basis of this study we make the strong recommendation that parents should be adequately educated and provide age-appropriate food to their children and be present in order to supervise them during eating especially during a critical period ranging from 2 to 3 years of age. (C) 2012 Elsevier Ireland Ltd. All rights reserved.",10.1016/j.ijporl.2012.02.005,Web of Science
2013,"Dalal, P.","Dalal, Poorvi P.; Otey, Andrew J.; McGonagle, Emily A.; Whitmill, Melissa L.; Levine, Edward J.; McKimmie, Ryan L.; Thomas, Alicia C.; Cook, Charles H.; Papadimos, Thomas J.; Reilley, Thomas E.; Bergese, Sergio D.; Steinberg, Steven M.; Stawicki, Stanislaw P. A.; Evans, David C.",Journal Of Surgical Research,Intentional foreign object ingestions: need for endoscopy and surgery,"BACKGROUND: Intentional ingestion of foreign objects (IIFO) is common in the incarcerated population. This study was undertaken in order to better define  clinical patterns of IIFO among prisoners. We sought to determine factors  associated with the need for endoscopic and surgical therapy for IIFO. METHODS:  After obtaining permission to conduct IIFO research in incarcerated populations,  study patients were identified by ICD-9 codes. Patient charts were reviewed for  demographics; past medical history; IIFO characteristics; and diagnostic,  endoscopic, and surgical findings. Univariate and multivariate analyses were  performed using statistical software. RESULTS: Thirty patients with 141 episodes  of IIFO were identified. The mean number of ingested items per episode was 4.60.  Endoscopy was performed in 97 of 141 IIFO instances, with failure to retrieve the  ingested object in 21 of 97 cases (22%). Eleven instances (7.8%) required  surgical intervention. On multivariate analyses, hospital admission was  associated with elevated white blood cell count (odds ratio [OR] 1.4, P < 0.05)  and number of items ingested (OR 1.3, P < 0.05). The need for endoscopy was  independently associated with ingestion of multiple objects (OR 3.3, P < 0.05)  and elevated white blood cell count (OR 1.3, P < 0.05). Surgical therapy was  significantly associated with elevated white blood cell count (OR 1.6, P < 0.01)  and with increasing number of ingested items (OR 1.07 per item, P < 0.05).  Endoscopy is associated with significantly lower odds of surgery (OR 0.13,  P < 0.01). CONCLUSIONS: Intentional ingestion of foreign objects continues to  pose a significant human and economic burden. The need for admission or therapy  is frequently associated with leukocytosis. Further investigation is warranted  into resource-appropriate triage of patients who present with IIFO.",10.1016/j.jss.2013.04.078,PubMed
2013,"Fitzgerald, K.","Fitzgerald, Kevin T.; Bronstein, Alvin C.",Topics In Companion Animal Medicine,Polyurethane adhesive ingestion,"Polyurethane adhesives are found in a large number of household products in the United States and are used for a variety of purposes. Several brands of these  expanding wood glues (those containing diphenylmethane diisocyanate [MDI]) have  the potential to form gastrointestinal (GI) foreign bodies if ingested. The  ingested adhesive forms an expanding ball of glue in the esophagus and gastric  lumen. This expansion is caused by a polymerization reaction using the heat,  water, and gastric acids of the stomach. A firm mass is created that can be 4-8  times its original volume. As little as 2 oz of glue have been reported to  develop gastric foreign bodies. The obstructive mass is reported to form within  minutes of ingestion of the adhesive. The foreign body can lead to esophageal  impaction and obstruction, airway obstruction, gastric outflow obstruction,  mucosal hemorrhage, ulceration, laceration, perforation of the esophageal and  gastric linings, and death. Clinical signs following ingestion include anorexia,  lethargy, vomiting, tachypnea, and abdominal distention and pain, and typically  develop within 12 hours. Clinical signs may depend upon the size of the mass. If  left untreated, perforation and rupture of the esophagus or stomach can occur.  The glue mass does not stick to the GI mucosa and is not always detectable on  abdominal palpation. Radiographs are recommended to confirm the presence of the  ""glue-ball"" foreign body, and radiographic evidence of the obstruction may be  seen as early as 4-6 hours following ingestion. Emesis is contraindicated owing  to the risk of aspiration of the glue into the respiratory tree or the subsequent  lodging of the expanding glue mass in the esophagus. Likewise, efforts to dilute  the glue and prevent the formation of the foreign body through administration of  liquids, activated charcoal, or bulk-forming products to push the foreign body  through the GI tract have proven ineffective. Even endoscopy performed to remove  the foreign body has been shown to be unreliable. The safest, most effective, and  successful therapy is surgical intervention to remove the GI foreign body. If  performed early enough, complete recovery of the animal can be expected.  Differential diagnoses for polyurethane adhesive ingestion include any potential  cause of GI obstruction. The public is largely unaware of the hazards that  ingestion of this product may produce. Public education efforts are needed to  inform pet owners about the hazards of these glues and the overall importance of  providing our companion animals with safe, poison-free environments.",10.1053/j.tcam.2013.03.007,PubMed
2013,"Ma, J.","Ma, Jeehyun; Kang, Doo Kyoung; Bae, Jae-Ik; Park, Kyung Joo; Sun, Joo Sung",Ajr. American Journal Of Roentgenology,Value of mdct in diagnosis and management of esophageal sharp or pointed foreign bodies according to level of esophagus,"OBJECTIVE: The purpose of this study was to validate the usefulness of MDCT for diagnosis of a sharp or pointed esophageal foreign body according to esophageal  level. MATERIALS AND METHODS: Forty-two patients with a history of sharp or  pointed foreign body ingestion were reviewed retrospectively. Two observers  interpreted the CT and the conventional radiography datasets separately. If a  foreign body was directly identified, it was regarded as a positive finding. Even  if no high-density foreign body was found, detection of a secondary finding was  considered to be a positive finding. Diagnostic performance of MDCT and  conventional radiography were compared according to esophageal level. Final  diagnosis was made by esophagoscopy or surgery in addition to the  clinicoradiologic result. RESULTS: MDCT was statistically superior to  conventional radiography for diagnosis of a thoracic esophageal foreign body for  both observers (p < 0.001 for each). No significant difference in sensitivity  between CT and conventional radiography for diagnosis of cervical esophageal  foreign body was noted regardless of observer. Both observers could identify all  complicated conditions with MDCT regardless of esophageal level. However, in two  of three cases of complicated thoracic esophageal foreign bodies, neither  observer could detect foreign bodies on conventional radiography; furthermore,  the observers could not identify pneumomediastinum. CONCLUSION: In cases of sharp  or pointed foreign body ingestion, if the result of an initial inspection of oro-  and hypopharynx reveals negative findings, the first imaging modality should be  MDCT for better diagnosis and management.",10.2214/ajr.12.8517,PubMed
2013,"Mairose, U.","Mairose, Ulrich",Deutsches Arzteblatt International,Intentional ingestion,,10.3238/arztebl.2013.0297c,PubMed
2013,"Nasser, M.","Nasser, M; Pandis, N; Fleming, PS; Fedorowicz, Z; Ellis, E; Ali, K",Cochrane Database Of Systematic Reviews,Interventions for the management of mandibular fractures,"Abstract - Background Fractures of the mandible (lower jaw) are a common occurrence and usually related to interpersonal violence or road traffic accidents. Mandibular fractures may be treated using open (surgical) and closed (non‐surgical) techniques. Fracture sites are immobilized with intermaxillary fixation (IMF) or other external or internal devices (i.e. plates and screws) to allow bone healing. Various techniques have been used, however uncertainty exists with respect to the specific indications for each approach. Objectives The objective of this review is to provide reliable evidence of the effects of any interventions either open (surgical) or closed (non‐surgical) that can be used in the management of mandibular fractures, excluding the condyles, in adult patients. Search methods We searched the following electronic databases: the Cochrane Oral Health Group's Trials Register (to 28 February 2013), the Cochrane Central Register of Controlled Trials (CENTRAL) ( The Cochrane Library  2013, Issue 1), MEDLINE via OVID (1950 to 28 February 2013), EMBASE via OVID (1980 to 28 February 2013),  meta Register of Controlled Trials (to 7 April 2013), ClinicalTrials.gov (to 7 April 2013) and the WHO International Clinical Trials Registry Platform (to 7 April 2013). The reference lists of all trials identified were checked for further studies. There were no restrictions regarding language or date of publication. Selection criteria Randomised controlled trials evaluating the management of mandibular fractures without condylar involvement. Any studies that compared different treatment approaches were included. Data collection and analysis At least two review authors independently assessed trial quality and extracted data. Results were to be expressed as random‐effects models using mean differences for continuous outcomes and risk ratios for dichotomous outcomes with 95% confidence intervals. Heterogeneity was to be investigated to include both clinical and methodological factors. Main results Twelve studies, assessed as high (six) and unclear (six) risk of bias, comprising 689 participants (830 fractures), were included. Interventions examined different plate materials and morphology; use of one or two lag screws; microplate versus miniplate; early and delayed mobilization; eyelet wires versus Rapid IMF™ and the management of angle fractures with intraoral access alone or combined with a transbuccal approach. Patient‐oriented outcomes were largely ignored and post‐operative pain scores were inadequately reported. Unfortunately, only one or two trials with small sample sizes were conducted for each comparison and outcome. Our results and conclusions should therefore be interpreted with caution. We were able to pool the results for two comparisons assessing one outcome. Pooled data from two studies comparing two miniplates versus one miniplate revealed no significant difference in the risk of post‐operative infection of surgical site (risk ratio (RR) 1.32, 95% CI 0.41 to 4.22, P = 0.64, I 2  = 0%). Similarly, no difference in post‐operative infection between the use of two 3‐dimensional (3D) and standard (2D) miniplates was determined (RR 1.26, 95% CI 0.19 to 8.13, P = 0.81, I 2  = 27%). The included studies involved a small number of participants with a low number of events. Authors' conclusions This review illustrates that there is currently inadequate evidence to support the effectiveness of a single approach in the management of mandibular fractures without condylar involvement. The lack of high quality evidence may be explained by clinical diversity, variability in assessment tools used and difficulty in grading outcomes with existing measurement tools. Until high level evidence is available, treatment decisions should continue to be based on the clinician's prior experience and the individual circumstances. Plain language summary Treatments for fractures of the lower jaw Review question The lower jaw (also known as the mandible) is an important bone that shapes the face, holds the lower teeth in place and is used to move the mouth, for talking and chewing food. Fractures are most often found in the part of the lower jaw that supports teeth (known as the body), the part where the jaw curves upwards into the neck (the angle), or at the knobbly‐shaped joint found at the very top of the jaw bone (the condyle). Available treatments align and stabilize the fracture, allowing the bone to heal in the proper position. Treatments may or may not involve surgery. This review, produced by the Cochrane Oral Health Group, examines different methods for treating fractures of the body and angle of the mandible in existing research and studies. Background People of all ages can fracture their lower jaw, but fractures mainly occur as a result of violence (for example, being hit or punched in the jaw) or by being involved in an accident on the road (for example, car crashes or bicycle accidents). These fractures can be stabilized by physically binding the jaw shut with a system of bars, wires or elastic bands (intermaxillary fixation), or by using tiny screws or plates attached directly to the fractured sections of the lower jaw bone whilst still allowing the mouth to open (rigid fixation). Study characteristics The evidence on which this review is based is up to date as of 28 February 2013. Twelve studies with a combined total of 689 participants were included in this review. Participants ranged in age from 16 to 68 years and most participants (90%) were male. All of the studies compared different types of surgical treatments, and each study evaluated a different aspect of surgical treatment such as different types of plates, screws, or wires or how long the jaw was immobilized after surgery. Key results There were concerns about the design and quality of all the studies. All the studies evaluated different aspects of surgical treatment. None of the studies evaluated non‐surgical treatments such as intermaxillary fixation and no study compared surgical treatment with non‐surgical treatment. As a result there is no clear evidence to indicate which approach is the best to manage these fractures. Quality of the evidence The quality of the evidence found is poor. Recommendations are made for further well‐conducted research studies in this area to be undertaken.",10.1002/14651858.cd006087.pub3,Cochrane
2013,"Navinés, R.","Navinés, Ricard; Gutierrez, Fernando; Arranz, Belen; Moreno-España, Jose; Luisa Ímaz, María; Soler, Victoria; Vázquez, Mireia; Carlos Pascual, Juan; Martín-Santos, Rocío; Kahn, David A.",Journal Of Psychiatric Practice,Long-term and bizarre self-injurious behavior: an approach to underlying psychological mechanisms and management,"Repeated self-harm usually presents with associated psychopathology, mostly in the form of obsessive-compulsive disorder, malingering, or personality disorders,  and may persist for many years. This case presentation focuses on self-harm  involving the deliberate ingestion of foreign bodies. This behavior remains  poorly understood, and the relevant literature focuses almost entirely on  gastroenterological and surgical management, with little or no discussion of  underlying psychological mechanisms, psychopathology, or psychotherapeutic  intervention. The goal of this article is to begin to fill that gap by presenting  the case of a young woman who was diagnosed with borderline personality disorder  and followed for 20 years, who repeatedly swallowed objects as a form of  self-harming behavior. The nosological status and possible functions of this  behavior are discussed, as are the difficulties of caring for patients with such  long-standing, repeated selfinjury. This case illustrates how the boundaries  between different self-injurious behaviors are blurred and also how different  self-injurious behaviors are likely to share common patterns, functional  integrity, and meanings. It should also serve to remind us how far we have to go  in terms of understanding, classifying, and successfully treating certain  patients who present with longterm and bizarre self-injurious behavior.",10.1097/01.pra.0000426329.34149.b6,PubMed
