Study_ID,Publication Year,Author,Title,Publication Title,Database,Exclude,Reason ID,Paediatric,Intention Reported,Deliberate intention,Unclear,Accessed,Comments
624,2013,"Visagan, R.; Grossman, R.; Dimitriadis, P. A.; Desai, A.",‘Crohn'z meanz Heinz’: foreign body inflammatory mass mimicking Crohn’s disease,Case Reports,Bibliography Search,,,,,,,2025-04-14 14:15:12,
625,2014,"Albeldawi, Mazen; Birgisson, Sigurbjorn",Conservative management of razor blade ingestion,Gastroenterology Report,Bibliography Search,,,,,,,2025-04-14 14:35:49,
626,2014,"Bhasin, Sanjay K.; Kachroo, S. L.; Kumar, Vijay; Kumar, Raj; Chandail, Viajaynt Singh",7” long knife for 7 years in the duodenum: a rare case report and review of literature,International Surgery Journal,Bibliography Search,,,,,,,2025-04-14 16:04:10,
627,2014,"Brown, Julie C.; Otjen, Jeffrey P.; Drugas, George T.",Pediatric magnet ingestions: the dark side of the force,American Journal of Surgery,Bibliography Search,,,,,,,,
628,2014,"Dyke, Julia; Hendry, Kyle; Hill, Jason; Schultz, Michael; Mason, Evan; Glue, Paul",Management of a Cluster of Foreign Body Ingestion Incidents in Patients with Borderline Personality Disorder,Open Journal of Psychiatry,Bibliography Search,,,,,,,2025-04-14 13:14:55,
629,2014,"Emara, Mohamed H.; Darwiesh, Ehab M.; Refaey, Mohamed M.; Galal, Sherif M.",Endoscopic removal of foreign bodies from the upper gastrointestinal tract: 5-year experience,Clinical and Experimental Gastroenterology,Bibliography Search,,,,,,,,
630,2014,"Morales, Yolanda Madrid; Guarnero, Peter Andrew",Non-suicidal self-injury among adult males in a correctional setting,Issues in Mental Health Nursing,Bibliography Search,,,,,,,,
631,2014,"Narjis, Youssef","Surgical digestive emergencies in prisoners, about a prospective study","Journal of Emergencies, Trauma, and Shock",Bibliography Search,,,,,,,,
632,2014,"Petrea, S.; Brezean, I.",Self-ingested intraduodenal foreign bodies--expectancy or surgical sanction?,Journal of Medicine and Life,Bibliography Search,,,,,,,,
633,2014,"Ribas, Yolanda; Ruiz-Luna, David; Garrido, Marina; Bargalló, Josep; Campillo, Francesc",Ingested foreign bodies: do we need a specific approach when treating inmates?,The American Surgeon,Bibliography Search,,,,,,,,
635,2014,"Sugawa, Choichi; Ono, Hiromi; Taleb, Mona; Lucas, Charles E.",Endoscopic management of foreign bodies in the upper gastrointestinal tract: A review,World Journal of Gastrointestinal Endoscopy,Bibliography Search,,,,,,,,
637,2015,"Kar, Sujita Kumar; Kamboj, Abhilove; Kumar, Rajesh",Pica and psychosis - clinical attributes and correlations: a case report,Journal of Family Medicine and Primary Care,Bibliography Search,,,,,,,,
638,2015,"Kim, Darae; Yang, Pil-Sung; Choi, Jung-Ho; Seo, Jiwon; Chun, Kyeong-Hyeon; Lee, Sang-Eun; Hong, Geu-Ru; Joo, Hyun-Chel; Choi, Donghoon",Metallic foreign body in heart mimicking moderator band,Yonsei Medical Journal,Bibliography Search,,,,,,,,
639,2015,"Kim, Joo Heung; Lee, Dae Sup; Kim, Kwang Min",Acute appendicitis caused by foreign body ingestion,Annals of Surgical Treatment and Research,Bibliography Search,,,,,,,2025-04-14 13:00:01,
640,2015,"Kobiela, Jarek; Mittlener, Stanislaw; Gorycki, Tomasz; Lachinski, Andrzej; Adrych, Krystian",Vast collection of foreign bodies in the stomach presenting as acute gastrointestinal bleeding in a patient with schizophrenia,Endoscopy,Bibliography Search,,,,,,,2025-04-14 13:30:34,
641,2015,"Ugenti, I.; Digennaro, R.; Martines, G.; Caputi Iambrenghi, O.",Double esophageal perforation by ingested foreign body: Endoscopic and surgical approach. A case report.,International Journal of Surgery Case Reports,Bibliography Search,,,,,,,2025-04-14 16:12:11,
642,2015,"Upadhyay, Surjya Prasad; Zahir, Mohammad; Muttari, Hasan Al; Mallick, Piyush N.",A rare case of unusual migrated foreign bodies in kidney and their successful extraction using retrograde percutaneous nephrostomy,Qatar Medical Journal,Bibliography Search,,,,,,,2025-03-30 10:11:25,
643,2016,"Atayan, Yahya; Cagin, Yasir Furkan; Erdogan, Mehmet Ali; Bilgic, Yılmaz; Bestas, Remzi; Harputluoglu, Murat; Seckin, Yüksel",Lighter Ingestion as an Uncommon Cause of Severe Vomiting in a Schizophrenia Patient,Case Reports in Gastrointestinal Medicine,Bibliography Search,,,,,,,,
644,2016,"August, Auriel; Mueller, Claudia",Early recognition is important when multiple magnets masquerade as a single chain after foreign body ingestion,Journal of Pediatric Surgery Case Reports,Bibliography Search,,,,,,,2025-04-14 14:44:24,
645,2016,"Bekkerman, Mikhael; Sachdev, Amit H.; Andrade, Javier; Twersky, Yitzhak; Iqbal, Shahzad",Endoscopic Management of Foreign Bodies in the Gastrointestinal Tract: A Review of the Literature,Gastroenterology Research and Practice,Bibliography Search,,,,,,,,
646,2016,"Elghali, Mohamed amine; Ghrissi, Rafik; Fadhl, Houssem; Mahjoub, Mohamed; Jarrar, Mohamed Salah; Jedidi, Maher; Letaief, Rached; Hamila, Fehmi",The Management of Voluntary Ingestion of Razor Blades by Inmates,International Surgery,Bibliography Search,,,,,,,2025-04-14 14:41:57,
647,2016,"Geraci, Girolamo; Sciume', Carmelo; Di Carlo, Giovanni; Picciurro, Antonino; Modica, Giuseppe",Retrospective analysis of management of ingested foreign bodies and food impactions in emergency endoscopic setting in adults,BMC emergency medicine,Bibliography Search,,,,,,,,
648,2016,"Hershman, Melissa",Pointing towards colonoscopy: sharp foreign body removal via colonoscopy,Annals of Gastroenterology,Bibliography Search,,,,,,,2025-04-14 13:59:54,
649,2016,"Kiran, S.; Gupta, Deepak; Sadalage, Abhishek; Gupte, Amit; Jain, Abhinav; Shukla, Akash",Swallowed toothbrush: Case series,Journal of Digestive Endoscopy,Bibliography Search,,,,,,,2025-04-14 13:47:52,
650,2016,"Leinwand, Kristina; Brumbaugh, David E.; Kramer, Robert E.",Button Battery Ingestion in Children: A Paradigm for Management of Severe Pediatric Foreign Body Ingestions,Gastrointestinal Endoscopy Clinics of North America,Bibliography Search,,,,,,,2025-04-14 10:53:39,
651,2016,"Mazek, Haitham; Sherif, Khaled; Islam, Sameer; Nugent, Kenneth",An Unusual Number of Self-ingested Foreign Bodies,The American Journal of the Medical Sciences,Bibliography Search,,,,,,,,
652,2016,"Obinwa, Obinna; Cooper, David; O’Riordan, James M.",An ingested mobile phone in the stomach may not be amenable to safe endoscopic removal using current therapeutic devices: A case report,International Journal of Surgery Case Reports,Bibliography Search,,,,,,,2025-04-14 13:57:54,
653,2016,"Trachsel, Manuel; Irwin, Scott A.; Biller-Andorno, Nikola; Hoff, Paul; Riese, Florian","Palliative psychiatry for severe persistent mental illness as a new approach to psychiatry? Definition, scope, benefits, and risks",BMC psychiatry,Bibliography Search,,,,,,,,
654,2017,"Ali, Syed Muhammad",Duodenal Perforation by Swallowed Toothbrush: Case Report and Review of Literature,Open Access Journal of Surgery,Bibliography Search,,,,,,,2025-04-14 13:49:08,
656,2017,"Sarici, Inanc Samil; Topuz, Omer; Sevim, Yusuf; Sarigoz, Talha; Ertan, Tamer; Karabıyık, Ozgur; Koc, Ali",Endoscopic Management of Colonic Perforation due to Ingestion of a Wooden Toothpick,The American Journal of Case Reports,Bibliography Search,,,,,,,,
657,2017,"Zamary, Kirellos R.; Davis, James W.; Ament, Emily E.; Dirks, Rachel C.; Garry, John E.",This too shall pass: A study of ingested sharp foreign bodies,Journal of Trauma and Acute Care Surgery,Bibliography Search,,,,,,,2025-04-14 14:01:12,
658,2018,"Camacho Dorado, Cristina; Sánchez Gallego, Alba; Miota de Llama, Jose Ignacio; González Masiá, Jose Antonio",Metallic bezoar after suicide attempt,Cirugia Espanola,Bibliography Search,,,,,,,,
660,2018,"Dal, Fatih; Hatipoğlu, Engin; Teksöz, Serkan; Ertem, Metin",Foreign body: A sewing needle migrating from the gastrointestinal tract to pancreas,Turkish Journal of Surgery,Bibliography Search,,,,,,,,
661,2018,"Emamhadi, Mohammad Ali; Najari, Fares; Hedayatshode, Mohammad Javad; Sharif, Shokoufeh",Sudden Death Following Oral Intake of Metal Objects (Acuphagia): a Case Report,"Emergency (Tehran, Iran)",Bibliography Search,,,,,,,,
662,2018,"Libânio, Diogo; Garrido, Mónica; Jácome, Filipa; Dinis-Ribeiro, Mário; Pedroto, Isabel; Marcos-Pinto, Ricardo",Foreign body ingestion and food impaction in adults: better to scope than to wait,United European Gastroenterology Journal,Bibliography Search,,,,,,,,
663,2018,"Montacer, Khaoula El; Haddad, Fouad; Mansouri, Souhaila El; Tahiri, Mohammed; Hliwa, Wafaa; Bellabah, Ahmed; Badre, Wafaa",[An ileo-caecal foreign body mimicking a Crohn disease: case report],The Pan African Medical Journal,Bibliography Search,,,,,,,,
664,2018,"Yuan, Fangfang; Tang, Xiaowei; Gong, Wei; Su, Lei; Zhang, Yali",Endoscopic management of foreign bodies in the upper gastrointestinal tract: An analysis of 846 cases in China,Experimental and Therapeutic Medicine,Bibliography Search,,,,,,,,
665,2019,"Al-Musawi, Mohammed; Rubay, David; Ohanisian, Levonti; Sidley, Angel; Abed, Ali N.",An Unusual Presentation of a Cardiac Foreign Body in a Pediatric Patient,Cureus,Bibliography Search,,,,,,,,
667,2019,,Paper or Plastic? A Foreign Body Ingestion Leading to Small Bowel Obstruction. A Case Report,ARC Journal of Clinical Case Reports,Bibliography Search,,,,,,,2025-04-14 12:42:09,
669,2020,"Lee, Jeffrey; Thomas, Jessina; Rowland, Patrick; Jump, Candi",Ingestion of an Entire Vaping Device,Journal of Pediatric Gastroenterology and Nutrition,Bibliography Search,,,,,,,2025-04-14 13:43:46,
670,2020,"Limpias Kamiya, Kenji Jl; Hosoe, Naoki; Takabayashi, Kaoru; Hayashi, Yukie; Sun, Xi; Miyanaga, Ryoichi; Fukuhara, Kayoko; Fukuhara, Seiichiro; Naganuma, Makoto; Nakayama, Atsushi; Kato, Motohiko; Maehata, Tadateru; Nakamura, Rieko; Ueno, Koichi; Sasaki, Junichi; Kitagawa, Yuko; Yahagi, Naohisa; Ogata, Haruhiko; Kanai, Takanori",Endoscopic removal of foreign bodies: A retrospective study in Japan,World Journal of Gastrointestinal Endoscopy,Bibliography Search,,,,,,,,
672,2020,"Pawar, Ankush; Dalal, Ashok; Dahale, Amol; Sachdeva, Sanjeev; Puri, Amarender Singh",Mobile Phone in Stomach—Is Endoscopic Trial Worthwhile?: A Case Report,Journal of Digestive Endoscopy,Bibliography Search,,,,,,,2025-04-14 13:57:10,
673,2020,"Skok, Pavel; Skok, Kristijan","Urgent endoscopy in patients with ""true foreign bodies"" in the upper gastrointestinal tract - a retrospective study of the period 1994-2018",Zeitschrift Fur Gastroenterologie,Bibliography Search,,,,,,,,
674,2020,"Tsuruya, Kota; Chino, Osamu; Tanaka, Yoichi; Shimma, Yoshimasa; Tsuda, Shingo; Kikuchi, Masahiro; Shiozawa, Hirokazu; Aoki, Jun; Nakamura, Tomoki; Hanashi, Tomoko; Suzuki, Takayoshi; Matsushima, Masashi",Successful combination of endoscopic and laparoscopic removal of multiple ingested needles: A case report,Medicine,Bibliography Search,,,,,,,,
675,2021,"AlMuhsin, Ahmed M.; Alsalman, Fatima; Bubshait, Ahmad; Hajar, Rami O. Abu; AlMuhsin, Ahmed M.; Alsalman, Fatima; Bubshait, Ahmad; Hajar, Rami O. Abu",Surgical Management of Massive Metal Bezoar,Cureus,Bibliography Search,,,,,,,2025-03-30 10:19:11,
676,2021,"Kappagantu, Vignan; Mishra, Prakash Ranjan; Ranjan, Anupam Kumar; Aggarwal, Praveen; Agarwal, Ashish; G., Bharath",Mobile phone ingestion requiring endoscopic retrieval,The American Journal of Emergency Medicine,Bibliography Search,,,,,,,2025-04-14 13:57:40,
678,2021,"Wang, Xin; Su, Shuai; Chen, Yiming; Wang, Zelan; Li, Ying; Hou, Junjie; Zhong, Weilong; Wang, Yuming; Wang, Bangmao","The removal of foreign body ingestion in the upper gastrointestinal tract: a retrospective study of 1,182 adult cases",Annals of Translational Medicine,Bibliography Search,,,,,,,2025-03-30 10:32:01,
679,2022,"Liu, Qing; Liu, Fei; Xie, Huahong; Dong, Jiaqiang; Chen, Hui; Yao, Liping",Emergency Removal of Ingested Foreign Bodies in 586 Adults at a Single Hospital in China According to the European Society of Gastrointestinal Endoscopy (ESGE) Recommendations: A 10-Year Retrospective Study,Medical Science Monitor: International Medical Journal of Experimental and Clinical Research,Bibliography Search,,,,,,,,
680,2022,"Mesfin, Telila; Tekalegn, Yohannes; Aman, Mudesir; Geta, Girma; Ketema, Adugna; Defere, Fekata; Girma, Dejene; Tsegaye, Mesfin; Mengistu, Takele; Seyoum, Kenbon",Ingestion of Metallic Materials Found in the Stomach and First Part of the Duodenum of a Schizophrenic Man: Case Report,International Medical Case Reports Journal,Bibliography Search,,,,,,,,
681,2022,"Mesfin, Yikunoamlak",The Will to Live and Reverence for Life: A Philosophical Base for Biocentrism,International Journal of Applied Philosophy,Bibliography Search,,,,,,,2025-04-14 12:38:25,
682,2022,"Sagvand, Babak T.; Najafali, Daniel; Yardi, Isha; Sahadzic, Iana; Afridi, Leenah; Kohler, Alyssa; Afridi, Ikram; Kaur, Noorvir; Tran, Quincy K.",Emergent Endoscopy for Esophageal Foreign Body Removal: The Impact of Location,Cureus,Bibliography Search,,,,,,,,
683,2022,"Yan, Tyler D.; Leung, Philemon H. Y.; Zwirewich, Charles; Harris, Alison; Chartier-Plante, Stephanie",An unusual cause of pericardial effusion: A case report of a hepatic abscess following foreign body migration and duodenal perforation,International Journal of Surgery Case Reports,Bibliography Search,,,,,,,2025-04-14 14:09:48,
684,2023,"Anand, Madhur; Topno, Noor; Lynrah, Kyrshanlang G.; Aggarwal, Swati",Doormatobezoar: first case report of a bezoar formed by doormat ingestion,International Surgery Journal,Bibliography Search,,,,,,,2025-04-14 12:39:27,
686,2023,"Jin, Shengjian; Horiguchi, Taigo; Ma, Xiaolong; Yuan, Shichao; Liu, Qingguo",Metallic foreign bodies ingestion by schizophrenic patient: a case report,Annals of Medicine and Surgery,Bibliography Search,,,,,,,2025-03-30 10:22:52,
687,2023,"Ngu, Natalie Lee Yee; Karp, Jadon; Taylor, Kirstin","Patient characteristics, outcomes and hospital-level healthcare costs of foreign body ingestion from an Australian, non-prison referral centre",BMJ Open Gastroenterology,Bibliography Search,,,,,,,2025-03-30 10:21:11,
689,2024,,(PDF) Doormatobezoar: first case report of a bezoar formed by doormat ingestion,ResearchGate,Bibliography Search,,,,,,,2025-04-14 12:39:46,
690,2024,,Bite the bullet: Lead poisoning after ingestion of 206 lead bullets,ResearchGate,Bibliography Search,,,,,,,2025-03-12 15:37:41,
691,,"Song, Young S; Covarrubias, Diego A; Nardi, Peter M",Foreign Body Appendicitis,,Bibliography Search,,,,,,,,
692,,,Endoscopic Retrieval of an Intentionally Ingested Mobile Phone in an Adult: First Case Report of its Kind,,Bibliography Search,,,,,,,2025-04-14 13:57:27,
693,,,Escalating Ingestion of Razor Blades in a Patient With Borderline Personality Disorder,Psychiatrist.com,Bibliography Search,,,,,,,2025-04-14 14:34:37,
694,,,"Frequent Deliberate Self-Harm: Repetition, Suicide and Cost after Three or More Years - C R Rodger, 1995",,Bibliography Search,,,,,,,2025-03-12 15:31:06,
695,,,Journey of a Swallowed Toothbrush to the Colon,,Bibliography Search,,,,,,,2025-04-14 14:10:47,
