Publication Year,First Author,Authors,Publication Title,Title,Abstract,DOI,Database
2022,"Ghahremani, G.","Ghahremani, GG; Richman, KM",Emergency Radiology,Accidental or intentional ingestion of toothbrushes: experience with 8 adult patients,"Purpose Ingestion of a toothbrush is an unusual event but may occur either accident or by intent. Radiological examinations play a crucial role in determining the exact location of the object within the gastrointestinal tract and in planning for its removal by endoscopic or surgical intervention. Methods Medical and radiological records of 8 patients who had swallowed the broken heads or entire toothbrush were retrospectively reviewed. This series included 4 men and 4 women, ranging in age from 21 to 57 years (mean: 34 years). Results Radiographs and computed tomography of the abdomen demonstrated the ingested toothbrushes within the stomach in 3, lodged in the duodenum in 1, and entrapped in various parts of the colon in 4 patients. They were removed by laparotomy in 3, laparoscopy in 2, colonoscopy in 2, and upper gastrointestinal endoscopy in 1 patient. There were no perforations or associated complications, and all patients had uneventful recoveries. Conclusions Ingested toothbrushes can be easily identified on radiological studies because of the radiopaque wires holding the nylon bristles. The plastic parts of it, however, are only visible on computed tomography. All cases would require endoscopic or surgical removal of the retained toothbrushes because spontaneous passage per rectum does not occur.",10.1007/s10140-021-02009-x,Web of Science
2022,"Gong, H.","Gong, H; Wei, W; Huang, Z; Hu, Y; Liu, XL; Hu, Z",World Journal Of Clinical Cases,Endovascular stent-graft treatment for aortoesophageal fistula induced by an esophageal fishbone: two cases report,"BACKGROUND Aortoesophageal fistula (AEF) induced by esophageal fishbones is a rare complication of esophageal foreign bodies and is very difficult to treat. Although the current view suggests that endovascular stent-graft treatment is useful for AEF, whether a subsequent thoracic operation is necessary remains controversial. The purpose of this report is to describe our experience using endovascular stentgraft treatment without combined thoracic operations for the treatment of AEF in two specific cases. CASE SUMMARY We presented two cases of patients complaining of retrosternal discomfort treated in our department for an aortoesophageal fistula caused by the accidental ingestion of a fishbone. The two patients were effectively managed with combined means of endoscopic, medical (broad-spectrum antibiotic therapy, fasting, gastrointestinal decompression, etc.) and endovascular stent-graft treatment. The main difference in treatment was that the first patient presented with hematemesis after endoscopic removal of the fishbone. Subsequently, the patient underwent endovascular stent-graft treatment. The second case was managed with endoscopic removal of the fishbone with simultaneous endovascular stent-graft treatment, without any signs of hematemesis or melena. Both patients had successful postoperative management and were discharged home. Long-term follow-up is ongoing. CONCLUSION The treatment decision-making process should depend on the patients' specific situations. Our practice indicates that endovascular stent-graft treatment without combined thoracic operations could be a valuable alternative in selected patients.",10.12998/wjcc.v10.i7.2206,Web of Science
2022,"Yadollahi, S.","Yadollahi, S; Buchannan, R; Tehami, N; Rahman, I; Boger, P; Wright, M",Frontline Gastroenterology,Endoscopic management of intentional foreign body ingestion: experience from a uk centre,"Objective We report on the increasing incidence and outcomes from intentional foreign body ingestion (iFoBI) presenting to our hospital over a 5--year period. The aim was to assess the impact on services and to identify ways to safely mitigate against this clinical challenge. Design/method We performed a retrospective observational study of all patients presenting to a university hospital between January 2015 and April 2020 with iFoBI with a focus on objects swallowed, timing of endoscopy and clinical outcomes. Results 239 episodes of iFoBI in 51 individuals were recorded with a significant increase in incidence throughout the study period (Welch (5, 17.3)=15.1, p<0.001), imposing a high burden on staff and resources. Items lodged in the oesophagus were more likely to lead to mucosal injury (p=0.009) compared with elsewhere. Ingested item type and timing of endoscopy were not related to complications (p=0.78) or length of stay (p=0.8). In 12% of cases, no objects were seen at endoscopy. Conclusion In all except those patients with oesophageal impaction of the object on radiograph, there is no need to perform endoscopic extraction out of hours. A subset of cases can avoid endoscopy with an X-ray immediately prior to the procedure as a significant proportion have passed already. We discuss more holistic approaches to deal with recurrent attendances.",10.1136/flgastro-2021-101776,Web of Science
2022,"Zachar, J.","Zachar, JJ; Reher, P",Journal Of Dental Education,Frequency and characteristics of medical emergencies in an australian dental school: a retrospective study,"Purpose/Objectives The frequency of medical emergencies in a dental setting is relatively low. However, most dental treatment occurs outside of a hospital setting; thus the time to respond to a life-threatening situation is crucial. The aim of this study was to determine the frequency and characteristics of medical emergencies that occurred at the Griffith University Dental Clinic over a 6-year period. Methods Data involving medical emergencies was collected at a dental school between January 2014 and December 2019. Data was obtained from the risk incident reporting system (GSafe), and descriptive statistics were analyzed using IBM SPSS. Results The frequency of medical emergencies in a dental setting over the 6-year retrospective period based on the number of dental services provided was 0.037% (n = 108). The three most common medical emergencies were syncope (25.0%), hypoglycemia (16.7%), and foreign body ingestion (13.9%). These happened more often during dental extractions (26.9%), followed by local anesthesia (16.7%) and restorative procedures (13.0%). A larger portion of these incidents occurred during dental treatment (62.0%) as opposed to before (12.0%) or after (26.0%). Most medical emergencies happened within the dental student clinic (72.2%) followed by the dental waiting room (19.5%) and dental private clinic (8.3%). Conclusion Overall, the number of medical emergencies at the Griffith University Dental Clinic was low. The most common medical emergencies were syncope, hypoglycemia, and foreign body ingestion. Dental education in preventative strategies and training in basic life support is necessary to ensure dental practitioners can manage the acute deterioration of a patient promptly.",10.1002/jdd.12859,Web of Science
2023,"Boucher, A.","Boucher, AL; Shah, NK; Brynien, DH; Bregg, JM; Yokota, S",Journal Of Surgical Case Reports,An unusual case of small bowel obstruction because of body packing,"Body packing is the internal concealment of illicit drugs for the purpose of transportation and evasion of law enforcement. It is associated with medical complications such as acute toxicity from ingested drug, bowel obstruction or perforation. It is rare to require surgical intervention with a small amount of ingested drug packet. Here, we present the case of a young adult male who presented with abdominal pain for 3 days. The patient admitted ingesting a condom filled with suboxone several years ago and denied recent ingestion. The patient was found to have small bowel obstruction with ingested foreign body being a transition point on CT scan, requiring exploratory laparotomy and small bowel resection.",10.1093/jscr/rjad207,Web of Science
2023,"Geisman, T.","Geisman, T; Goble, S; Al-Shahrani, A; Abdallah, M; Almuhaidb, A; Sarwar, R; Hickman, J; Sultan, S; Altayar, O; Chen, CH",Gastrointestinal Endoscopy,Comparison of outcomes between urgent and delayed endoscopy in a multi-center cohort of patients with repeated intentional foreign body ingestion,,,Web of Science
2023,"Geisman, T.","Geisman, T; Goble, S; Al-Shahrani, A; Almuhaidb, MAA; Sarwar, R; Hickman, J; Sultan, S; Altayar, O; Chen, CH",Gastrointestinal Endoscopy,Comparison of outcomes between urgent and delayed endoscopy in a multi-center cohort of patients with repeated intentional foreign body ingestion,,,Web of Science
2023,"Honar, B.","Honar, BN; Mollaverdi, G; Aghajanian, S; Bagherpour, JZ",International Journal Of Surgery Case Reports,Bowel obstruction in body-packing: a case report and literature review,"Introduction and importance: The body packer swallows or embeds drugs in body cavities in a purposeful way. Packets usually contain of opium, cocaine, cannabis and amphetamines. The significant complications of body packing usually are symptoms of drug toxicity due to leaking or ruptured packets or symptoms of ingesting relatively large foreign bodies. Herein, we present a case of heroin body-packing that resulted in subsequent bowel obstruction. Case presentation: A 30-year-old male, who was brought from the prison to the emergency department, complained of abdominal pain. After the absence of intoxication symptoms and insignificant plain abdominal radiograph results, abdominal computed tomography (CT) scan revealed the presence of ingested packets in the stomach as well as in the patient's small intestine. Therefore, the decision of surgery was immediately made for the patient, and during the surgery, the drug packets were entirely removed. The patient was discharged in good general condition three days after his surgery. Clinical discussion: Body packers are in considerable risk as rupture of packet inside the body and risk of obstruction that both of them may be fatal. Patients should be monitored for complications, possible early treatment, and removal or assistance in expulsion drug packets from the body. Initially on plain abdominal radiographs, classic findings suggest the presence of drug packets. Conclusion: In case of an inconclusive plain abdominal radiograph, further investigation with CT is indicated, with an almost 100 % sensitivity. For symptomatic patients, bowel obstruction and acute drug toxicity are the two most common indications for surgical intervention.",10.1016/j.ijscr.2023.108503,Web of Science
2023,"Huang, J.","Huang, JG; Tanpowpong, P",World Journal Of Gastroenterology,Paediatric gastrointestinal endoscopy in the asian-pacific region: recent advances in diagnostic and therapeutic techniques,"There has been a rapid expansion in the knowledge of paediatric gastroenterology over the recent decade, with a fast-growing repertoire of diagnostic techniques and management strategies for a wide spectrum of childhood gastrointestinal (GI) diseases. Paediatric GI endoscopy is a core competency every paediatric gastroenterologist should possess, and represents one of the most common procedures performed in children for both diagnostic and therapeutic purposes. Yet there remains a dearth of literature on the utility and outcomes of paediatric GI endoscopy in the Asia-Pacific region. Data on the diagnostic value of paediatric GI endoscopy would be an important aspect of discussion, with the emergence of inflammatory bowel disease (IBD) and eosinophilic GI disease as increasingly common endoscopic diagnoses. Time-based trends in paediatric GI endoscopy do point towards more IBD and gastroesophageal reflux disease-related complications being diagnosed, with a declining incidence of GI bleeding. However, the real-world diagnostic value of endoscopy in Asia must be contextualised to the region-specific prevalence of paediatric GI diseases. Helicobacter pylori infection, particularly that of multidrug-resistant strains, remains a highly prevalent problem in specific regions. Paediatric functional GI disorders still account for the majority of childhood GI complaints in most centres, hence the diagnostic yield of endoscopy should be critically evaluated in the absence of alarm symptoms. GI therapeutic endoscopy is also occasionally required for children with ingested foreign bodies, intestinal polyposis or oesophageal strictures requiring dilation. Endoscopic haemostasis is a potentially life-saving skill in cases of massive GI bleeding typically from varices or peptic ulcers. Advanced endoscopic techniques such as capsule endoscopy and balloon-assisted enteroscopy have found traction, particularly in East Asian centres, as invaluable diagnostic and therapeutic tools in the management of IBD, obscure GI bleeding and intestinal polyposis. State of the art endoscopic diagnostics and therapeutics, including the use of artificial intelligence-aided endoscopy algorithms, real-time confocal laser endomicroscopy and peroral endoscopic myotomy, are expected to gain more utility in paediatrics. As paediatric gastroenterology matures as a subspecialty in Asia, it is essential current paediatric endoscopists and future trainees adhere to minimum practice standards, and keep abreast of the evolving trends in the diagnostic and therapeutic value of endoscopy. This review discusses the available published literature on the utility of paediatric GI endoscopy in Asia Pacific, with the relevant clinical outcomes.",10.3748/wjg.v29.i18.2717,Web of Science
2023,"Jaini, P.","Jaini, PA; Haliburton, J; Rush, AJ",Journal Of Psychiatric Practice,Management challenges of recurrent foreign body ingestions in a psychiatric patient: a case report,"Intentional foreign body ingestions (FBIs) are commonly seen in adult patients with intellectual disabilities, substance use, severe psychiatric conditions, or external motivations, but these cases are rarely reported in the psychiatric literature. We present the case of a patient with an extensive history of FBIs and suicide attempts and a multitude of psychiatric diagnoses including borderline personality disorder, major depressive disorder, posttraumatic stress disorder from significant abuse in foster care, obsessive-compulsive disorder, and pica. During the single hospitalization described in this report, she had multiple incidents of self-harm, aggression, and 9 FBIs. A multidisciplinary team involving psychiatry, emergency medicine, gastroenterology, surgery, internal medicine, nursing, social work, behavioral health technicians, case management, chaplain, the legal department, police officers, and hospital maintenance was necessary for care coordination. Interventions included 8 endoscopies and an abdominal surgery to retrieve swallowed foreign bodies, pain management, psychopharmacological and psychotherapeutic interventions for agitation, and environmental precautions to minimize the risk of ingestion. Ultimately, to prevent further trauma and limit additional opportunities for FBI, a collaborative decision was made with the patient to discharge her to her home with outpatient psychologist and psychiatrist support. This case describes the complexities of hospital management of a patient with intentional recurrent FBI, highlighting the importance of a critical assessment of risk versus benefit for prolonging hospitalization. Development of practical management protocols and risk assessments for continued hospitalization is necessary for patients with recurrent intentional FBIs.",10.1097/pra.0000000000000694,Web of Science
2023,"Jaini, P.",Jaini P.A.; Haliburton J.; Rush A.J.,Journal Of Psychiatric Practice,Management challenges of recurrent foreign body ingestions in a psychiatric patient: a case report,"Intentional foreign body ingestions (FBIs) are commonly seen in adult patients with intellectual disabilities, substance use, severe psychiatric conditions, or external motivations, but these cases are rarely reported in the psychiatric literature. We present the case of a patient with an extensive history of FBIs and suicide attempts and a multitude of psychiatric diagnoses including borderline personality disorder, major depressive disorder, posttraumatic stress disorder from significant abuse in foster care, obsessive-compulsive disorder, and pica. During the single hospitalization described in this report, she had multiple incidents of self-harm, aggression, and 9 FBIs. A multidisciplinary team involving psychiatry, emergency medicine, gastroenterology, surgery, internal medicine, nursing, social work, behavioral health technicians, case management, chaplain, the legal department, police officers, and hospital maintenance was necessary for care coordination. Interventions included 8 endoscopies and an abdominal surgery to retrieve swallowed foreign bodies, pain management, psychopharmacological and psychotherapeutic interventions for agitation, and environmental precautions to minimize the risk of ingestion. Ultimately, to prevent further trauma and limit additional opportunities for FBI, a collaborative decision was made with the patient to discharge her to her home with outpatient psychologist and psychiatrist support. This case describes the complexities of hospital management of a patient with intentional recurrent FBI, highlighting the importance of a critical assessment of risk versus benefit for prolonging hospitalization. Development of practical management protocols and risk assessments for continued hospitalization is necessary for patients with recurrent intentional FBIs. © 2023 Lippincott Williams and Wilkins. All rights reserved.",10.1097/pra.0000000000000694,SCOPUS
2023,"Jaini, P.","Jaini, Paresh A.; Haliburton, James; Rush, A. John",Journal Of Psychiatric Practice,Management challenges of recurrent foreign body ingestions in a psychiatric patient: a case report,"Intentional foreign body ingestions (FBIs) are commonly seen in adult patients with intellectual disabilities, substance use, severe psychiatric conditions, or external motivations, but these cases are rarely reported in the psychiatric literature. We present the case of a patient with an extensive history of FBIs and suicide attempts and a multitude of psychiatric diagnoses including borderline personality disorder, major depressive disorder, posttraumatic stress disorder from significant abuse in foster care, obsessive-compulsive disorder, and pica. During the single hospitalization described in this report, she had multiple incidents of self-harm, aggression, and 9 FBIs. A multidisciplinary team involving psychiatry, emergency medicine, gastroenterology, surgery, internal medicine, nursing, social work, behavioral health technicians, case management, chaplain, the legal department, police officers, and hospital maintenance was necessary for care coordination. Interventions included 8 endoscopies and an abdominal surgery to retrieve swallowed foreign bodies, pain management, psychopharmacological and psychotherapeutic interventions for agitation, and environmental precautions to minimize the risk of ingestion. Ultimately, to prevent further trauma and limit additional opportunities for FBI, a collaborative decision was made with the patient to discharge her to her home with outpatient psychologist and psychiatrist support. This case describes the complexities of hospital management of a patient with intentional recurrent FBI, highlighting the importance of a critical assessment of risk versus benefit for prolonging hospitalization. Development of practical management protocols and risk assessments for continued hospitalization is necessary for patients with recurrent intentional FBIs. (PsycInfo Database Record (c) 2023 APA, all rights reserved)",10.1097/pra.0000000000000694,PsycINFO
2023,"Kaazan, P.",Kaazan P.; Seow W.; Tan Z.; Logan H.; Philpott H.; Huynh D.; Warren N.; McIvor C.; Holtmann G.; Clark S.R.; Tse E.,Australasian Psychiatry,Deliberate foreign body ingestion in patients with underlying mental illness: a retrospective multicentre study,"Objective: Deliberate foreign body ingestion (DFBI) is characterised by recurrent presentations among patients with mental health conditions, intellectual disabilities and in prisoners. We aimed to profile the characteristics and evaluate the care of such patients in this study. Methods: Adult patients with an endoscopic record of attempted foreign body retrieval between January 2013 and September 2020 were identified at three Australian hospitals. Those with a documented mental health diagnosis were included and their standard medical records reviewed. Presentation history, demographics, comorbidities and endoscopic findings were recorded and described. Results: A total of 166 admissions were accounted for by 35 patients, 2/3 of which had borderline personality disorder (BPD). Repetitive presentations occurred in more than half of the cohort. There was an increased trend of hospital admissions throughout the years. At least half of the cohort had a documented mental health review during their admission. An average of 3.3 (2.9) foreign bodies were ingested per single episode. Endoscopic intervention was performed in 76.5% of incidents. The combined Length of stay for all patients was 680 days. Conclusion: Deliberate foreign body ingestion in mental health patients is a common, recurring and challenging problem that is increasing in frequency and requires collaborative research to further guide holistic management. © The Royal Australian and New Zealand College of Psychiatrists 2023.",10.1177/10398562231189431,SCOPUS
2023,"Kaazan, P.","Kaazan, P.; Seow, W.; Tan, Z.; Logan, H.; Philpott, H.; Huynh, D.; Warren, N.; McIvor, C.; Holtmann, G.; Clark, S. R.; Tse, E.",Australasian Psychiatry,Deliberate foreign body ingestion in patients with underlying mental illness: a retrospective multicentre study,"Objective: Deliberate foreign body ingestion (DFBI) is characterised by recurrent presentations among patients with mental health conditions, intellectual disabilities and in prisoners. We aimed to profile the characteristics and evaluate the care of such patients in this study. Methods: Adult patients with an endoscopic record of attempted foreign body retrieval between January 2013 and September 2020 were identified at three Australian hospitals. Those with a documented mental health diagnosis were included and their standard medical records reviewed. Presentation history, demographics, comorbidities and endoscopic findings were recorded and described. Results: A total of 166 admissions were accounted for by 35 patients, 2/3 of which had borderline personality disorder (BPD). Repetitive presentations occurred in more than half of the cohort. There was an increased trend of hospital admissions throughout the years. At least half of the cohort had a documented mental health review during their admission. An average of 3.3 (2.9) foreign bodies were ingested per single episode. Endoscopic intervention was performed in 76.5% of incidents. The combined Length of stay for all patients was 680 days. Conclusion: Deliberate foreign body ingestion in mental health patients is a common, recurring and challenging problem that is increasing in frequency and requires collaborative research to further guide holistic management. (PsycInfo Database Record (c) 2024 APA, all rights reserved)",10.1177/10398562231189431,PsycINFO
2023,"Karb, D.","Karb, D; Delozier, S; Raad, D; Dumot, J; Mok, S",Journal Of Clinical Gastroenterology,Effect of delayed endoscopy protocol on timing and safety of endoscopy for foreign body ingestion and esophageal food impaction,"Background and Aims: Endoscopic procedures for foreign body ingestion (FBI) and esophageal food impactions (EFI) performed during on-call hours are associated with increased stress, risk, and cost. We implemented a Foreign Body Algorithm (FBA) designed to delay all but the most urgent endoscopy for EFI and FBI until regular working hours. Methods: Using endoscopy records from multiple academic and community hospitals within a large integrated health system in the United states, we identified esophagogastroduodenoscopy (EGD) performed for food impactions and foreign body ingestions occurring between May 2011 and February 2021.Results: We identified 479 EGDs performed for FBI and EFI. The introduction of the FBA was associated with a shorter length of stay (LOS) for overall cases (0.35 vs. 0.8 d P < 0.001), day cases (0.16 vs. 1.0 d P < 0.001), and night cases (0.40 vs. 0.6 d P = 0.03). The introduction of the FBA did not change the rate of overall adverse events (AE) or night AE. AE from the entire cohort was rare (3%; 16 total). Of the AE, most were sedation related. The introduction of the FBA did not affect the overall rate of night cases or AE, but the rate of after-hours endoscopy for intentional ingestions decreased from 17.2% to 3.1% (P = 0.01).Conclusion: This is one of the largest studies of esophageal impactions and foreign bodies in adults in the United States, and the first to examine the effects of a protocol designed to avoid after-hours endoscopy. These results suggest that postponing after-hours EGD until the daytime is not associated with adverse safety outcomes or increased LOS.",10.1097/mcg.0000000000001789,Web of Science
2023,"Lee, J.","Lee, JJ; Rugg, AL; Wu, CK; Hamblin, GJ; Larson, MC",Emergency Radiology,Ultrasound evaluation of intraluminal magnets in an ex vivo model,"PurposeThe management of foreign body ingestion proves to be a challenge. Magnets pose a unique set of risks when ingested due to their attractive forces and subsequent risk of adherence, pressure necrosis, and perforation complications. Radiographs only provide a limited snapshot in the setting of multiple magnet ingestion when the risk of complication is highest. We hypothesize that abdominal ultrasound (US) has the potential to supplement radiographs in assessing ingested magnets by determining the presence of bowel loop entrapment and of any extraluminal fluid.MethodsWe recreated various scenarios of magnet configurations using animal cadaveric bowel models. X-ray and US images were obtained in various bowel-magnet orientations.ResultsWe identified several key US features to suggest bowel wall tethering. These include direct visualization of bowel wall entrapment between magnets (what we term the dangerous V sign), anti-dependent positions of the magnets, and inability to separate loops of bowel with compression.ConclusionThese findings could potentially provide valuable information when directing the urgency of intervention in foreign body ingestion. Ultrasound may supplement and improve the current guidelines in management of magnet ingestion.",10.1007/s10140-023-02160-7,Web of Science
2023,"Raju, R.","Raju R.S., Raj A.J.M., Shubha A.M.",Pediatric Surgery International,Impacted esophageal foreign bodies in children,"Purpose: Foreign body (FB) ingestion in children has varied presentation. When unwitnessed, it poses therapeutic and diagnostic challenges especially in the presence of pre-existing anatomical pathology. We aim to analyze the clinical course, management, and outcome of children with impacted esophageal FBs. Methods: Retrospective chart review (Jan 2000–Feb 2018) recruiting children with impacted esophageal FBs. FBs in cricopharynx and those that moved to stomach were excluded. Investigations/management were based on underlying anatomical pathology, duration of impaction, and difficult FBs. Clinical details, management, and outcomes were collated. Results: Of 86 children, N1 = 31 had identifiable predisposing anatomic pathology and N2 = 55 had impactions in normal esophagus or difficult FBs. N1 group presented early (42 months), had recurrent impactions (1–6), and needed multiple dilatations (0–8) and longer follow-up (avg 35 months). Food matter was commonest impaction. Many had persistent symptoms. N2 group had commonly coin impactions and strictures developed in long standing or corrosive FBs. Most were asymptomatic. Conclusion: Abnormal esophageal anatomy predisposes to impaction with organic food bolus. Age of presentation is earlier with recurrent impactions requiring multiple dilatations/surgery and longer follow-up. Metallic FBs commonly impact in normal esophagus and are often innocuous. Atypical/multiple FBs may mirror an underlying psychiatric illness.",10.1007/s00383-022-05360-3,Embase
2023,"Raju, R.","Raju, RS; Raj, AJM; Shubha, AM",Pediatric Surgery International,Impacted esophageal foreign bodies in children,"Purpose Foreign body (FB) ingestion in children has varied presentation. When unwitnessed, it poses therapeutic and diagnostic challenges especially in the presence of pre-existing anatomical pathology. We aim to analyze the clinical course, management, and outcome of children with impacted esophageal FBs.Methods Retrospective chart review (Jan 2000-Feb 2018) recruiting children with impacted esophageal FBs. FBs in cricopharynx and those that moved to stomach were excluded. Investigations/management were based on underlying anatomical pathology, duration of impaction, and difficult FBs. Clinical details, management, and outcomes were collated.Results Of 86 children, N1 = 31 had identifiable predisposing anatomic pathology and N2 = 55 had impactions in normal esophagus or difficult FBs. N1 group presented early (42 months), had recurrent impactions (1-6), and needed multiple dilatations (0-8) and longer follow-up (avg 35 months). Food matter was commonest impaction. Many had persistent symptoms. N2 group had commonly coin impactions and strictures developed in long standing or corrosive FBs. Most were asymptomatic.Conclusion Abnormal esophageal anatomy predisposes to impaction with organic food bolus. Age of presentation is earlier with recurrent impactions requiring multiple dilatations/surgery and longer follow-up. Metallic FBs commonly impact in normal esophagus and are often innocuous. Atypical/multiple FBs may mirror an underlying psychiatric illness.",10.1007/s00383-022-05360-3,Web of Science
2023,"Scalise, P.","Scalise, PN; Durgin, JM; Staffa, SJ; Wynne, N; Meisner, J; Ngo, P; Zendejas, B; Kim, HB; Demehri, FR",Journal Of Pediatric Surgery,Pediatric button battery ingestion: a single center experience and risk score to predict severe outcomes,"Purpose: The purpose of this study was to analyze the management and outcomes of primary button battery ingestions and their sequelae at a single high-volume center, and to propose a risk score to predict the likelihood of a severe outcome. Methods: The medical record was queried for all patients under 21 years old evaluated at our institution for button battery ingestion from 2008 to 2021. A severe outcome was defined as having at least one of the following: deep/circumferential mucosal erosion, perforation, mediastinitis, vascular or airway injury/fistula, or development of esophageal stricture. From a selection of clinically relevant factors, logistic regression determined predictors of a severe outcome, which were incorporated into a risk model. Results: 143 patients evaluated for button battery ingestion were analyzed. 24 (17%) had a severe outcome. The independent predictors of a severe outcome in multivariate analysis were location of battery in the esophagus on imaging (96%), battery size >/ 1/4 2 cm (95%), and presence of any symptoms on presentation (96%), with P < 0.001 in all cases. Predicted probability of a severe outcome ranged from 88% when all three risk factors were observed, to 0.3% when none were present. Conclusion: We report the presentation, management, and complication profiles of a large cohort of BB ingestions treated at a single institution. A risk score to predict severe outcomes may be used by pro-viders initially evaluating patients with button battery ingestion in order to allocate resources and expedite transfer to a center with pediatric endoscopic and surgical capabilities. Level of evidence: Level IV. Type of study: Clinical Research Paper.(c) 2022 Elsevier Inc. All rights reserved.",10.1016/j.jpedsurg.2022.12.017,Web of Science
2023,"Tambakis, G.","Tambakis, G; Schildkraut, T; Delaney, I; Gilmore, R; Loebenstein, M; Taylor, A; Holt, B; Tsoi, EH; Cameron, G; Demediuk, B; Miller, A; Connell, W; Wright, E; Thompson, A; Holmes, J",Endoscopy International Open,Management of foreign body ingestion in adults: time to stop and rethink endoscopy,"Background and study aims Foreign body ingestion is a common cause for Emergency Department presentation. In adults, foreign body ingestion is more common in patients with underlying psychiatric comorbidity, the elderly, alcohol intoxication, and in prisoners. This study reviewed the management of patients presenting to a tertiary hospital with foreign body ingestion.Patients and methods A retrospective review of patients presenting with foreign body ingestion to a tertiary hospital in Melbourne, Victoria, was undertaken from January 2017 to December 2021. Data collected included patient demographics, type of foreign body, length of stay, imaging modalities, management strategies, and complications. High-risk ingestion was defined as sharp objects, length >5 cm, diameter >2.5 cm, button battery and/or magnet ingestion or esophageal as per international guidelines.Results A total of 157 presentations by 63 patients with foreign body ingestion occurred between 2017 and 2021 (50% male; median age 30 years). Of the patients, 56% had underlying psychiatric comorbidities. The majority of presentations occurred in prisoners (65%). The most commonly ingested objects were batteries (23%), alleged drug-containing balloons (17%), razor blades (16%), and miscellaneous (40%). High-risk ingestion occurred in approximately two-thirds of presentations. Conservative management was the most common approach in 55% of patients. Complications, defined as perforation, bowel obstruction or fistula formation, did not occur in this cohort despite more than half presenting with high-risk ingestions. Thirty-day re-presentation rates were high (31%) and that was most common in patients with intentional ingestion, underlying mental health disorders, and a documented history of self-harm.Conclusions Conservative management for patients presenting with recurrent high-risk foreign body ingestion was safe in appropriately selected cases. Re-presentation is common and poses significant challenges for health care providers.",10.1055/a-2201-6928,Web of Science
2024,"Aourarh, B.","Aourarh B., Belkouchi L., Saouab R., Aourarh A., Belkouchi O.",Radiology Case Reports,Hematemesis in a young patient: when the cause is ingested: a case report,"Foreign bodies may be ingested accidentally or intentionally. Generally, they pass through the digestive tract without causing complications unless they become lodged. Patients often present with nonspecific clinical symptoms, and diagnosis is frequently delayed because they do not recall ingesting anything. We report the case of a 20-year-old man who was admitted to the emergency room for acute moderate hematemesis. The patient had no significant medical history. An urgent, nonsedated upper gastrointestinal (GI) endoscopy was performed, which revealed bleeding but no foreign objects. However, an abdominal CT scan identified a linear calcified object in the antrum, which was later confirmed to be a chicken bone upon endoscopic extraction. Ingested foreign bodies typically pass through the digestive tract without incident. However, long, sharp, and thin objects can remain in the gastrointestinal tract for 7-10 days and may become lodged in areas of physiological narrowing. This can lead to complications such as bowel obstruction, perforation, or bleeding.",10.1016/j.radcr.2024.07.017,Embase
2024,"Dranova, S.","Dranova S., Siddiqui Z., Tobbal M., Pitkin L.",Journal Of Laryngology And Otology,Difficult oesophageal foreign body removal: a novel surgical approach to a complex situation,"Background Ingested foreign bodies pose a unique challenge in medical practice, especially when lodged in the oesophagus. While endoscopic retrieval is the standard treatment, certain cases require more innovative approaches. Methods This paper reports the case of a patient who intentionally ingested a butter knife that lodged in the thoracic oesophagus. After multiple endoscopic attempts, a lateral neck oesophagotomy, aided using a Hopkins rod camera and an improvised trochar as a protective port, was performed. Results The foreign body was successfully extracted without causing oesophageal perforation. The patient was made nil by mouth, with nasogastric feeding only until a swallow assessment after one week. The patient was discharged and recovered well. Conclusion This case illustrates a successful, innovative approach to removing a foreign body in a high-risk patient, highlighting the significance of adaptability in surgical practice. It emphasises the need for individualised approaches based on the patient's history, the nature and location of the foreign body, and associated risks.",10.1017/s0022215124000033,Embase
2024,"Dranova, S.","Dranova, S; Siddiqui, Z; Tobbal, M; Pitkin, L",Journal Of Laryngology And Otology,Difficult oesophageal foreign body removal: a novel surgical approach to a complex situation,"Background Ingested foreign bodies pose a unique challenge in medical practice, especially when lodged in the oesophagus. While endoscopic retrieval is the standard treatment, certain cases require more innovative approaches.Methods This paper reports the case of a patient who intentionally ingested a butter knife that lodged in the thoracic oesophagus. After multiple endoscopic attempts, a lateral neck oesophagotomy, aided using a Hopkins rod camera and an improvised trochar as a protective port, was performed.Results The foreign body was successfully extracted without causing oesophageal perforation. The patient was made nil by mouth, with nasogastric feeding only until a swallow assessment after one week. The patient was discharged and recovered well.Conclusion This case illustrates a successful, innovative approach to removing a foreign body in a high-risk patient, highlighting the significance of adaptability in surgical practice. It emphasises the need for individualised approaches based on the patient's history, the nature and location of the foreign body, and associated risks.",10.1017/s0022215124000033,Web of Science
