Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,DOI,Duplicate,Exclude,Reason ID,Abstract2,
1997,"Coren..., B.","BF Gilchrist, EP Valerie, M Nguyen, C Coren...","BF Gilchrist, EP Valerie, M Nguyen, C Coren... - Journal of pediatric ..., 1997 - Elsevier",Journal Of Pediatric ...,"Pearls And Perils In The Management Of Prolonged, Peculiar, Penetrating Esophageal Foreign Bodies In Children",Background/Purpose: Most retained esophageal foreign bodies (FB) are identified soon after ingestion and are easily extracted. A minority of FB ingestions are not identified for weeks ...,https://www.sciencedirect.com/science/article/pii/s0022346897905546,Google Scholar,10.1016/S0022-3468(97)90554-6,,FALSE,,"Background/Purpose: Most retained esophageal foreign bodies (FB) are identified soon after ingestion and are easily extracted. A minority of FB ingestions are not identified for weeks to years and present significant problems for retrieval. The purpose of this study was to describe the diagnostic and therapeutic strategies needed to care for children who have chronic esophageal FBs.
Methods: Five children were identified as having retained esophageal FBs 2 months to 2 years after ingestion. During the same 3-year period, 100 children who had acute FBs were identified and had their foreign bodies removed endoscopically. The average age of the children was 3 years (range, 2.4 to 3.5).
Results: The average age of the five children identified in this study was 3 years. The items ingested included coins, a heart pendant, a clothespin spring, and a toy soldier. Complications from chronically retained foreign bodies were bronchoesophageal fistula, mediastinitis, esophageal diverticulum, and lobar atelectasis. One patient died from an aortoesophageal fistula. In all children, endoscopic removal was attempted. Barium esophagram was then performed, and foreign bodies were eventually removed via right thoracotomy.
Conclusions: Long-retained esophageal FBs are extremely morbid and life threatening. History most often identifies excess salivation, new onset asthma, and/or recurrent upper respiratory infections. Three diagnostic adjuncts are helpful in identifying the presence of a long retained FB: (1) Chest x-ray (PA and lateral), (2) barium swallow, and (3) esophagoscopy. Indications for thoracotomy for removal of foreign body include (1) Poor endoscopic visualization of FB because of inflammatory tissue and (2) Herald bleeding during endoscopy.",
1998,"Messner, A.",AH Messner,"AH Messner - Clinical pediatrics, 1998 - journals.sagepub.com",Clinical Pediatrics,Pitfalls In The Diagnosis Of Aerodigestive Tract Foreign Bodies,"In the young child, particularly those between the ages of 1 and 3 years, aerodigestive tract foreign bodies continue to be a significant problem. Early diagnosis and treatment can ...",https://journals.sagepub.com/doi/abs/10.1177/000992289803700605,Google Scholar,10.1177/00099228980370060,,FALSE,,"In the young child, particularly those between the ages of 1 and 3 years, aerodigestive tract foreign bodies continue to be a significant problem. Early diagnosis and treatment can decrease morbidity and length of hospital stay in these children. Three cases of delayed diagnosis in children with bronchial (2) and esophageal (1) foreign bodies are presented. In dealing with young children it is important to maintain a high clinical suspicion of a foreign body and to perform a detailed history and physical examination. Options in radiographic analysis of the patient with a suspected foreign body, probable locations of the foreign body, and the likelihood of definitive radiographic findings are discussed. Importantly, a negative radiographic analysis does not rule out the presence of an aerodigestive tract foreign body. Two flow charts for the evaluation of patients who have possibly ingested or inhaled a foreign body are presented to aid the primary care physician in diagnosis.",
1998,"Snyder..., S.","SE Morrow, SW Bickler, AP Kennedy, CL Snyder...","SE Morrow, SW Bickler, AP Kennedy, CL Snyder... - Journal of pediatric ..., 1998 - Elsevier",Journal Of Pediatric ...,Balloon Extraction Of Esophageal Foreign Bodies In Children,"Background: Whereas esophageal foreign bodies are commonly removed with rigid esophagoscopy under general anesthesia, selected foreign bodies also can be removed using a ...",https://www.sciencedirect.com/science/article/pii/s0022346898904444,Google Scholar,10.1016/S0022-3468(98)90444-4,,FALSE,,"Background: Whereas esophageal foreign bodies are commonly removed with rigid esophagoscopy under general anesthesia, selected foreign bodies also can be removed using a Foley catheter balloon under fluoroscopic control without anesthesia. The authors prefer to initially attempt removal of smooth, radiopaque esophageal foreign bodies using the balloon technique and then proceed to rigid esophagoscopy if unsuccessful.
Methods: The authors reviewed their 7-year experience with this approach in 276 children with esophageal foreign bodies.
Results: One hundred seventy-three children underwent attempted balloon extraction, and 146 of these underwent successful removal with this method. Fifteen remained lodged in the esophagus and were subsequently removed by esophagoscopy, and 12 passed into the stomach and were observed. The only complication was one episode of epistaxis that resolved. Success of the balloon method was not related to patient age, foreign body duration, location, or presenting symptoms. The use of more than 5 minutes of fluoroscopy time was associated with a low likelihood of successful extraction.
Conclusion: The balloon extraction technique is a safe and effective alternative to rigid esophagoscopy for the removal of slected esophageal foreign bodies in children.",
1998,"Mahadevan..., N.","NHA Kasim, BJJ Abdullah, J Mahadevan...","NHA Kasim, BJJ Abdullah, J Mahadevan... - Annals of Dentistry ..., 1998 - mojes.um.edu.my",Annals Of Dentistry ...,The Radiopacity Of Dental Prostheses (Fixed And Removable) On Plain Radiographs-An Experimental Study,The impaction of dental prostheses in either the airway or esophagus is an under-recognized problem which may result in severe morbidity or even mortality. The radio-opacity and the ...,https://mojes.um.edu.my/index.php/adum/article/view/7078,Google Scholar,None,,FALSE,,"The impaction of dental prostheses in either the airway or esophagus is an under-recognized problem which may result in severe morbidity or even mortality. The radio-opacity and the size of fixed and removable dental prostheses in an animal carcass was investigated. Prostheses were placed one at a time in the oro-laryngopharynx or in tho trachea and the esophagus. Lateral radiographs were taken for each prosthesis in site. The radio-opacity and size of the prostheses on the radiograph was graded. Most of the prostheses investigated were radio-opaque though the removable prostheses were more likely to be radiolucent and differ in size. In a symptomatic patient with a missing dental prosthesis, a negative chest or abdominal radiograph does not exclude impaction, inhalation or ingestion. Further evaluation with endoscopy or even computed tomography may be essential to reduce the possibility of severe morbidity or even mortality.",
2000,"Quesenberry, A.","A Adamcak, LR Hess, KE Quesenberry","A Adamcak, LR Hess, KE Quesenberry - Journal of Avian Medicine and ..., 2000 - BioOne",Journal Of Avian Medicine And ...,Intestinal String Foreign Body In An Adult Umbrella Cockatoo (Cacatua Alba),"Gastrointestinal foreign bodies are reported in zoo birds, ratites, and juvenile psittacine birds; however, foreign body ingestion by adult psittacine birds is uncommon. We examined an ...",https://bioone.org/journals/journal-of-avian-medicine-and-surgery/volume-14/issue-4/1082-6742_2000_014_0257_isfbia_2.0.co_2/intestinal-string-foreign-body-in-an-adult-umbrella-cockatoo-cacatua/10.1647/1082-6742(2000)014[0257:isfbia]2.0.co;2.short,Google Scholar,10.1647/1082-6742(2000)014[0257:ISFBIA]2.0.CO;2,,TRUE,4,"Gastrointestinal foreign bodies are reported in zoo birds, ratites, and juvenile psittacine birds; however, foreign body ingestion by adult psittacine birds is uncommon. We examined an adult umbrella cockatoo (Cacatua alba) because of a 4-month history of weight loss and intermittent, dark brown, malodorous stool. Physical examination findings were unremarkable. Results of laboratory testing revealed anemia, leukocytosis, lymphopenia, monocytosis, hypoproteinemia, and hypoalbuminemia; blood lead and zinc concentrations were not elevated. Enterococcus durans was cultured aerobically from the feces. Gas-filled, dilated intestinal loops and a gas-filled proventriculus were evident on survey radiographs. The clinical signs did not resolve with initial treatment, which included ciprofloxacin, ketoconazole, and a lactobacillus supplement. Over the next 2 months, results of blood tests revealed nonregenerative anemia, intermittent leukocytosis, monocytosis, and hypoproteinemia. Staphylococcus lugdunensis and E faecium were isolated from a crop swab and fecal samples. A barium contrast study revealed a filling defect in the area of the large intestine, whereas results of fluoroscopy were normal. The cockatoo responded poorly to further treatment, including 5 days of supportive care in the hospital, and the owners requested euthanasia. On necropsy, a string foreign body (7 cm long) was found in the proximal large intestine. The string had originated from a rope toy in the bird's cage",
2000,"Pappas..., E.","EG Chekan, TN Pappas...","EG Chekan, TN Pappas... - Surgery: Basic Science ..., 2000 - books.google.com",Surgery: Basic Science ,General Principles,"The historical development of laparoscopy can be traced to early in the nineteenth century when, using reflected candlelight, Bozzini, an Italian physician living in Germany, first ...",https://books.google.lk/books?hl=en&lr=&id=vHWr9U09CWIC&oi=fnd&pg=PA429&dq=Surgery:+Basic+Science+general+principles+2000+chekan&ots=now1q9tDML&sig=1V4hYlOhPnxJ1mwsPdMUGVEXWYw&redir_esc=y#v=onepage&q=Surgery%3A%20Basic%20Science%20general%20principles%202000%20chekan&f=false,Google Scholar,None,,TRUE,1,"An up-to-the-minute, clinically oriented, and encyclopedic textbook of general surgery for all surgical residents, general surgeons, and medical students. Divided into eight sections, the text brings together the emerging leaders in surgery to concisely present and synthesize the key issues in the different surgical disciplines. Each chapter presents anatomy, physiology and associated scientific development, disease etiology and prevention, appropriate diagnostic procedures, treatment of benign and malignant disease, and well illustrated, technical discussion of how-to-do surgery. Color-coded tables summarize the evidence currently available for a wide variety of surgical treatment options. The text is augmented by a specially comisioned art program with more than 1000 illustrations to clearly depict surgical techniques. A CD-ROM packaged with the text provides a hypertext link to PubMed for every reference - invaluable for research.",
2002,"El-Zomor, E.","E SHETA, S EL-ZOMOR","E SHETA, S EL-ZOMOR - Veterinary Medical Journal (Giza), 2002 - journals.ekb.eg",Veterinary Medical Journal (Giza),Alimentary Tract Foreign Bodies In Dogs And Cats,"Twelve cats and nine dogs suffering incidental swallowing of foreign bodies were included in this study. Various foreign bodies were detected in their mouth, oesophagus, stomach and ...",https://journals.ekb.eg/article_369369.html,Google Scholar,10.21608/vmjg.2002.369369,,TRUE,4,"Twelve cats and nine dogs suffering incidental swallowing of foreign bodies were included in this study. Various foreign bodies were detected in their mouth, oesophagus, stomach and intestines. The most common and obvious clinical signs were persistent vomiting, anorexia and de- pression. Diagnosis was based on case history, clinical examination and radiography. Surgery was successfully adopted in most of cases.",
2006,"Canadian, F.",FRY Canadian,"FRY Canadian - Otolaryngology-Head and Neck Surgery, 2006",Otolaryngology-Head And Neck Surgery,"Wednesday, September 20, 2006",,"https://scholar.google.com/scholar?cluster=4843196995425351282&hl=en&as_sdt=0,5&inst=7421307413561760588",Google Scholar,None,,TRUE,1,Abstract not available,
2007,"Forter, G.",G Forter,"G Forter - Narrative, 2007 - JSTOR",Narrative,"Freud, Faulkner, Caruth: Trauma And The Politics Of Literary Form","For the growing number of cri forces, psychic experience, and since the publication of Cathy C portant opportunity for reflectio influential. It brings sophisticat processes, developing ...",https://www.jstor.org/stable/30219258,Google Scholar,None,,TRUE,5,"For the growing number of critics concerned to trace the links among historical forces, psychic experience, and literary expression, the growth of trauma studies since the publication of Cathy Caruth's Unclaimed Experience (1996) offers an important opportunity for reflection. On one hand, the work in this field has been justly influential. It brings sophisticated psychoanalytic concepts to bear on collective processes, developing accounts of historical violence that are both socially specific and psychologically astute. These accounts are especially compelling when focused on what I call ""punctual"" traumas: historical events of such singularity, magnitude, and horror that they can be read as shocks that disable the psychic system. Thus, for example, in their readings of the Holocaust-the paradigmatic example for critics concerned with this kind of trauma-Caruth and others have helped us see how a historical moment might be experienced less as an ongoing set of processes that shape and are shaped by those living through them than as a punctual blow to the psyche that overwhelms its functioning, disables its defenses, and absents it from direct contact with the brutalizing event itself. Precisely because the violence suffered by Holocaust victims was so extreme, on this view, it affected those victims as a psychic concussion that short-circuited their capacity to ""process"" the traumatizing event as it took place. Traumas of this kind thus become accessible only in the mind's recursive attempts to master what it has in some sense failed to experience in the first instance. A punctual incursion on the mind, having ""dissociated"" consciousness from itself, installs an unprocessed memory-trace that returns unbidden, as delayed effect, in an effort to force the mind to digest this previously unclaimed kernel of experience.",
2008,"Pathare, S.",SS PATHARE,"SS PATHARE - Pediatric Hospital Medicine: Textbook of Inpatient ..., 2008 - books.google.com",Pediatric Hospital Medicine: Textbook of Inpatient Management,B Foreign Body Ingestion,Foreign body ingestion is a very common pediatric problem. Most ingestions occur in children under the age of 4 years. The majority of ingested foreign bodies (up to 80% to 90%) are ...,https://books.google.lk/books?hl=en&lr=&id=sV6-ifUGoMYC&oi=fnd&pg=PA238&dq=SS+PATHARE+foreign+body&ots=27NWDtYLdX&sig=lyNgKqwWLSDWleB_MDHyE3k6ZKQ&redir_esc=y#v=onepage&q&f=false,Google Scholar,None,,FALSE,,"Now in its Second Edition, this text focuses exclusively on the management of hospitalized pediatric patients from admission to discharge. It is an excellent resource for residency programs, hospitalist fellowships, and continuing education for physicians whose practice includes the management of hospitalized newborns and children. Because pediatric hospital care is provided by a wide variety of healthcare professionals and in many different hospital settings, this text provides a framework for unified management and effective and efficient care. This edition includes new sections on emergency medicine and psychiatric hospitalization and expanded coverage of management of children with complex and chronic conditions.",
2008,"Ćeranić, P.","P Skok, A Ocepek, D Ćeranić","P Skok, A Ocepek, D Ćeranić - Acta medico-biotechnica, 2008 - journals.um.si",Acta Medico-Biotechnica,The Role Of Emergency Endoscopy In Upper Git Foreign Body Extraction,Purpose: Foreign bodies in the upper gastrointestinal tract (GIT) rarely cause urgent problems in gastroenterology. The purpose of the study was to assess the percentage of patients in ...,https://journals.um.si/index.php/amb/article/view/1293,Google Scholar,10.18690/actabiomed.6 ,,FALSE,,"Purpose: Foreign bodies in the upper gastrointestinal tract (GIT) rarely cause urgent problems in gastroenterology. The purpose of the study was to assess the percentage of patients in whom urgent endoscopic investigation revealed true foreign bodies in the upper GIT and to evaluate the success of emergency endoscopic procedures. Methods: The study includes patients in whom urgent endoscopic investigations of the upper GIT were performed in the period 1 January 1994 to 1 May 2008. Results: 8552 patients were investigated, average age 60.6 years (SD17.1 years, range 1106 years), with 3276 (38 %) females and 5276 males (62 %). In 69 patients (0.8 %), true foreign bodies were detected in the esophagus or stomach. In these patients a total of 90 endoscopic investigations were performed: in 65/69 patients (94.2%) the foreign bodies were removed endoscopically; in 4 (5.8 %) cases the endoscopic procedures were unsuccessful. Among the foreign bodies removed were a variety metal or plastic objects, such as coins, keys, screws, hooks, batteries, razor blades, needles, lighters, buttons, and parts of kitchen, toilet or writing utensils. In patients with successful endoscopic removal of the objects, no significant complications were noted. In 4 patients (4/69, 5.8 %) mild hemorrhages from the region of the esophagogastric junction were observed. Conclusion: Endoscopic technologies allow successful removal of a variety of types of foreign bodies from the upper GIT. ",
2008,"Fathi, N.","N Hatim, B Fathi","N Hatim, B Fathi - Al-Rafidain Dental Journal, 2008 - rden.mosuljournals.com",Al-Rafidain Dental Journal,Gag Reflex Reduction In A Patient With Maxillofacial Prosthesis.(A Clinical Report),Aim: the study was dedicated to demonstrate the importance of binding the old concepts of preventingthe gag reflex during the prosthodontic work together with the new advance in the ...,https://rden.mosuljournals.com/index.php/rden/article/view/206,Google Scholar,10.33899/rden.2008.9043,,TRUE,2,"Aim: the study was dedicated to demonstrate the importance of binding the old concepts of preventingthe gag reflex during the prosthodontic work together with the new advance in the concepts, techniques,and materials in this scope.
Materials and Methods: Silicone rubber base impression material (OranwashL, Zhermack, Italy) light, and heavy body was used in the study to take the impression by a newtechnique (cheek bite technique) without the use of a tray, and on incremental basis, which showedmore comfort and better results. The prosthesis given to the patient took advantage of the neutral zoneprinciples, which whenever applied it gives better results, it was hollowed, in addition, the procedurecarried less stimulation to the gag reflex, and more assurance. Results:
The obturator obtained by thetechnique described was larger in size, lighter in weight, and more comfortable, and efficient in functioncompared to the old one ,the entire procedure from the impression taking, to the delivery, and after, carriedless stimulation of the gag reflex, and gave better results. Conclusion: The advance in the prostheticmaterials, and techniques when combined with the available techniques, and information can givebetter results.",
2008,"Al-Ani, A.","A Qureshi, F Al-Ani","A Qureshi, F Al-Ani - ... and Diseases. Amman, Jordan. Dar Ammar ..., 2008 - researchgate.net",... And Diseases. Amman,The Digestive System,"Diseases of the digestive system are of great concern, especially for camels used for racing or draught purposes. These camels do not get enough grazing and bruising time and are fed ...",https://www.researchgate.net/profile/falah-al-ani/publication/256292415_the_digestive_system/links/57831d2008ae01f736e8f532/the-digestive-system.pdf,Google Scholar,None,,TRUE,4,"The primary functions of the alimentary tract are prehension, digestion and absorption of food and water. An abnormality in any one may lead to dysfunction of the normal digestive activities, which may be abnormality of motility, secretion, digestion or absorption.
Diseases of the digestive system are of great concern, especially for camels used for racing or draught purposes. These camels do not get enough grazing and bruising time and are fed on concen-trate. They frequently suffer from diseases of the digestive tract due to overfeeding of grain, ingestion of toxic substances or foreign materials, and parasitism. The manifestation of alimentary dysfunction is generally characterized by anorexia, bloating, abdominal pain, weight loss, dehydra-tion, diarrhea or constipation, and death.",
2008,"Ahmad, E.",ET Ahmad,"ET Ahmad - Laser Therapy, 2008 - jstage.jst.go.jp",Laser Therapy,Hyperbaric Oxygen Therapy Versus Laser Therapy On The Acceleration Of Venous Leg Ulcer Healing,"Venous leg ulcers represent a significant medical, economic and social problem (2). Many ulcers are chronic, having demonstrated poor responses to the conventional therapeutic ...",https://www.jstage.jst.go.jp/article/islsm/17/2/17_2_75/_article/-char/ja/,Google Scholar,10.5978/islsm.17.75,,TRUE,2,"The purpose of the current study was to determine the effectiveness of hyperbaric oxygen therapy(HBOT) or laser therapy in the acceleration of chronic venous ulcer healing. Thirty hospital inpatients with venous ulcers participated in this study for a treatment period of five weeks. They were divided randomly and equally into three groups (2 treatment groups and one control group). Patients in group (1) (HBOT group) received two 90 minutes treatments daily with 2 to3 L of humidified oxygen / minute at 22 mmHg. On the other hand, patients in group (2) (laser therapy group) received 1 J/cm2 infrared laser (Ga As), three times weekly. Patients in group (3) (control group) received standard wound care only. Wound surface area (WSA) and wound volume (WV) were used to measure the outcomes before starting the study and after the 3rd and 5th weeks posttreatment. It was found that, at the 5th week post-treatment there was a significant reduction in both WSA and WV in both the HBOT group and the laser therapy group when compared to the control group (P<0.0001), also there was a significant reduction in WSA and WV in the laser therapy group at the 5th week post-treatment when compared to the HBOT group (P<0.001). The findings strongly suggest that the application of infrared laser therapy at a dose of 1J/cm2, three times/week is more effective than the application of HBOT daily in the management of chronic venous ulcers. ",
2009,"Lobectomy, S.",S Lobectomy,"S Lobectomy - Medical Management of the Thoracic Surgery ..., 2009 - books.google.com",Medical Management of the Thoracic Surgery Patient E-Book: Expert Consult-Online and Print,Wedge Resection,"Therapeutic bronchoscopy consists of airway interventions performed to restore or maintain airway patency, either for palliation or cure of malignant and benign lesions of the upper and ...",https://books.google.lk/books?hl=en&lr=&id=A22RbfxQKqcC&oi=fnd&pg=PP1&dq=Medical+Management+Of+The+Thoracic+Surgery+...+2009&ots=qfnweeRs2Y&sig=GOha---qBfqVIn3x_-6eduCPUA0&redir_esc=y#v=onepage&q=Medical%20Management%20Of%20The%20Thoracic%20Surgery%20...%202009&f=false,Google Scholar,None,,TRUE,,Abstract not available,
2010,"Kleiman..., B.","B Joseph, J Antrim, DG Kleiman...","B Joseph, J Antrim, DG Kleiman... - Wild mammals in ..., 2010 - books.google.com",Wild Mammals In ...,Special Considerations For The Maintenance Of Marine Mammals In Captivity,"Marine mammals are a unique group of warm-blooded animals that, with the exception of a few freshwater species, make their living from the sea. However, marine mammals did not ...",https://books.google.com/books?hl=en&lr=&id=a1vev5hf7o8c&oi=fnd&pg=pa181&dq=%0a++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)%0a++++++++++++++++++++++++and%0a++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)%0a++++++++++++++++++++++++&ots=ocak4ehb_n&sig=kpmgjufub-jij8fpgnhzlsh3190,Google Scholar,None,,TRUE,4,"Zoos, aquaria, and wildlife parks are vital centers of animal conservation and management. For nearly fifteen years, these institutions have relied on Wild Mammals in Captivity as the essential reference for their work. Now the book reemerges in a completely updated second edition. Wild Mammals in Captivity presents the most current thinking and practice in the care and management of wild mammals in zoos and other institutions. In one comprehensive volume, the editors have gathered the most current information from studies of animal behavior; advances in captive breeding; research in physiology, genetics, and nutrition; and new thinking in animal management and welfare.

In this edition, more than three-quarters of the text is new, and information from more than seventy-five contributors is thoroughly updated. The standard text for all courses in zoo biology, Wild Mammals in Captivity will, in its new incarnation, continue to be used by zoo managers, animal caretakers, researchers, and anyone with an interest in how to manage animals in captive conditions. ",
2011,"Hsu..., M.","MD Catherine Lewis, HK Hsu...","MD Catherine Lewis, HK Hsu... - Journal of the National ..., 2011 - search.proquest.com",Journal Of The National ...,Aspiration Of Foreign Bodies In Adults With Personality Disorders: Impact On Diagnosis And Recurrence,"Most cases of foreign-body aspiration are accidental events in children, whereas the majority of adults will have neurological dysfunction, trauma, alcohol abuse, or psychological ...",https://search.proquest.com/openview/815872143532a70e197510bb0f49cc93/1?pq-origsite=gscholar&cbl=36588,Google Scholar,10.1016/s0027-9684(15)30390-4 ,,FALSE,,"Most cases of foreign-body aspiration are accidental events
in children, whereas the majority of adults will have neu-
rological dysfunction, trauma, alcohol abuse, or psycho-
logical disorders. 1 Much has been written about psychiat-
ric patients engaging in self-mutilation such as cutting and
burning, but little is recorded about deliberate aspiration of
objects in these patients, who clinically can be separated
into 4 groups: (1) malingering, (2) psychosis, (3) pica, and (4)
personality disorders. The immediate psychological gain for
these patients is unclear, as the act is insidious with no evi-
dence of intentional harm or immediate danger. Thus, they
are considered as being parasuicidal events designed to
diminish other psychological processes. 2 Aspirated objects
that are not immediately dislodged by coughing, chok-
ing, or gagging require surgical intervention. Most of these
patients usually come to the attention of a psychiatrist, but
such intervention does not prevent recurrences. We discuss
a schizophrenic patient who aspirated multiple coins while
under psychiatric treatment for prior episodes of aspiration
of coins, ingestion of objects, and insertion of others in his
urethra and rectum, while also reviewing some of the diag-
nostic and therapeutic challenges inherent in the manage-
ment of these patients.",
2011,"King, J.","JKS Woo, WWK King","JKS Woo, WWK King - Fundamentals of Surgical Practice, 2011 - books.google.com",Fundamentals Of Surgical Practice,Fundamentals Of Head And Neck Surgery,"Preauricular sinus is a common congenital condition; there is no requirement for treatment unless it becomes infected (Figure 18.1). It may then present with pain, swelling and discharge...","https://books.google.lk/books?hl=en&lr=&id=3wcyaNS3z_gC&oi=fnd&pg=PA306&dq=+Fundamentals+of+Surgical+Practice,+2011+Woo+king&ots=0Vc1Zb9Jb8&sig=TpHeBERs8OIkzOSZnPqEudFKb3M&redir_esc=y#v=onepage&q=Fundamentals%20of%20Surgical%20Practice%2C%202011%20Woo%20king&f=false",Google Scholar,None,,TRUE,2,Fundamentals of head and neck surgery,
2012,"Pappas..., E.","EG Chekan, TN Pappas...","EG Chekan, TN Pappas... - Surgery: Basic Science ..., 2012 - books.google.com",Surgery: Basic Science ...,Of Minimally,"The historical development of laparoscopy can be traced to early in the nineteenth century when, using reflected candlelight, Bozzini, an Italian physician living in Germany, first ","https://www.google.lk/books/edition/Surgery/cs6O3QIwrKcC?hl=en&gbpv=1&dq=The+historical+development+of+laparoscopy+can+be+traced+to+early+in+the+nineteenth+century+when,+using+reflected+candlelight,+Bozzini,+an+Italian+physician+living+in+Germany,+first+...&pg=PA771&printsec=frontcover",Google Scholar,None,,TRUE,5,"The historical development of laparoscopy can be
traced to early in the 19th century when Bozzini, an Italian physician living in Germany, first examined the abdominal cavity using reflected candlelight.' In 1901, George Kelling, a German, described the establishment of a pneumoperitoneum (PNP) and trocar placement through which a cystoscope was placed. In the early 1930s throughout Europe, modern laparoscopy was popularized by Kalk, who used room air to create a PNP. 2,3
Laparoscopy was initially
applied in gynecological procedures, and it was not until 1991 that general surgeons began to take notice when Muhe introduced the first laparoscopic cholecystectomy (LC)
1n
Germany.
4",
2012,"Marwat, K.","K Iqbal, MI Khan, M Marwat","K Iqbal, MI Khan, M Marwat - Gomal Journal of Medical Sciences, 2012 - gjms.com.pk",Gomal Journal Of Medical Sciences,Esophageal Foreign Bodies: Experience With Rigid Esophagoscopy At Dera Ismail Khan,Background: Foreign body ingestion is a common presenting problem in our society. Rigid esophagoscopy for extraction of ingested foreign bodies is the recommended treatment. The ...,http://gjms.com.pk/index.php/journal/article/view/257,Google Scholar,None,,FALSE,,"Background: Foreign body ingestion is a common presenting problem in our society. Rigid esophagoscopy for extraction of ingested foreign bodies is the recommended treatment. The purpose of this study was to present our experience with rigid esophagoscopy in removal of esophageal foreign bodies.

Material & Methods: This descriptive study was carried out from 1st January 2007 to 31st December 2011, in Department of ENT, Head & Neck Surgery, DHQ Teaching Hospital, D.I.Khan. One hundred and fifty five patients with suspected esophageal foreign bodies, irrespective of age and gender were included in the study. Rigid esophagoscopy under general anesthesia was performed by experienced ENT consultant. Each patient was studied for age, gender, symptomatology, site of impaction, type of foreign body extracted, and complications encountered. All patients were observed for 24 hours in the ward after procedure.

Results: A total of 155 suspected cases of esophageal foreign bodies were managed successfully, comprising 97(62.6%) males and 58(37.4%) females. Mean age of the patients was 32.55+26.66, range1-80 years. Dysphagia was the major complaint 131(84.5%) by these patients. Coins were the predominant FB in children 64(41.3%), while meat bolus 38(24.5%), fish bones 12(7.75%), chicken bones 9(9.5%) and dentures 14(9.05%) were predominant in adult population. Most of the objects 98(63.22%) were lodged in upper esophagus. No mortality encountered in our series.",
2012,"Yung, K.","KC Huoh, KC Yung","KC Huoh, KC Yung - Otolaryngology, 2012",Otolaryngology,Retained Denture In Oropharynx,,None,Google Scholar,None,,TRUE,1,Abstract not available,
2012,"Kurtz..., N.","N Sonpal, R Taunk, A Randhawa, L Kurtz...","N Sonpal, R Taunk, A Randhawa, L Kurtz... - Official journal of the ..., 2012 - journals.lww.com",Official Journal Of The ...,Diagnosis Of Retroperitoneal Metastatic Malignant Melanoma By Eus-Guided Fna: A Rare Finding Diagnosed By A Novel Modality: 1386,"Purpose: Malignant melanoma is a neoplasm which originates from melanocytes. Thought it is a rare form of skin cancer there are about 160,000 new cases of melanoma yearly ...",https://journals.lww.com/ajg/fulltext/2012/10001/diagnosis_of_retroperitoneal_metastatic_malignant.1386.aspx,Google Scholar,10.14309/00000434-201210001-01386,,TRUE,2,"Purpose: Malignant melanoma is a neoplasm which originates from melanocytes. Thought it is a rare form of skin cancer there are about 160,000 new cases of melanoma yearly worldwide. More than 53,000 people in the United States are diagnosed with melanoma every year. It is currently the fastest growing cancer, both in the U.S. and worldwide. We present a case of a patient with metastatic malignant melanoma presenting as an infiltrating mass into the duodenum from the retroperitoneal space. A 77 year old male presented with fatigue and weight loss over the course of the preceding several months. The patient's past medical history was only significant for hyperlipidemia and BPH. The patient states that he has lost 40 lbs over the previous 1-2 months prior to admission. Physical exam was benign except for a palpable mass and guaiac testing was positive. The patient had a CT scan which demonstrated large complex lobulated mass in the sub-hepatic space measuring approximately 14.7 _ 14.1 _ 10.8 cm. The patient's labs demonstrated hemoglobin of 7.9, and the patient was transfused and taken for upper endoscopy. On esophagogastroduodenoscopy (EGD) neoplastic lesions were noted to infiltrate the dudodenal bulb. Endoscopic ultrasound-guided fine-needle aspiration demonstrated a hetergoenous mass with both hypo/hyperechoic features. The biopsy showed malignant cells most in architecture to melanoma. Immuno-histochemical studies performed on the cell block demonstrated positive staining of the tumor cells for vimentin, HMB45, melan-A, and focally for S100. Stains for mixed cytokeratins, smooth muscle actin, and CD34 are negative in the tumor cells. The final diagnosis of malignant melanoma was subsequently made. The patient was referred for surgical evaluation. Metastatic retroperitoneal lesions resulting from melanoma is an extremely rare finding and EUS-FNA is a novel method for diagnosing metastatic lesions. EUS-FNA has been shown to be a safe and reliable modality for obtaining definitive histological diagnosis. When it is compared with the traditional diagnostic modalities, it is not only more accurate than imaging studies such as computerized tomography, positron emission tomography, and magnetic resonance imaging, but it is also a very safe procedure with fewer complications than transcutaneous biopsies. Clinicians should be aware of this imaging modality and consider its employment when applicable.",
