id,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude_JGE,Reason_ID_JGE,Exclude_MS,Reason_ID_MS,Exclude_GC,Reason_ID_GC,Review_GC,Comments_GC,Exclude_FINAL,Reason_ID_FINAL
113,2008,"Sakellaridis, T.","Sakellaridis, Timothy; Potaris, Konstantinos; Mallios, Dimitrios; Sepsas, Evangellos",Annals Of Thoracic Surgery,,PubMed,10.1016/j.athoracsur.2007.07.027,,An Unusual Case Of A Swallowed Thermometer Perforated In The Mediastinum,"A 39-Year-Old Woman, Who Was Addicted To Drugs, Was Admitted Because Of Referred Chest Pain And Dysphagia After Deliberate Ingestion Of A Thermometer In A Suicide  Attempt 6 Hours Earlier. Rigid Esophagoscopy Was Unrevealing. On Awakening, The  Patient Confessed That The Thermometer Had Been Swallowed More Than A Month Be  Operated On And Get Narcotic Pain Medications. Her History Disclosed Multiple  Admissions And Laparotomies After Suicide Attempts With Swallowed Thermometers In  The Last 3 Years.",,False,,,,,,,,False,
114,2008,"Stenz, V.","Stenz, Volker; Thurnheer, Robert; Widmer, Fritz; Krause, Martin",Therapeutische Umschau. Revue Therapeutique,,PubMed,10.1024/0040-5930.65.12.699,,Foreign Body Stories,"Gastrointestinal And Bronchial Foreign Bodies May Cause Significant Clinical Complications With A High Degree Of Morbidity. In Adults, A Large Variety Of  Foreign Bodies Are Accidentally Or Intentionally Ingested, Inserted Or Aspirated.  In The Majority Of Cases, The Objects Are Expelled Conservatively By Coughing,  Vomiting Or Bowel Movements. The Risk For Obstruction, Perforation And  Penetration Depends Upon The Type Of Object, Those With Sharp Edges Or Tips  Having The Highest Risk. In These Situations, The Objects Have To Be Removed By  An Endoscopic Or An Operative Intervention. We Present Four Foreign Body Stories  Including A Young Lady Who Swallowed A Pen During Sleep, A Farmer Who Inserted A  Corncob Into The Rectum Because Of Intractable Diarrhoea, An Elderly Gentleman  Who Aspirated A Dental Bridge While Laughing And A Cocain Body Packer Who Was  Caught At The Border. Back Ground, Complications And Removal Procedures Of The  Four Cases Are Discussed.",,False,,,,,,,,False,
117,2008,"Ćeranić, P.","P Skok, A Ocepek, D Ćeranić",Acta Medico-Biotechnica,"P Skok, A Ocepek, D Ćeranić - Acta medico-biotechnica, 2008 - journals.um.si",Google Scholar,10.18690/actabiomed.6 ,https://journals.um.si/index.php/amb/article/view/1293,The Role Of Emergency Endoscopy In Upper Git Foreign Body Extraction,Purpose: Foreign Bodies In The Upper Gastrointestinal Tract (Git) Rarely Cause Urgent Problems In Gastroenterology. The Purpose Of The Study Was To Assess The Percentage Of Patients In ...,"Purpose: Foreign bodies in the upper gastrointestinal tract (GIT) rarely cause urgent problems in gastroenterology. The purpose of the study was to assess the percentage of patients in whom urgent endoscopic investigation revealed true foreign bodies in the upper GIT and to evaluate the success of emergency endoscopic procedures. Methods: The study includes patients in whom urgent endoscopic investigations of the upper GIT were performed in the period 1 January 1994 to 1 May 2008. Results: 8552 patients were investigated, average age 60.6 years (SD17.1 years, range 1106 years), with 3276 (38 %) females and 5276 males (62 %). In 69 patients (0.8 %), true foreign bodies were detected in the esophagus or stomach. In these patients a total of 90 endoscopic investigations were performed: in 65/69 patients (94.2%) the foreign bodies were removed endoscopically; in 4 (5.8 %) cases the endoscopic procedures were unsuccessful. Among the foreign bodies removed were a variety metal or plastic objects, such as coins, keys, screws, hooks, batteries, razor blades, needles, lighters, buttons, and parts of kitchen, toilet or writing utensils. In patients with successful endoscopic removal of the objects, no significant complications were noted. In 4 patients (4/69, 5.8 %) mild hemorrhages from the region of the esophagogastric junction were observed. Conclusion: Endoscopic technologies allow successful removal of a variety of types of foreign bodies from the upper GIT. ",False,,,,,,,,False,
119,2008,"Pavlidis, T.","Pavlidis, Theodoros E.; Marakis, Georgios N.; Triantafyllou, Apostolos; Psarras, Kyriakos; Kontoulis, Theodoros M.; Sakantamis, Athanasios K.","Surgical Laparoscopy, Endoscopy & Percutaneous Techniques",,PubMed,10.1097/sle.0b013e31816b78f5,,Management Of Ingested Foreign Bodies. How Justifiable Is A Waiting Policy?,"Foreign Body Ingestion Is A Commonly Seen Accident In Emergencies, Usually In Children (80%), Elderly, Mentally Impaired, Or Alcoholic Individuals, Whereas It  May Occur Intentionally In Prisoners Or Psychiatric Patients. According To The  Literature, 90% Of Ingested Foreign Bodies Pass Through The Gastrointestinal  Tract Without Complications, 10% To 20% Necessitate Endoscopic Removal, Whereas  Only 1% Of Them Will Finally Need Surgical Intervention. In Clinical Practice, We  Often Face The Dilemma Of Choosing The Appropriate Treatment Modality. We Present  13 Cases Treated In Our Department, Emphasizing In A ""Waiting And Close  Observation"" Policy. Among These Cases, Only 1 Patient Needed To Be Operated  Because Of Obstruction Of Ileocecal Valve By A Large Coin. Indications For  Treatment Where Applicable Are Also Being Discussed.",,False,,,,,,,,False,
122,2008,"Illenyi, J.","J Hirschberg, T Szende, P Koltai, A Illenyi",,"J Hirschberg, T Szende, P Koltai, A Illenyi - 2008 - books.google.com",Google Scholar,,"https://books.google.lk/books?hl=en&lr=&id=Z1o0BwAAQBAJ&oi=fnd&pg=PP6&dq=Pediatric+Airway:+Cry,+Stridor+And+Cough+j+hirschberg+2008&ots=j7TIkY1H4P&sig=t7SaVzYXCdSD6vI1yei-Osl89bk&redir_esc=y#v=onepage&q=Pediatric%20Airway%3A%20Cry%2C%20Stridor%20And%20Cough%20j%20hirschberg%202008&f=false","Pediatric Airway: Cry, Stridor And Cough","This Multidisciplinary Book Describes 42 Different Pathological Sounds, Occurring In Different Combinations, In 54 Different Pathological Conditions. Uniquely, While Recognizing The ...",Abstract not available,False,,,,,,,,False,
123,2008,"Pathare, S.",Ss Pathare,Pediatric Hospital Medicine: Textbook of Inpatient Management,"SS PATHARE - Pediatric Hospital Medicine: Textbook of Inpatient ..., 2008 - books.google.com",Google Scholar,,https://books.google.lk/books?hl=en&lr=&id=sV6-ifUGoMYC&oi=fnd&pg=PA238&dq=SS+PATHARE+foreign+body&ots=27NWDtYLdX&sig=lyNgKqwWLSDWleB_MDHyE3k6ZKQ&redir_esc=y#v=onepage&q&f=false,B Foreign Body Ingestion,Foreign Body Ingestion Is A Very Common Pediatric Problem. Most Ingestions Occur In Children Under The Age Of 4 Years. The Majority Of Ingested Foreign Bodies (Up To 80% To 90%) Are ...,"Now in its Second Edition, this text focuses exclusively on the management of hospitalized pediatric patients from admission to discharge. It is an excellent resource for residency programs, hospitalist fellowships, and continuing education for physicians whose practice includes the management of hospitalized newborns and children. Because pediatric hospital care is provided by a wide variety of healthcare professionals and in many different hospital settings, this text provides a framework for unified management and effective and efficient care. This edition includes new sections on emergency medicine and psychiatric hospitalization and expanded coverage of management of children with complex and chronic conditions.",False,,,,,,,,False,
124,2008,"Grisel, J.","Grisel, Jedidiah J.; Richter, Gresham T.; Casper, Keith A.; Thompson, Dana M.",International Journal Of Pediatric Otorhinolaryngology,,PubMed,10.1016/j.ijporl.2008.01.015,,Acquired Tracheoesophageal Fistula Following Disc-Battery Ingestion: Can We Watch And Wait?,"Acquired Tracheoesophageal Fistulas (Tef) Are Rare But Dangerous Complications Of Disc-Battery Ingestion. Management Approaches Include Endoscopic Or Open Surgical  Repair. Unfortunately, These Procedures Can Be Complicated By High Rates Of  Recurrent Laryngeal Nerve Injury, Tracheal Stenosis, Recurrent Fistula And  Significant Patient Mortality. Thus, Several Authors Have Advocated The Use Of  Esophageal Rest As Conservative Management Of Acquired Tef To Permit Closure By  Secondary Intention. This Study Describes A Patient With Spontaneous Closure Of  An Acquired Tef Following Disc-Battery Ingestion. The Late Recurrence Of The Tef  Following Conservative Management, And Endoscopic And Radiographic Evidence Of  Closure, Illustrates The Importance Of Long Term Evaluation Before Assuming  Fistula Resolution. Practitioners Must Carefully Weigh The Risks And Benefits  Before Deciding Surgical Versus Conservative Management Of Tef. An Extended  Follow-Up Of At Least 6 Months Should Be Instituted With A High Index Of  Suspicion If Conservative Management Is Utilized. Transtracheal Repair Using An  Imbricated Suture Technique Is A Good Surgical Option When Conservative  Management Fails.",,False,,,,,,,,False,
130,2009,"Schrom, T.","Schrom, T.; Amm, S.",Laryngo- Rhino- Otologie,,PubMed,10.1055/s-0028-1100381,,Unusual Case Of Oesophageal Foreign Body As Part Of A Self-Harm Syndrome,"Introduction: Foreign Bodies In The Oesophagus Represent A Frequent Emergency Situation In Ent Medicine. Usually The Cases Involve Lumps Of Meat, Bones, Shards  Of Glass, Bottle Tops, Batteries Or Dentures. We Would Like To Report About An  Unusual Foreign Body Found In The Oesophagus. Patient: A 45-Year-Old Patient  Presented Himself In Our Interdisciplinary Casualty Department Where He Claimed  To Have Swallowed A Butter-Knife That Morning As A Bet. The Ent Examination  Showed No Abnormal Findings. The Thorax X-Ray Revealed A 14 Cm-Long Foreign Body  In Projection To The Oesophagus, Which Matched The Knife. Following Consultation  With The Thorax Surgeon, A Rigid Oesophagoscopy Was Conducted Under Endotracheal  Intubation And The Knife Was Easily Removed Using Tongs. Archive Searches  Conducted In The Meantime Showed That Foreign Bodies Had Been Removed From The  Patient On Numerous Occasions By Fellow Surgeons Either Laparoscopically Or Via  Open Surgery. As A Result, The Patient Was Transferred To The Psychiatric Ward  With Unimpeded Swallowing Reflex With A Suspected Self-Harming Syndrome.  Discussion: As An Ent Emergency, A Foreign Body In The Oesophagus Generally  Requires Intervention Because Of The Risk Of Complications Such As Perforation Or  Pressure-Induced Necrosis Of The Oesophagus Wall With Resulting Mediastinitis.  Suitable Instruments Are The Flexible Oesophagoscope, The Rigid Oesophagoscope  Under Anaesthesia Or Transcervical/Transthoracic Removal. The Choice Of Procedure  Crucially Depends On The Type And Localisation Of The Foreign Body In The  Oesophagus. Particularly In Cases Of Unusual Foreign Objects Or Repeated Foreign  Object Ingestion, It Should Be Considered Whether A Psychological Illness Could  Be The Cause And Whether The Introduction Of Appropriate Therapy Could Be  Expedient.",,False,,,,,,,,False,
131,2009,"Palta, R.","Palta, Renee; Sahota, Amandeep; Bemarki, Ali; Salama, Paul; Simpson, Nicole; Laine, Loren",Gastrointestinal Endoscopy,,PubMed,10.1016/j.gie.2008.05.072,,Foreign-Body Ingestion: Characteristics And Outcomes In A Lower Socioeconomic Population With Predominantly Intentional Ingestion,"Background: Previous Reports Of Foreign-Body Ingestions Focused Primarily On Accidental Ingestions. Objective: To Describe The Characteristics And Management  Of Foreign-Body Ingestions, With Predominantly Intentional Ingestion, In A Lower  Socioeconomic Status Population. Design: A Retrospective Case Series. Setting: An  Urban County Hospital. Patients: Patients >/=17 Years Old, With Foreign-Body  Ingestions Between 2000 And 2006. Main Outcome Measurements: Characteristics Of  Ingestion Cases, Endoscopic Extraction, Need For Surgery, And Complications.  Results: Among 262 Cases, 92% Were Intentional, 85% Involved Psychiatric  Patients, And 84% Occurred In Patients With Prior Ingestions. The Time From  Ingestion To Presentation Was >48 Hours In 168 Cases (64%). The Overall Success  Rate For Endoscopic Extraction Was 90% (165/183 Cases). Surgery Was Performed In  30 Cases (11%) And Was More Common For Objects Beyond The Pylorus Versus Objects  Above The Pylorus (16/43 [37%] Vs 10/151 [7%], Respectively) And In Cases With A  Greater Delay From Ingestion To Presentation (25/168 [15%] If >48 Hours Vs 4/77  [5%] If </=48 Hours) And From Presentation To Intervention (15/40 [38%] If >48  Hours Vs 14/165 [8%] If </=48 Hours). Perforation Occurred In 16 Cases (6%), With  6 Perforations Noted After Endoscopy. Limitation: A Retrospective Review Of  Medical Records. Conclusions: Foreign-Body Ingestions In An Urban County Hospital  Occurred Primarily In Psychiatric Patients Who Had Repeated Episodes Of  Intentional Ingestions. Endoscopic Extraction Was Unsuccessful In 10% Of Cases.  Long Delays From Ingestion To Presentation And Intervention May Account For  Relatively High Rates Of Surgery And Perforation. Strategies To Prevent  Ingestions And Delays In Endoscopic Management Are Needed In This Population.",,False,,,,,,,,False,
133,2009,"Luk, W.","Luk, W.-H.; Fan, W. C.; Chan, R. Y. Y.; Chan, S. W. W.; Tse, K. H.; Chan, J. C. S.",Journal Of Laryngology And Otology,,PubMed,10.1017/s0022215108004118,,Foreign Body Ingestion: Comparison Of Diagnostic Accuracy Of Computed Tomography Versus Endoscopy,"Purpose: To Investigate And Compare The Sensitivity And Specificity Of Computed Tomography And Of Endoscopy, As Diagnostic Tests For Foreign Body Ingestion.  Materials And Methods: Over A Two-Year Period, Asian Patients With Suspected  Foreign Body Ingestion Were Studied. The Clinical Findings, Computed Tomography  Images, Endoscopic Results, Treatment And Outcomes Were Prospectively Analysed.  Results: Over The Study Period, 193 Patients Were Admitted For Foreign Body  Ingestion, Complaining Of A Persistent Foreign Body Sensation In The Neck. The  Sensitivity And Specificity Of Computed Tomography Were 78 And 96 Per Cent,  Respectively; The Positive Predictive Value Was 75 Per Cent And The Negative  Predictive Value 97 Per Cent. The Diagnostic Accuracy Of Computed Tomography Was  94 Per Cent. Conclusion: Our Study Showed That Computed Tomography Had High  Negative Predictive Value And Accuracy In The Diagnosis Of Foreign Body  Ingestion. It Was Useful If Endoscopy Showed Negative Findings But The Patient  Still Had Persistent Symptoms Of Foreign Body Ingestion.",,False,,,,,,,,False,
138,2010,"Islam, S.","Islam, Sameer R.; Islam, Ebtesam A.; Hodges, David; Nugent, Kenneth; Parupudi, Sreeram",World Journal Of Gastrointestinal Endoscopy,,PubMed,10.4253/wjge.v2.i5.186,,Endoscopic Removal Of Multiple Duodenum Foreign Bodies: An Unusual Occurrence,"Deliberate Single Foreign Body Ingestion Is A Scenario That Many Gastroenterologists Commonly See In Psychiatric Units And Prisons. However,  Multiple Foreign Body Ingestions, Especially Located In The Duodenum, Provide The  Endoscopist With Unique Challenges For Management And Treatment. Although Most  Foreign Objects Pass Spontaneously, One Should Have A Low Threshold Of  Intervention For Multiple Objects, Especially Those That Are Wide, Sharp And At  Risk Of Perforation. Diagnosis Is Typically Made When There Is A History Of  Ingestion Coupled With Corresponding Radiographic Verification. The Symptoms Tend  To Be Non-Specific Although Some Patients Are Able To Delineate Where The  Discomfort Level Is, Correlating With The Site Of Impaction. Most Foreign Bodies  Pass Spontaneously; However When Multiple Sharp Objects Are Ingested, The  Gastroenterologist Should Perform Endoscopic Procedures To Minimize The Risks Of  Bowel Perforation. We Describe Here A Successful Case Of Multiple Ingested  Foreign Bodies Retrieved Across The C-Loop Of The Duodenum And The  Pharynges-Esophageal Curve Via Endoscopy And Review The Literature Of Multiple  Foreign Body Ingestion.",,False,,,,,,,,False,
139,2010,"Huang, B.","Huang, Brian L.; Rich, Harlan G.; Simundson, Susan E.; Dhingana, Mukesh K.; Harrington, Colin; Moss, Steven F.",Clinical Gastroenterology And Hepatology : The Official Clinical Practice Journal Of The American Gastroenterological Association,,PubMed,10.1016/j.cgh.2010.07.013,,Intentional Swallowing Of Foreign Bodies Is A Recurrent And Costly Problem That Rarely Causes Endoscopy Complications,"Background & Aims: Guidelines Support Endoscopic Removal Of Certain Gastric Foreign Bodies (Fbs) And All Fbs Lodged In The Esophagus. We Studied The Poorly  Understood Group Of Patients Who Intentionally Ingest Fbs. Methods: Cases Of  Intentional Ingestion Of Fbs (N = 305) Were Identified, Retrospectively, From An  Electronic Endoscopy Database And Followed. Cases Occurred Among 33 Different  Patients, Who Underwent Endoscopy From October 1, 2001, To July 31, 2009 (39.0  Cases/Year); 79% Were Diagnosed With A Psychiatric Disorder. Financial Cost  Analysis Was Performed Using Hospital Billing And Cost Systems. Results: Commonly  Ingested Fbs Included Pens (23.6%), Batteries (9.2%), Knives (7.2%), And Razor  Blades (6.9%). Most Endoscopic Procedures Were Performed Under General  Anesthesia. Fbs Were Commonly Retrieved By Snares (58.0%), Rat-Toothed Forceps  (14.4%), And Nets (11.5%), Assisted Sometimes By Use Of Overtubes (10.8%), And  Hoods (4.6%). Fb Extraction Was Unsuccessful At The Initial Endoscopy In Only 20  Cases; 2 Cases Eventually Required Surgical Extraction. Minor Complications  Occurred In 11 Endoscopies. There Were No Deaths Or Perforations. The Total  Estimated Costs Were $2,018,073 ($1,500,627 In Hospital Costs, $240,640 In  Physician Fees, And $276,806 For Security Services). Costs Were Significantly  Higher For Inpatients. Major Payers Were Medicare (48%) And Medicaid (31%).  Conclusions: Intentional Fb Ingestion Occurs Among A Relatively Small Number Of  Patients With Psychiatric Disorders And Is Costly. Endoscopic Retrieval Is  Relatively Effective And Safe, But Often Requires General Anesthesia. These Cases  Utilize Significant Hospital And Fiscal Resources. Attention Should Be Focused On  Preventing These Recurrent And Costly Episodes.",,False,,,,,,,,False,
141,2010,"Chan, K.","Chan, Kim Weng",Journal Of Clinical Medicine Research,,PubMed,10.4021/jocmr2009.11.1271,,An Unusual Case Of Foreign Body In The Anterior Abdominal Wall,"Accidental Or Intentional Ingestion Of Sharp Metallic Foreign Bodies Is A Common Clinical Occurrence. Predisposing Factors Include Excessive Alcohol Intake,  Mental Impairment And Psychiatric Illnesses. Usually, The Detection Of A  Migratory Foreign Body Is Incidental When Patients Present With Unrelated  Symptoms. A 50-Year-Old Woman Attended The Surgical Outpatient Clinic With A  Foreign Body In The Anterior Abdominal Wall. A Foreign Body Was Easily Palpable  On The Right Upper Quadrant Of Abdomen. Patient Was Admitted Electively And Taken  To Theatre For Removal Of Foreign Body Under General Anaesthesia. Patient Made An  Uneventful Recovery And Was Discharged With No Further Follow-Up. Keywords:  Foreign Body; Abdomen; Ingestion; Perforation.",,False,,,,,,,,False,
142,2010,"Biswas, D.","Biswas, D; Majumdar, S; Ray, J; Bull, P",Journal Of Laryngology And Otology,,Web of Science,10.1017/s0022215110001040,,Tracheoesophageal Fistula Secondary To Chemical Trauma: Is There A Place For Planned Conservative Management?,"Objective: We Present A Unique Case In Which Closure Of A Large Tracheoesophageal Fistula Was Achieved With Planned Conservative Management Method: The Literature Was Reviewed For Other Documented Cases Of Spontaneous Closure Of Traumatic Tracheoesophageal Fistula. Results: Acquired Tracheoesophageal Fistula May Result Secondary To A Chemical Burn From An Alkaline Disc Battery Impacted In The Oesophagus. Particularly When The Presentation. And Thus Diagnosis, Are Delayed This Condition Is Rare. The Majority Of Such Cases Occur In Children, And Are Conventionally Managed With Surgical Repair We Found Only Three Previously Reported Cases In Which Conservative Management Was Attempted. Conclusion: Non-Interventional Management Should Be Tried Initially For The Management Of Paediatric Acquired Tracheoesophageal Fistula, To Permit Closure By Secondary Intention",,False,,,,,,,,False,
144,2011,"Lewis, C.","Lewis, Catherine; Hsu, Hwei-Kang; Hoover, Eddie",Journal Of The National Medical Association,,PubMed,10.1016/s0027-9684(15)30390-4,,Aspiration Of Foreign Bodies In Adults With Personality Disorders: Impact On Diagnosis And Recurrence,"Most Cases Of Foreign-Body Aspiration Are Accidental Events In Children, Whereas The Majority Of Adults Will Have Neurological Dysfunction, Trauma, Alcohol Abuse,  Or Psychological Disorders. Much Has Been Written About Psychiatric Patients  Engaging In Self-Mutilation Such As Cutting And Burning, But Little Is Recorded  About Deliberate Aspiration Of Objects In These Patients, Who Clinically Can Be  Separated Into 4 Groups: (1) Malingering, (2) Psychosis, (3) Pica, And (4)  Personality Disorders. The Immediate Psychological Gain For These Patients Is  Unclear, As The Act Is Insidious With No Evidence Of Intentional Harm Or  Immediate Danger. Thus, They Are Considered As Being Parasuicidal Events Designed  To Diminish Other Psychological Processes. Aspirated Objects That Are Not  Immediately Dislodged By Coughing, Choking, Or Gagging Require Surgical  Intervention. Most Of These Patients Usually Come To The Attention Of A  Psychiatrist, But Such Intervention Does Not Prevent Recurrences. We Discuss A  Schizophrenic Patient Who Aspirated Multiple Coins While Under Psychiatric  Treatment For Prior Episodes Of Aspiration Of Coins, Ingestion Of Objects, And  Insertion Of Others In His Urethra And Rectum, While Also Reviewing Some Of The  Diagnostic And Therapeutic Challenges Inherent In The Management Of These  Patients.",,False,,,,,,,,False,
145,2011,"Tripathi, T.","Tripathi, Tulika; Rai, Priyank; Singh, Harpreet","American Journal Of Orthodontics And Dentofacial Orthopedics : Official Publication Of The American Association Of Orthodontists, Its Constituent  Societies, And The American Board Of Orthodontics",,PubMed,10.1016/j.ajodo.2009.04.026,,Foreign Body Ingestion Of Orthodontic Origin,"Foreign Bodies In The Ear, Nose, And Throat Are Commonly Seen In Family Medicine, Usually In Children. Occasionally, Orthodontic Appliances Or Parts Of Orthodontic  Appliances Are Accidentally Swallowed And Have Caused Problems With Either The  Airway Or The Gastrointestinal Tract. The Purposes Of This Article Were To  Describe The Type Of Appliances Most Likely To Cause Problems And To Discuss  Their Clinical Management. The Case Of A Patient Who Swallowed A Key For Turning  Fixed Expansion Appliances Is Presented. The Key Became Lodged In The Patient'S  Pharynx But Subsequently Passed Through The Gastrointestinal Tract. Suggestions  Are Made To Prevent The Problems That Were Encountered In This Case And Others  Reported In The Literature In Orthodontic Patients.",,False,,,,,,,,False,
146,2011,"Tihan, D.","Tihan, D; Trabulus, D; Altunkaya, A; Karaca, S; Cihan, A; Alis, H",Turkish Journal Of Gastroenterology,,Web of Science,10.4318/tjg.2011.0290,,Esophageal Perforation Due To Inadvertent Swallowing Of A Dental Prosthesis,"Intentional Or Inadvertent Swallowing Of Foreign Bodies Can Lead To Severe Complications In The Gastrointestinal Tract, Primarily In The Esophagus, And Requires An Urgent Approach. In Children, Coins Are The Most Commonly Seen Foreign Bodies In The Esophagus. However, In Adults, The Solid Components Of Meals, Like Bones, And In The Elderly Population Dental Prostheses Are The Most Frequently Observed Ingested Foreign Bodies. Even Though A Swallowed Dental Prosthesis Is Usually Seen As A Geriatric Problem, Esophageal Obstruction And/Or Perforation Can Occur In Any Denture User In Any Age Group. Thus, The Aim Of This Report Was To Present One Of These Interesting Cases Of Esophageal Perforation Due To A Partial Denture Ingestion And Its Treatment In A 32-Year-Old Male.",,False,,,,,,,,False,
147,2011,"Sunkaraneni, V.","Sunkaraneni, Vs; Jones, Sem",Cochrane Database Of Systematic Reviews,,Cochrane,10.1002/14651858.cd005606.pub2,,Topical Anaesthetic Or Vasoconstrictor Preparations For Flexible Fibre‐Optic Nasal Pharyngoscopy And Laryngoscopy,"Abstract - Background Nasal Pharyngolaryngoscopy (Npl) Is Performed As An Outpatient And Inpatient Procedure On A Daily Basis, For A Variety Of Indications. It Frequently Causes Some Degree Of Discomfort To The Patient. Various Different Topical Agents, Which Are Intended To Reduce This Discomfort, Are In Common Use. This Review Aimed To Assess The Effectiveness Of The Various Agents. Objectives To Assess The Effectiveness Of Topical Preparations Used To Reduce Discomfort And Facilitate Npl In Adults. Search Methods We Searched The Cochrane Ear, Nose And Throat Disorders Group Trials Register; The Cochrane Central Register Of Controlled Trials (Central); Pubmed; Embase; Cinahl; Web Of Science; Biosis Previews; Cambridge Scientific Abstracts; Isrctn And Additional Sources For Published And Unpublished Trials. The Date Of The Most Recent Search Was 14 April 2010. Selection Criteria Randomised Controlled Trials (Rcts) Looking At The Effect Of Topical Anaesthetic Or Vasoconstrictor Agents Used Reduce Discomfort And Facilitate Npl In Adult Patients. Data Collection And Analysis Two Review Authors Independently Selected Studies, Extracted Data And Assessed Risk Of Bias. We Contacted Trial Authors For Further Information Where Necessary. The Primary Outcome Measured Was Pain/Discomfort. Secondary Outcomes That Were Looked At Included Side Effects Of The Topical Medications, Ease Of The Procedure And The Quality Of The View From The Operator'S Perspective. Main Results We Included Eight Rcts (746 Participants) In The Review. The Risk Of Bias In The Studies Was Generally Low. Five Studies Did Not Demonstrate Any Advantage In Using A Topical Treatment Prior To Endoscopy. One Study Suggested That A Vasoconstrictor Alone Should Be Used To Reduce The General Level Of Unpleasantness. Two Studies Did Not Compare Treatment Against Placebo Or No Treatment, So It Was Not Possible To Draw Meaningful Conclusions From Them. There May Be Some Unpleasant Side Effects From The Use Of Topical Preparations, Such As Unpleasant Taste. There Was Variation In The Format Of The Outcome Data And A Lack Of Complete Data; None Of The Included Studies Reported Their Results In A Way That Would Allow Pooling And We Could Not Therefore Perform Meta‐Analysis. Authors' Conclusions The Included Studies Do Not Demonstrate Any Evidence To Support The Use Of Topical Treatments Prior To The Use Of A Fibre‐Optic Nasal Endoscope. Some Go As Far As To Suggest That These Agents Should Not Be Used Due To Cost And Unpleasant Side Effects. Five Studies Did Not Demonstrate Any Advantage In Terms Of Reducing Pain Or Discomfort When Using A Topical Treatment Prior To Endoscopy. The Absence Of Demonstrable Effect May Be Due To Relatively Small Patient Groups. It Is Therefore Possible That There Is A Small Effect Of Using These Sprays. Further Research Using Standardised Reporting Methods Is Needed. Plain Language Summary Topical Anaesthetic Or Vasoconstrictor (Blood Vessel Narrowing) Preparations For Flexible Fibre‐Optic Nasal Pharyngoscopy And Laryngoscopy Topical Medications Are Often Applied To The Inside Of A Patient'S Nose Prior To Examining The Nose, Sinuses And Throat With A Flexible Nasopharyngolaryngoscope. The Aim Of This Is To Reduce Any Discomfort The Patient May Feel And Also To Improve The Adequacy Of The Examination. Types Of Preparation Include Lidocaine, Phenylephrine And Lidocaine, Oxymetazoline, Xylometazoline And Cocaine And They Are Usually Administered As A Spray, Although They May Also Be In The Form Of A Solution Which Can Be Applied To Cotton Wool And Placed In The Nasal Cavity, Or As Gels, Pastes Or Creams. We Looked For Randomised Controlled Trials Comparing Any Of These Topical Treatments With Placebo, No Treatment Or Another Topical Treatment In Adult Patients Undergoing Nasal Pharyngolaryngoscopy (Npl). We Included Eight Studies In The Review (With A Total Of 746 Patients). It Was Not Possible To Combine Data From Any Of The Studies, Therefore We Assessed The Individual Study Results. Five Of The Studies Did Not Demonstrate Any Advantage, In Terms Of Reducing Pain Or Discomfort, Of Using A Topical Treatment Prior To Endoscopy. One Of These Suggested That A Vasoconstrictor (Xylometazoline) Alone Reduced The Level Of ""General Unpleasantness"". Two Studies Did Not Compare The Treatment Against Placebo Or No Treatment. A Final Study Actually Suggested An Increase In Pain With The Use Of Topical Agents. There May Be Some Unpleasant Side Effects From The Use Of Topical Preparations, Such As Unpleasant Taste. Further Standardised Research Is Required.",,False,2.0,,,,,,,False,
148,2011,"Sobnach, S.","Sobnach, Sanju; Castillo, Franco; Blanco Vinent, René; Kahn, Delawir; Bhyat, Ahmed","Heart, Lung & Circulation",,PubMed,10.1016/j.hlc.2011.01.006,,Penetrating Cardiac Injury Following Sewing Needle Ingestion,Penetrating Cardiac Injuries Are Common In South Africa. Reports Describing Traumatic Lesions To The Heart Caused By Caudo-Cranial Migration Of Ingested  Foreign Bodies Are However Extremely Rare. Delayed Presentation And Intervention  Are Associated With Poor Outcome In These Patients; Cardiac Tamponade Remains The  Most Serious Complication. We Present The Case Of A 19 Year-Old Man Who Sustained  A Left Ventricular Injury After Intentionally Swallowing Eight Sewing Needles.  The Impacted Needle Was Removed Through A Median Sternotomy And The Patient  Recovered Uneventfully.,,False,,,,,,,,False,
