Study_ID,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude,Reason ID
160,2011,"Cappello, M.",M Cappello,,M Cappello - 2011 - books.google.com,Google Scholar,10.1001/jama.2011.393,https://jamanetwork.com/journals/jama/article-abstract/895999,"Swallow: Foreign Bodies, Their Ingestion, Inspiration, And The Curious Doctor Who Extracted Them",Product Description An American half-dollar. A beaded crucifix. Tooth roots shaped like a tiny pair of pants. A padlock. Scads of peanut kernels and scores of safety pins. A metallic letter ...,"Swallow describes the extraordinary personal and professional life of Chevalier Jackson (1865-1958), one of America's preeminent laryngologists. He was a clinician, endoscopy pioneer, teacher, author, artist, and instrument-maker. Author Mary Cappello points out that Before Jackson's instruments and techniques, only two patients out of one hundred might successfully cough up, regurgitate, or excrete a foreign body, and surgery resulted in death in 98 percent of all cases and that Jackson developed over five thousand instruments and saved as many lives. Amazingly, he removed ingested or aspirated foreign bodies without the use of anesthesia.",False,
161,2011,"Caliskan, C.","Caliskan, Cemil; Makay, Ozer; Firat, Ozgur; Can Karaca, A.; Akgun, Erhan; Korkut, Mustafa A.",Surgery Today,,PubMed,10.1007/s00595-009-4362-5,,Foreign bodies in the rectum: an analysis of 30 patients,"PURPOSE: A foreign body in the rectum is a rare clinical entity. These foreign bodies can be classified under two major groups: the ones that are inserted from  the anus and the ones that are swallowed and thereafter become stuck in the  rectum. METHODS: Data of patients admitted with a foreign body in the rectum  between 1988 and 2008 were retrospectively analyzed. A total of 30 patients were  reviewed. RESULTS: The most common reason for a foreign body in the rectum was  insertion for erotic purposes, which was seen in 19 of the 30 patients. All these  patients were male. The remaining 11 patients reported nonerotic causes. The most  efficient and implemented therapeutic method was simple extraction during the  first examination. CONCLUSIONS: The most common reason for a foreign body in the  rectum is insertion for erotic purposes. The first target of therapy should be  extraction of the foreign body using the simplest method possible. Meanwhile,  protecting the integrity of the intestine is of the utmost importance. The care  for maintaining the integrity of the rectum should include an evaluation of the  patient's psychological status.",,False,
162,2011,"Kocierz, L.","Kocierz, L.; Leung, E.; Thumbe, V.",Journal Of Surgical Case Reports,,PubMed,10.1093/jscr/2011.10.4,,An unusual cause of perianal fistula,"Anal pain is a common presentation in colorectal clinic. Accurate diagnosis often requires examination under anaesthesia as pain prevents careful assessment. This  report intends to highlight a rare cause of a superficial perianal fistula caused  by an ingested foreign body. A 36-year-old Afro-Caribbean gentleman underwent  examination under anaesthesia of rectum. He had a 2-week history of perianal pain  and discharge. Intra-operatively, a piece of bone from a pork spare rib was found  embedded within the superficial subcutaneous fistula. There was an associated  abscess cavity adjacent to the fistula, which was curetted. The fistula was laid  open and the bone was removed. The cavity was successfully left to heal by  secondary intention. Ingested foreign body is a very unusual cause of perianal  sepsis and subsequent fistula formation. Incision and drainage of the abscess  along with removal of foreign body is the key to immediate pain relief and cure.",,False,
163,2012,"Pappas..., E.","EG Chekan, TN Pappas...",Surgery: Basic Science ...,"EG Chekan, TN Pappas... - Surgery: Basic Science ..., 2012 - books.google.com",Google Scholar,,"https://www.google.lk/books/edition/Surgery/cs6O3QIwrKcC?hl=en&gbpv=1&dq=The+historical+development+of+laparoscopy+can+be+traced+to+early+in+the+nineteenth+century+when,+using+reflected+candlelight,+Bozzini,+an+Italian+physician+living+in+Germany,+first+...&pg=PA771&printsec=frontcover",Of Minimally,"The historical development of laparoscopy can be traced to early in the nineteenth century when, using reflected candlelight, Bozzini, an Italian physician living in Germany, first ","The historical development of laparoscopy can be
traced to early in the 19th century when Bozzini, an Italian physician living in Germany, first examined the abdominal cavity using reflected candlelight.' In 1901, George Kelling, a German, described the establishment of a pneumoperitoneum (PNP) and trocar placement through which a cystoscope was placed. In the early 1930s throughout Europe, modern laparoscopy was popularized by Kalk, who used room air to create a PNP. 2,3
Laparoscopy was initially
applied in gynecological procedures, and it was not until 1991 that general surgeons began to take notice when Muhe introduced the first laparoscopic cholecystectomy (LC)
1n
Germany.
4",True,5.0
164,2012,"Park, S.","Park, Sin Youl; Woo, Jungmin; Park, Jeong Bae; Rim, Hyo-Deog","Clinical Toxicology (Philadelphia, Pa.)",,PubMed,10.3109/15563650.2012.663919,,Intentional ingestion of cyanoacrylate,,,False,
165,2012,"Rossi, J.",J Rossi,,J Rossi - 2012 - books.google.com,Google Scholar,,https://books.google.lk/books?hl=en&lr=&id=Eu4jrW9Ha8QC&oi=fnd&pg=PR4&dq=What%27S+Wrong+With+My+Cat+Or+Kitten%3F+j+eossi+2012&ots=9j4VjQtkUi&sig=qvmBfbfVpa2lWg6PK3RQLZ_Bf08&redir_esc=y#v=onepage&q=What'S%20Wrong%20With%20My%20Cat%20Or%20Kitten%3F%20j%20eossi%202012&f=false,What'S Wrong With My Cat Or Kitten?,Page 1 REVISED EDITION What's Wrong with My Cat or Kitten? A HOME MEDICAL REFERENCE MANUAL • Behavioral Changes First Aid for Miscellaneous Problems Fleas & Ticks. ...,Abstract not available,True,4.0
166,2012,"Saito, J.","Saito, Jacqueline M.",Current Opinion In Pediatrics,,PubMed,10.1097/mop.0b013e328352704e,,Beyond appendicitis: evaluation and surgical treatment of pediatric acute abdominal pain,"PURPOSE OF REVIEW: Evaluation of the child with acute abdominal pain is challenging because of the wide range of potential diagnoses. Presenting  symptoms, clinical examination, and laboratory findings can guide selection of  diagnostic imaging. RECENT FINDINGS: Intussusception and intestinal malrotation  are potentially serious causes of intestinal obstruction, which are best  evaluated by ultrasound and upper gastrointestinal series, respectively.  Ultrasound has diagnostic importance in the evaluation of multiple diseases,  including appendicitis, by potentially decreasing the need for inpatient  observation, cholecystitis and complications of gall stones such as pancreatitis,  and ovarian diseases. Pelvic inflammatory disease should be considered in  evaluation of a teenage girl with lower abdominal pain. Less common causes of  acute abdominal pain include ingested foreign bodies, infected congenital  anomalies, and perforated peptic ulcer disease. SUMMARY: Presenting symptoms and  physical examination findings can narrow the number of potential diagnoses in  pediatric acute abdominal pain and thereby guide diagnostic imaging selection.  Abdominal/pelvic ultrasound, rather than computed tomography scan, is the  preferred modality for initial evaluation of many potential causes of pediatric  abdominal pain.",,False,
167,2012,"Yung, K.","KC Huoh, KC Yung",Otolaryngology,"KC Huoh, KC Yung - Otolaryngology, 2012",Google Scholar,,,Retained Denture In Oropharynx,,Abstract not available,True,1.0
168,2012,"Trgo, G.","Trgo, Gorana; Tonkic, Ante; Simunic, Miroslav; Puljiz, Zeljko",Case Reports In Gastroenterology,,PubMed,10.1159/000338839,,Successful endoscopic removal of a lighter swallowed 17 months before,"The majority of ingested foreign bodies will pass safely through the gastrointestinal tract, but long and rigid foreign bodies are associated with an  increased risk of gastrointestinal impaction, perforation and bleeding. However,  large foreign bodies which have been swallowed can remain trapped in the stomach  over a longer period of time without any significant symptoms. This case report  describes the case of a 36-year-old man addicted to heroin who purposefully  swallowed a lighter (double wrapped in cellophane) and presented with hematemesis  and melena 17 months after the ingestion of the foreign body. The lighter was  successfully removed via flexible endoscopy using a polypectomy snare. Swallowed  long and rigid foreign bodies trapped in the stomach over a long period of time  always represent a special clinical and endoscopic challenge. In cases where  endoscopic removal fails, a laparoscopic surgical approach may be an alternative.",,False,
169,2012,"Unruh, B.",Unruh B.T.; Nejad S.H.; Stern T.W.; Stern T.A.,Primary Care Companion To The Journal Of Clinical Psychiatry,,SCOPUS,10.4088/pcc.11f01192,,Insertion of foreign bodies polyembolokoilamania: underpinnings and management strategies,[No abstract available],,False,
170,2012,"Nawras, M.","M Niazi, E Rafiq, A Nawras",... Journal Of The American College Of ...,"M Niazi, E Rafiq, A Nawras - ... journal of the American College of ..., 2012 - journals.lww.com",Google Scholar,10.14309/00000434-201210001-01388,https://journals.lww.com/ajg/fulltext/2012/10001/eus_guided_fna_for_metastatic_renal_cell_carcinoma.1388.aspx,Eus-Guided Fna For Metastatic Renal Cell Carcinoma Of Native Kidney In A Renal Transplant Patient: 1388,"Purpose: Adults are usually able to recall the type and amount of foreign bodies ingested, but might not be reliable in the setting of possible intoxication. A 23 year old female without ...","Introduction: Malignancies are the second most common cause of death among renal transplant recipients after cardiovascular causes and exceed infectious diseases. Common malignancies in renal transplant recipients are non melanoma skin cancer, Kaposi sarcoma and non-hodgkin lymphoma with a 20 fold increase in their risk. Renal cell carcinoma in native kidneys after renal transplant is quite infrequent (0.3-4.8%). Here we report first case of renal cell carcinoma originating in native kidney, diagnosed by EUS guided FNA. Case Description: A 54-year-old gentleman status post renal transplant secondary to Goodpastures syndrome presented with nausea, vomiting, and abdominal pain. His past medical history include hypertension and diabetes mellitus type 2. Early investigations included a liver battery, amylase, lipase; CBC and a basic metabolic panel were found negative. A right upper quadrant ultrasound revealed normal liver and gallbladder, however, cyst was found in an enlarged right native kidney. MRI of the abdomen showed retroperitoneal lymph nodes concerning for lymphoma along with enlargement of the right native kidney with irregular borders concerning for neoplasm. He then underwent endoscopic ultrasound to evaluate the perigastric/peripancreatic area for possible fine-needle aspiration of lymph nodes. The endosonographic examination revealed multiple lymph nodes at sub-carinal, paraesophageal, celiac axis, peripancreatic and periduodenal areas. Small-to-moderate amount of ascites was identified. Using a 25-gauge needle, fine-needle aspiration was performed from mediatsinal lymph nodes, celiac lymph nodes and peripancreatic lymph nodes. Ascetic fluid was then aspirated using a 19-gauge needle under endosonographic guidance. Cytopathology of the lymph node and ascetic fluid samples revealed metastatic renal cell carcinoma. PET scan confirmed it by lighting up in right kidney and other areas of metastatic lymphadenopathy. Conclusion: In conclusion, EUS guided FNA could have an important role in identifying the primary source of metastatic lymphadenopathy in renal transplant patients. It is safe, minimally invasive, feasible and highly accurate in making such diagnosis and assisting further management.",True,2.0
171,2012,"Tammana, V.","Tammana, V. S.; Valluru, N.; Sanderson, A.",Case Reports In Gastroenterology,,PubMed,10.1159/000346287,,All the wrong places: an unusual case of foreign body ingestion and inhalation,"Intentional ingestion of foreign bodies is common in psychiatric patients and prison inmates. Timing of endoscopy for ingested foreign bodies varies and  depends on the type and location of the foreign body in the gastrointestinal  tract. We present the case of a 26-year-old man who was brought from a  correctional facility after confessing to have swallowed a few shower curtain  hooks. Abdominal X-ray done in the emergency room revealed multiple foreign  bodies in the stomach. An upper endoscopy was done in the emergency room with the  use of an overtube. The first metal piece was caught by a snare and removed with  the endoscope. All other foreign bodies which were present on the abdominal X-ray  could not be visualized initially as there was retained food in the stomach.  After multiple attempts, four other foreign bodies were found and each one was  caught by the forceps and then the scope was removed with the forceps holding the  foreign body. There was an additional foreign body in the right mainstem  bronchus. The patient had coughed up the foreign body and swallowed it into the  gastrointestinal tract. A computed tomography scan of chest and abdomen was done  for evaluation, which showed the foreign body in the cecum. To our knowledge,  this is the first case report of a patient intentionally transferring a foreign  body from one organ system to another. Colonoscopy was done and the foreign body  was removed rectally with a snare without any complications.",,False,
172,2012,"Naji, H.","Naji, Hussein; Isacson, Daniel; Svensson, Jan F.; Wester, Tomas",Pediatric Surgery International,,PubMed,10.1007/s00383-011-3026-x,,Bowel injuries caused by ingestion of multiple magnets in children: a growing hazard,"PURPOSE: There are no definite guidelines on the management of ingested magnetic objects in children. The aim of this study was to present our experience and to  highlight the importance of strict follow-up. METHODS: Within 6 months period,  four children presented to the emergency department after ingestion of multiple  magnets. We reviewed retrospectively the patients' documents, radiological  reports, operative findings and outcome. We also performed a literature search  for all reports of multiple magnets ingestion on MEDLINE and EMBASE. RESULTS:  Daily abdominal radiographs to monitor migration of magnetic objects together  with clinical examination revealed early detection of perforations in two  patients. Explorative laparoscopy and suturing of perforations resulted in a  rapid recovery and good cosmetic appearance. Literature search resulted in 44  published articles with a total of 52 cases of multiple magnet ingestion in  children. CONCLUSIONS: This report stresses the need for prompt follow-up and  early detection of complications in order to operate those patients without  delay. Laparoscopy is the method of choice in exploring the abdomen when  perforation is suspected.",,False,
173,2012,Van A.,"Van As, AB; Yusof, AM; Millar, AJW",International Journal Of Pediatric Otorhinolaryngology,,Web of Science,10.1016/j.ijporl.2012.02.005,,Food foreign body injuries,"Rationale and aim: The purpose of this study is to acquire a better understanding of Food Foreign Bodies (FFB) injuries in children characterizing the risk of complications and prolonged hospitalization due to food items according to patients' characteristics, circumstances of the accident, Foreign Body (FB) features and FB location, as emerging from the SUSY Safe Web-Registry. Methods: The present study uses data provided by the SUSY Safe Project, a DG SANCO co-funded project started in February 2005, which was aimed at establishing an international registry of cases of Foreign Bodies (FB) injuries in children aged 0-14 years. The analysis was carried out on injuries due to a food item. FB location was reported according to ICD9-CM code: ears (ICD931). nose (ICD932), pharynx and larynx (ICD933) trachea, bronchi and lungs (ICD934), mouth, esophagus and stomach (ICD935). Age and gender injury distributions were assessed. Data regarding adult supervision and activity before injury were also evaluated. FBs which most frequently cause complications were identified. The association between children age, adult presence, object characteristics and hospitalization/complications was computed using unweighted odds ratios and the related 95% confidence intervals. Results: 16,878 FB injuries occurred in children aged 0-14 years have been recorded in the SUSY Safe databases. FB type was specified in 10,564 cases; among them 2744(26%) were due to a food item. FB site was recorded in 1344 cases: FB was located in the ears in 99 patients, while 1140 occurred in the upper and lower respiratory tract; finally, 105 food items were removed from mouth, esophagus and stomach. Complications occurred in 176 cases and the most documented was pulmonary or bronchial infections (23%) followed emphysema or atelectasis and by and asthma (7%). Bones were the commonest retrieved FFB encountered in this study, while nuts seem to be the FFB most frequently associated to complications. Conclusions: On the basis of this study we make the strong recommendation that parents should be adequately educated and provide age-appropriate food to their children and be present in order to supervise them during eating especially during a critical period ranging from 2 to 3 years of age. (C) 2012 Elsevier Ireland Ltd. All rights reserved.",,False,
174,2012,"Lee, M.","Lee, Mi Hyeon; Kim, Ki Yeob; Song, Jang Ho; Jung, Hyun Jun; Lim, Hyun Kyoung; Lee, Doo Ik; Cha, Young Deog","Pain Medicine (Malden, Mass.)",,PubMed,10.1111/j.1526-4637.2012.01495.x,,Minimal volume of local anesthetic required for an ultrasound-guided sgb,"BACKGROUND:  Compared with the blind technique, ultrasound-guided stellate ganglion block (SGB) reduces the amount of local anesthetic needed for a  successful block. The purpose of this study is to determine the minimal, optimal  volume of local anesthetic required for successful ultrasound-guided SGB and to  reduce its adverse effects. METHODS:  Thirty-five patients with postherpetic  neuralgia and complex regional pain syndrome of the upper extremity and the  facial area were selected. For ultrasound-guided SGB by subfacial method, each  patient was injected with 0.5% mepivacaine mixed with contrast media in 2 mL,  3 mL, and 4 mL doses at 2-week intervals. After the procedure, the spread of  contrast media in the spine was checked by fluoroscopy. Ptosis and conjunctival  flushing were rated and recorded. Adverse effects, such as hoarseness, foreign  body sensation, swallowing difficulty, and upper arm weakness, were also  recorded. RESULTS:  Out of the 35 initial patients, the results for 33 patients  who received all three SGBs were included in this study. The contrast media  spread to 4.80 ± 0.82, 4.94 ± 0.86, and 5.09 ± 0.97 total spinal segments in the  2 mL, 3 mL, and 4 mL groups, respectively. The cephalad spread of contrast media  was 2.16 ± 0.74, 2.23 ± 0.85, and 2.30 ± 0.78 spinal segments for the 2 mL, 3 mL,  and 4 mL groups, respectively, and the caudad spread of contrast media was  2.64 ± 0.51, 2.70 ± 0.61, and 2.89 ± 0.64 segments in the 2 mL, 3 mL, and 4 mL  groups, respectively. There were no significant statistical differences in any  segments for the three groups (P > 0.05). Review of the fluoroscopic images  showed spread of the contrast media below the C7-T1 junction in all three groups.  Ptosis developed in all three groups after the procedure. CONCLUSION:  In  conclusion, when performing an ultrasound-guided SGB, 2 mL dosage was sufficient  for a successful block as the previous, conventional volume. Therefore, when  performing an ultrasound-guided SGB, we recommend the 2 mL dosage of local  anesthetics for a successful block.",,True,2.0
175,2012,"Lee, J.","Lee, Jun Hyung; Kim, Hyun Cheol; Yang, Dal Mo; Kim, Sang Won; Jin, Wook; Park, Seong Jin; Kim, Hyoung Jung",Clinical Imaging,,PubMed,10.1016/j.clinimag.2011.11.017,,What is the role of plain radiography in patients with foreign bodies in the gastrointestinal tract?,"Foreign bodies (FBs) in the gastrointestinal (GI) tract can show a wide range of clinical manifestations ranging from spontaneous evacuation to severe  complication. Plain radiography is a straightforward and important initial  imaging modality in cases of FB ingestion or insertion and is also helpful for  follow-up purposes. Careful evaluations of the plain radiographs can determine  the presence and nature of FBs, and help predict their precise locations and  facilitate risk assessment. In this review, a wide variety of FBs in the GI tract  are illustrated, and the role of plain radiography in patient management is  discussed.",,False,
176,2012,"Lazaâr, N.","Lazaâr, N; Khalil, N; El Yousfi, M; Aqodad, N; Benajeh, DA; El Abkari, M; Ibrahimi, A; Mellouki, I; Naima, A; El Fakir, S; Nejjari, C",Acta Endoscopica,,Web of Science,10.1007/s10190-012-0276-y,,The management of ingested foreign bodies: report of 82 cases and review of the literature,"The ingestion of foreign bodies is a rather frequent occurrence in our context; ingestion may be accidental or deliberate. They can be dangerous because of their location or nature, making endoscopic extraction urgent. The aim of our study was to evaluate, using a retrospective study, the success rate of extraction of foreign bodies in our context as well as the means used. Over a ten-year period (January 2001 to January 2011), all patients admitted to the emergency services of UHC Hassan-II, Fez, for the ingestion of foreign bodies were recorded. We reviewed the methods used for extraction and the treatment success rate. During this period, 82 oesogastroduodenal endoscopies (OGDE) were performed for the extraction of foreign bodies. There was a male predominance (sex ratio: 1.5), with an average age of 33.5 years (6 to 83 years); all endoscopies were performed in an emergency. Voluntary ingestion was found in 24 cases while 58 cases were accidental. Among foreign bodies frequently encountered, there were needles in 17 cases, impaction of a piece of meat in 14 cases, ingestion of dentures in 11 cases, while other objects (coins, razor blades, nails, nail cutters) were less frequent. The foreign body was found in 32 cases at a gastric level, an oesophageal level for 31 patients, the duodenum for two patients and no foreign body was found for 14 patients. The extraction was done mainly by a hot wire loop and tripod forceps procedure; extraction was a success in 43 cases (52.4%), a foreign body was not found in 17 cases (20.7%), and the extraction failed in 13 cases (16%). No complication after extraction was noted in our context.",,False,
177,2012,"Lakhani, R.","Lakhani, R; Fishman, JM; Bleach, N; Costello, D; Birchall, M",Cochrane Database Of Systematic Reviews,,Cochrane,10.1002/14651858.cd009239.pub2,,Alternative injectable materials for vocal fold medialisation in unilateral vocal fold paralysis,"Abstract - Background Patients with unilateral vocal fold paralysis (UVFP) usually present with dysphonia, but can also be breathless and have problems with their swallowing. Speech and language therapy forms the initial mainstay of management in cases of UVFP, since up to 60% of cases will resolve spontaneously. If vocal fold paralysis persists surgery, in the form of injection medialisation, has been shown to be an effective intervention. What is currently unclear is which is the most effective material available for injection. Objectives To assess the effectiveness of alternative injection materials in the treatment of UVFP. Search methods We searched the Cochrane Ear, Nose and Throat Disorders Group Trials Register; the Cochrane Central Register of Controlled Trials (CENTRAL); PubMed; EMBASE; CINAHL; Web of Science; BIOSIS Previews; Cambridge Scientific Abstracts; ICTRP and additional sources for published and unpublished trials. The date of the most recent search was 23 March 2012. Selection criteria Randomised controlled trials (RCTs) of injectable materials in patients with UVFP. The outcomes of interest were patient and clinician‐reported improvement, and adverse events. Data collection and analysis Two authors independently selected studies from the search results and extracted data. We used the Cochrane 'Risk of bias' tool to assess study quality. Main results We identified no RCTs which met the inclusion criteria for this review. We excluded 18 studies on methodological grounds: 16 non‐randomised studies; one RCT due to inadequate randomisation and inclusion of non‐UVFP patients; and one RCT which compared two different particle sizes of the same injectable material. Authors' conclusions There is currently insufficient high‐quality evidence for, or against, specific injectable materials for patients with UVFP. Future RCTs should aim to provide a direct comparison of the alternative materials currently available for injection medialisation. Plain language summary Alternative materials injected into the vocal fold (cord) for unilateral vocal fold paralysis Paralysis of one of the vocal folds (vocal cords) can have a significant impact upon a patient's quality of life. The affected patient may suffer with poor voice, breathlessness and problems with their swallowing. The treatment options include voice therapy, injection to the vocal cord or open surgery. The injection of a material into the affected vocal fold aims to improve voice, breathlessness and prevent episodes of aspiration (choking). There are a wide variety of injectable materials available and this review aimed to assess their effectiveness. Our systematic review of the relevant literature could not identify any randomised controlled trials of sufficient quality to include in this review. There is currently insufficient high‐quality evidence to support the effectiveness of any particular injectable material. Further, well‐designed, robust research is required in this area.",,True,2.0
178,2012,"Kurtz..., N.","N Sonpal, R Taunk, A Randhawa, L Kurtz...",Official Journal Of The ...,"N Sonpal, R Taunk, A Randhawa, L Kurtz... - Official journal of the ..., 2012 - journals.lww.com",Google Scholar,10.14309/00000434-201210001-01386,https://journals.lww.com/ajg/fulltext/2012/10001/diagnosis_of_retroperitoneal_metastatic_malignant.1386.aspx,Diagnosis Of Retroperitoneal Metastatic Malignant Melanoma By Eus-Guided Fna: A Rare Finding Diagnosed By A Novel Modality: 1386,"Purpose: Malignant melanoma is a neoplasm which originates from melanocytes. Thought it is a rare form of skin cancer there are about 160,000 new cases of melanoma yearly ...","Purpose: Malignant melanoma is a neoplasm which originates from melanocytes. Thought it is a rare form of skin cancer there are about 160,000 new cases of melanoma yearly worldwide. More than 53,000 people in the United States are diagnosed with melanoma every year. It is currently the fastest growing cancer, both in the U.S. and worldwide. We present a case of a patient with metastatic malignant melanoma presenting as an infiltrating mass into the duodenum from the retroperitoneal space. A 77 year old male presented with fatigue and weight loss over the course of the preceding several months. The patient's past medical history was only significant for hyperlipidemia and BPH. The patient states that he has lost 40 lbs over the previous 1-2 months prior to admission. Physical exam was benign except for a palpable mass and guaiac testing was positive. The patient had a CT scan which demonstrated large complex lobulated mass in the sub-hepatic space measuring approximately 14.7 _ 14.1 _ 10.8 cm. The patient's labs demonstrated hemoglobin of 7.9, and the patient was transfused and taken for upper endoscopy. On esophagogastroduodenoscopy (EGD) neoplastic lesions were noted to infiltrate the dudodenal bulb. Endoscopic ultrasound-guided fine-needle aspiration demonstrated a hetergoenous mass with both hypo/hyperechoic features. The biopsy showed malignant cells most in architecture to melanoma. Immuno-histochemical studies performed on the cell block demonstrated positive staining of the tumor cells for vimentin, HMB45, melan-A, and focally for S100. Stains for mixed cytokeratins, smooth muscle actin, and CD34 are negative in the tumor cells. The final diagnosis of malignant melanoma was subsequently made. The patient was referred for surgical evaluation. Metastatic retroperitoneal lesions resulting from melanoma is an extremely rare finding and EUS-FNA is a novel method for diagnosing metastatic lesions. EUS-FNA has been shown to be a safe and reliable modality for obtaining definitive histological diagnosis. When it is compared with the traditional diagnostic modalities, it is not only more accurate than imaging studies such as computerized tomography, positron emission tomography, and magnetic resonance imaging, but it is also a very safe procedure with fewer complications than transcutaneous biopsies. Clinicians should be aware of this imaging modality and consider its employment when applicable.",True,2.0
179,2012,"Kiser, M.","Kiser, Michelle M.; Samuel, Jonathan C.; Mclean, Sean E.; Muyco, Arturo P.; Cairns, Bruce A.; Charles, Anthony G.","International Journal Of Surgery (London, England)",,PubMed,10.1016/j.ijsu.2012.10.004,,Epidemiology of pediatric injury in malawi: burden of disease and implications for prevention,"PURPOSE: Pediatric injuries pose a significant health burden in sub-Saharan Africa, though historic data are too scarce to appreciate the extent of the  problem. The purpose of this study is to utilize a comprehensive database to  describe the epidemiology of pediatric injuries at a tertiary hospital in Malawi.  METHODS: Data were prospectively collected on patients presenting to the  emergency department for treatment of injuries from 2008 to 2010 (n = 23,625).  The subset of pediatric patients (n = 7233) underwent cross-sectional analysis to  examine demographics, injury environment, timing and mechanisms. RESULTS:  Pediatric patients, (0-16 years) comprised 30.6% of all trauma patients. Mean age  was 7.2 years. Falls were the most common injury (43%), followed by burns  (11.1%), pedestrian road traffic injuries (9.7%), foreign bodies (7.5%), and  assaults (7.2%). Statistically significant differences in injury pattern were  observed between gender, age groups and season. After logistic regression,  predictors of fall included male gender, home setting, and rainy season, whereas  predictors of burn included female gender, age 0-5 yrs, home setting, and cold  season. Predictors of pedestrian injury included age 6-10 yrs, female, and  roadside setting. Predictors of foreign body ingestion included age 0-5 yrs,  female gender, home setting, and daytime, and predictors of assault include male  gender, age 11-16 yrs, nighttime hours. All predictors were statistically  significant (p < 0.05). CONCLUSIONS: This study revealed patterns of injury based  upon age, gender, location, and season. Our results may prove useful to  stakeholders in injury prevention for designing, evaluating, and implementing  programs to improve public safety in children in Malawi and similar resource poor  nations.",,False,
180,2012,"Huston, A.","A Chiao, M Huston",24C Throat Pain,"A Chiao, M Huston - An Introduction to Clinical Emergency ..., 2012 - books.google.com",Google Scholar,,"https://books.google.lk/books?hl=en&lr=&id=pyAlcOfBhjIC&oi=fnd&pg=PA321&dq=A+Chiao,+M+Huston+An+Introduction+to+Clinical+Emergency+2012+&ots=HD14eC6JOl&sig=62Vu0kHdIilmZEqrjgIxsyVQhHM&redir_esc=y#v=onepage&q=A%20Chiao%2C%20M%20Huston%20An%20Introduction%20to%20Clinical%20Emergency%202012&f=false",24C Throat Pain,"Throat pain is one of the most common complaints seen by all health care providers, with pharyngitis being the most common cause of throat pain. Viruses are the most common cause ...","Scope of the problem
Throat pain is one of the most common complaints seen by all health care providers, with pharyngitis being the most common cause of throat pain. Viruses are the most common cause of pharyngitis, accounting for approximately 40% of cases. Group A beta-hemolytic streptococcus (GABHS) accounts for up to 40% of pediatric pharyngitis, but less than 15% of adult cases.
Although most patients presenting with sore throat
have
mild, self-limiting illness, throat pain may be the sign of a life-threatening condition. Recognizing and treating both common and serious causes of sore throat is an essential skill for emergency providers.",True,5.0
181,2012,"Frei-Lanter, C.","Frei-Lanter, Cornelia M.; Vavricka, Stephan R.; Kruger, Tillmann H. C.; Tutuian, Radu; Geier, Andreas; Bauerfeind, Peter; Krones, Tanja; Fried, Michael; Frei, Pascal",European Journal Of Gastroenterology & Hepatology,,PubMed,10.1097/meg.0b013e32835403d5,,Endoscopy for repeatedly ingested sharp foreign bodies in patients with borderline personality disorder: an international survey,"BACKGROUND: The general guidelines on the management of ingested foreign bodies (FBs) do not address specific aspects raised by psychiatric patients,  particularly in patients with borderline personality disorders (BPD) who  repeatedly ingest FBs. The aim of this survey was to collect data on experience  and opinions on the management of FBs in psychiatric patients with BPD and to  review the relevant literature. METHODS: A survey focusing on the indication and  the timing of endoscopy for sharp FB removal in patients with BPD was e-mailed to  215 gastroenterologists, psychiatrists, and surgeons in Switzerland, Germany and  Austria, discussing this clinical problem using a specific case vignette.  RESULTS: Responses were received from 63 of 215 (29%) contacted physicians.  Two-thirds of the respondents knew patients with BPD who had swallowed FBs  repeatedly; 86% recommended removing sharp FBs endoscopically even in the case of  repeated FB ingestion and 14% of respondents argued against emergent endoscopic  FB removal in the case of repeated ingestions. Different specialities expressed  partially divergent opinions regarding the management of these patients.  CONCLUSION: Repeated FB ingestions can be a problem in patients with BPD.  Although published data show that the perforation risk of unremoved FBs is low,  most clinicians support repeated endoscopies also in the case of repeated FB  ingestions. Nevertheless, in selected cases, repeated endoscopies need to be  discussed and an interdisciplinary consensus and/or the involvement of an ethical  committee is advised.",,False,
182,2012,"Dipoce, J.","DiPoce, J; Guelfguat, M; DiPoce, J",Radiographics,,Web of Science,10.1148/rg.327125035,,Radiologic findings in cases of attempted suicide and other self-injurious behavior,"Suicide is one of the leading causes of death in multiple age groups. Therefore, it is important that radiologists be aware of this commonly encountered entity. Attempted suicide may take a variety of forms; those discussed by the authors include sharp force injury, immolation and inhalation, ingestion, hanging, firearm use, jumping from a height, and drowning. Certain radiologic findings are commonly seen in cases of attempted suicide and other self-injurious behaviors. In some cases, especially when the patient is unconscious or is unwilling to provide a history, it may not be apparent that suicide has been attempted until characteristic imaging findings are recognized. Correct identification of suicide attempts on the basis of such findings will ensure that these patients receive appropriate psychiatric treatment. When a suicide attempt is unsuccessful, it is important to be familiar with the complications that may contribute to delayed mortality and morbidity. The radiologist plays an integral role in the acute medical or surgical management of patients who have attempted suicide. In addition, imaging examinations may provide useful forensic information. (C) RSNA, 2012 . radiographics.rsna.org",,True,5.0
